College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Civil Engineering,B.Tech,30,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Mechanical Engineering,B.Tech,180,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Electronics & Communication Engineering (ECE),B.Tech,300,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Electrical & Electronics Engineering (EEE),B.Tech,60,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Computer Science Engineering (CSE),B.Tech,1020,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Computer Science Engineering (CSE),M.Tech,18,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Other Engineering Branches,M.Tech,36,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Information Technology (IT),B.Tech,180,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Other Engineering Branches,B.Tech,120,2424,1980,Urban,Yes,Yes
1-44638347699,1-44638347699,U-0682,CHENNAI INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Kanchipuram,Kanchipuram,"PUDUPER VILLAGE,NANDAMBAKKAM(PO)",600891,12.844024,79.694368,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.chennai.ac.in,info@chennai.ac.in,admissions@chennai.ac.in,placement@chennai.ac.in,+91-80-250-8996,Data Science,B.Tech,300,2424,1980,Urban,Yes,Yes
