College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638316952,1-44638316952,U-0977,RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA AT NAGROTA KANGRA,Active,Himachal Pradesh,Kangra,Kangra,"RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA VILLAGE - MASSAL, TEHSIL NAGROTA BAGWAN",170140,31.114986,77.161695,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhigovt.ac.in,info@rajivgandhigovt.ac.in,admissions@rajivgandhigovt.ac.in,placement@rajivgandhigovt.ac.in,+91-80-266-0789,Civil Engineering,B.Tech,60,300,2018,Urban,Yes,Yes
1-44638316952,1-44638316952,U-0977,RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA AT NAGROTA KANGRA,Active,Himachal Pradesh,Kangra,Kangra,"RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA VILLAGE - MASSAL, TEHSIL NAGROTA BAGWAN",170140,31.114986,77.161695,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhigovt.ac.in,info@rajivgandhigovt.ac.in,admissions@rajivgandhigovt.ac.in,placement@rajivgandhigovt.ac.in,+91-80-266-0789,Electronics & Communication Engineering (ECE),B.Tech,60,300,2018,Urban,Yes,Yes
1-44638316952,1-44638316952,U-0977,RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA AT NAGROTA KANGRA,Active,Himachal Pradesh,Kangra,Kangra,"RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA VILLAGE - MASSAL, TEHSIL NAGROTA BAGWAN",170140,31.114986,77.161695,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhigovt.ac.in,info@rajivgandhigovt.ac.in,admissions@rajivgandhigovt.ac.in,placement@rajivgandhigovt.ac.in,+91-80-266-0789,Mechanical Engineering,B.Tech,60,300,2018,Urban,Yes,Yes
1-44638316952,1-44638316952,U-0977,RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA AT NAGROTA KANGRA,Active,Himachal Pradesh,Kangra,Kangra,"RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA VILLAGE - MASSAL, TEHSIL NAGROTA BAGWAN",170140,31.114986,77.161695,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhigovt.ac.in,info@rajivgandhigovt.ac.in,admissions@rajivgandhigovt.ac.in,placement@rajivgandhigovt.ac.in,+91-80-266-0789,Electrical Engineering,B.Tech,60,300,2018,Urban,Yes,Yes
1-44638316952,1-44638316952,U-0977,RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA AT NAGROTA KANGRA,Active,Himachal Pradesh,Kangra,Kangra,"RAJIV GANDHI GOVT. ENGG. COLLEGE KANGRA VILLAGE - MASSAL, TEHSIL NAGROTA BAGWAN",170140,31.114986,77.161695,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhigovt.ac.in,info@rajivgandhigovt.ac.in,admissions@rajivgandhigovt.ac.in,placement@rajivgandhigovt.ac.in,+91-80-266-0789,Data Science,B.Tech,60,300,2018,Urban,Yes,Yes
1-44638637033,1-44638637033,U-0675,GOVT. POLYTECHNIC FOR WOMEN REHAN,Active,Himachal Pradesh,Kangra,Kangra,"VPO - KADANA, TEHSIL- FATEHPUR, DISTT - KANGRA (H.P.)",170140,31.119935,77.171147,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtwomenrehan.ac.in,info@govtwomenrehan.ac.in,admissions@govtwomenrehan.ac.in,placement@govtwomenrehan.ac.in,+91-80-473-6497,Computer Science Engineering (CSE),Diploma,60,180,2008,Urban,No,No
1-44638637033,1-44638637033,U-0675,GOVT. POLYTECHNIC FOR WOMEN REHAN,Active,Himachal Pradesh,Kangra,Kangra,"VPO - KADANA, TEHSIL- FATEHPUR, DISTT - KANGRA (H.P.)",170140,31.119935,77.171147,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtwomenrehan.ac.in,info@govtwomenrehan.ac.in,admissions@govtwomenrehan.ac.in,placement@govtwomenrehan.ac.in,+91-80-473-6497,Civil Engineering,Diploma,60,180,2008,Urban,No,No
1-44638637033,1-44638637033,U-0675,GOVT. POLYTECHNIC FOR WOMEN REHAN,Active,Himachal Pradesh,Kangra,Kangra,"VPO - KADANA, TEHSIL- FATEHPUR, DISTT - KANGRA (H.P.)",170140,31.119935,77.171147,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtwomenrehan.ac.in,info@govtwomenrehan.ac.in,admissions@govtwomenrehan.ac.in,placement@govtwomenrehan.ac.in,+91-80-473-6497,Information Technology (IT),Diploma,60,180,2008,Urban,No,No
1-44638683999,1-44638683999,U-0675,GOVT. POLYTECHNIC JANDAUR,Active,Himachal Pradesh,Kangra,Kangra,TEHSIL JASWAN,170140,31.116883,77.159523,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B,No,,Tier 3,http://www.govtjandaur.ac.in,info@govtjandaur.ac.in,admissions@govtjandaur.ac.in,placement@govtjandaur.ac.in,+91-80-345-6423,Civil Engineering,Diploma,60,120,1997,Urban,Yes,Yes
1-44638683999,1-44638683999,U-0675,GOVT. POLYTECHNIC JANDAUR,Active,Himachal Pradesh,Kangra,Kangra,TEHSIL JASWAN,170140,31.116883,77.159523,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B,No,,Tier 3,http://www.govtjandaur.ac.in,info@govtjandaur.ac.in,admissions@govtjandaur.ac.in,placement@govtjandaur.ac.in,+91-80-345-6423,Electrical Engineering,Diploma,60,120,1997,Urban,Yes,Yes
