College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638334660,1-44638334660,U-0164,RAJKIYA ENGINEERING COLLEGE KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"TIRWA, KANNAUJ",201044,26.855524,80.944806,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.rajkiyakannauj.ac.in,info@rajkiyakannauj.ac.in,admissions@rajkiyakannauj.ac.in,placement@rajkiyakannauj.ac.in,+91-80-208-9719,Computer Science Engineering (CSE),B.Tech,90,270,2007,Urban,Yes,Yes
1-44638334660,1-44638334660,U-0164,RAJKIYA ENGINEERING COLLEGE KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"TIRWA, KANNAUJ",201044,26.855524,80.944806,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.rajkiyakannauj.ac.in,info@rajkiyakannauj.ac.in,admissions@rajkiyakannauj.ac.in,placement@rajkiyakannauj.ac.in,+91-80-208-9719,Other Engineering Branches,B.Tech,60,270,2007,Urban,Yes,Yes
1-44638334660,1-44638334660,U-0164,RAJKIYA ENGINEERING COLLEGE KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"TIRWA, KANNAUJ",201044,26.855524,80.944806,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.rajkiyakannauj.ac.in,info@rajkiyakannauj.ac.in,admissions@rajkiyakannauj.ac.in,placement@rajkiyakannauj.ac.in,+91-80-208-9719,Civil Engineering,B.Tech,60,270,2007,Urban,Yes,Yes
1-44638334660,1-44638334660,U-0164,RAJKIYA ENGINEERING COLLEGE KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"TIRWA, KANNAUJ",201044,26.855524,80.944806,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.rajkiyakannauj.ac.in,info@rajkiyakannauj.ac.in,admissions@rajkiyakannauj.ac.in,placement@rajkiyakannauj.ac.in,+91-80-208-9719,Electrical Engineering,B.Tech,60,270,2007,Urban,Yes,Yes
1-44638236055,1-44638236055,U-0449,MAHAMAYA IT POLYTECHNIC KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"MMIT ANAUGI, KANNAUJ",201044,26.83964,80.959434,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.mahamayaitkannauj.ac.in,info@mahamayaitkannauj.ac.in,admissions@mahamayaitkannauj.ac.in,placement@mahamayaitkannauj.ac.in,+91-80-542-7668,Mechanical Engineering,Diploma,60,180,2015,Rural,Yes,Yes
1-44638236055,1-44638236055,U-0449,MAHAMAYA IT POLYTECHNIC KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"MMIT ANAUGI, KANNAUJ",201044,26.83964,80.959434,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.mahamayaitkannauj.ac.in,info@mahamayaitkannauj.ac.in,admissions@mahamayaitkannauj.ac.in,placement@mahamayaitkannauj.ac.in,+91-80-542-7668,Electrical & Electronics Engineering (EEE),Diploma,60,180,2015,Rural,Yes,Yes
1-44638236055,1-44638236055,U-0449,MAHAMAYA IT POLYTECHNIC KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,"MMIT ANAUGI, KANNAUJ",201044,26.83964,80.959434,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.mahamayaitkannauj.ac.in,info@mahamayaitkannauj.ac.in,admissions@mahamayaitkannauj.ac.in,placement@mahamayaitkannauj.ac.in,+91-80-542-7668,Other Engineering Branches,Diploma,60,180,2015,Rural,Yes,Yes
1-44639392308,1-44639392308,U-0449,"MANYAVAR KASHI RAM GOVERNMENT POLYTECHNIC, KANNAUJ",Active,Uttar Pradesh,Kannauj,Kannauj,"DURGA NAGAR, TIRWA KAHS, KANNAUJ",201044,26.859706,80.938965,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.manyavarkashiram.ac.in,info@manyavarkashiram.ac.in,admissions@manyavarkashiram.ac.in,placement@manyavarkashiram.ac.in,+91-80-384-3537,Other Engineering Branches,Diploma,60,180,2005,Rural,Yes,Yes
1-44639392308,1-44639392308,U-0449,"MANYAVAR KASHI RAM GOVERNMENT POLYTECHNIC, KANNAUJ",Active,Uttar Pradesh,Kannauj,Kannauj,"DURGA NAGAR, TIRWA KAHS, KANNAUJ",201044,26.859706,80.938965,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.manyavarkashiram.ac.in,info@manyavarkashiram.ac.in,admissions@manyavarkashiram.ac.in,placement@manyavarkashiram.ac.in,+91-80-384-3537,Mechanical Engineering,Diploma,60,180,2005,Rural,Yes,Yes
1-44639392308,1-44639392308,U-0449,"MANYAVAR KASHI RAM GOVERNMENT POLYTECHNIC, KANNAUJ",Active,Uttar Pradesh,Kannauj,Kannauj,"DURGA NAGAR, TIRWA KAHS, KANNAUJ",201044,26.859706,80.938965,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.manyavarkashiram.ac.in,info@manyavarkashiram.ac.in,admissions@manyavarkashiram.ac.in,placement@manyavarkashiram.ac.in,+91-80-384-3537,Civil Engineering,Diploma,60,180,2005,Rural,Yes,Yes
1-44784894704,1-44784894704,U-0262,GOVERNMENT POLYTECHNIC CHHIBRAMAU KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,CHHIBRAMAU KANNAUJ,201044,26.848998,80.960496,Government,Board of Technical Education Lucknow UP,Approved,Approved,B,No,,Tier 3,http://www.chhibramaukannauj.ac.in,info@chhibramaukannauj.ac.in,admissions@chhibramaukannauj.ac.in,placement@chhibramaukannauj.ac.in,+91-80-935-2411,Electrical Engineering,Diploma,60,240,1984,Urban,Yes,Yes
1-44784894704,1-44784894704,U-0262,GOVERNMENT POLYTECHNIC CHHIBRAMAU KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,CHHIBRAMAU KANNAUJ,201044,26.848998,80.960496,Government,Board of Technical Education Lucknow UP,Approved,Approved,B,No,,Tier 3,http://www.chhibramaukannauj.ac.in,info@chhibramaukannauj.ac.in,admissions@chhibramaukannauj.ac.in,placement@chhibramaukannauj.ac.in,+91-80-935-2411,Computer Science Engineering (CSE),Diploma,60,240,1984,Urban,Yes,Yes
1-44784894704,1-44784894704,U-0262,GOVERNMENT POLYTECHNIC CHHIBRAMAU KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,CHHIBRAMAU KANNAUJ,201044,26.848998,80.960496,Government,Board of Technical Education Lucknow UP,Approved,Approved,B,No,,Tier 3,http://www.chhibramaukannauj.ac.in,info@chhibramaukannauj.ac.in,admissions@chhibramaukannauj.ac.in,placement@chhibramaukannauj.ac.in,+91-80-935-2411,Civil Engineering,Diploma,60,240,1984,Urban,Yes,Yes
1-44784894704,1-44784894704,U-0262,GOVERNMENT POLYTECHNIC CHHIBRAMAU KANNAUJ,Active,Uttar Pradesh,Kannauj,Kannauj,CHHIBRAMAU KANNAUJ,201044,26.848998,80.960496,Government,Board of Technical Education Lucknow UP,Approved,Approved,B,No,,Tier 3,http://www.chhibramaukannauj.ac.in,info@chhibramaukannauj.ac.in,admissions@chhibramaukannauj.ac.in,placement@chhibramaukannauj.ac.in,+91-80-935-2411,Information Technology (IT),Diploma,60,240,1984,Urban,Yes,Yes
