College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638529666,1-44638529666,U-0992,UNIVERSITY COLLEGE OF ENGINEERING NAGERCOIL,Active,Tamil Nadu,Kanyakumari,Kanyakumari,A CONSTITUENT COLLEGE OF ANNA UNIVERSITY  NAGERCOIL - 629 004,600452,8.204449,77.411111,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.nagercoil.ac.in,info@nagercoil.ac.in,admissions@nagercoil.ac.in,placement@nagercoil.ac.in,+91-80-511-9746,Mechanical Engineering,B.Tech,60,420,2016,Rural,No,Yes
1-44638529666,1-44638529666,U-0992,UNIVERSITY COLLEGE OF ENGINEERING NAGERCOIL,Active,Tamil Nadu,Kanyakumari,Kanyakumari,A CONSTITUENT COLLEGE OF ANNA UNIVERSITY  NAGERCOIL - 629 004,600452,8.204449,77.411111,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.nagercoil.ac.in,info@nagercoil.ac.in,admissions@nagercoil.ac.in,placement@nagercoil.ac.in,+91-80-511-9746,Civil Engineering,B.Tech,60,420,2016,Rural,No,Yes
1-44638529666,1-44638529666,U-0992,UNIVERSITY COLLEGE OF ENGINEERING NAGERCOIL,Active,Tamil Nadu,Kanyakumari,Kanyakumari,A CONSTITUENT COLLEGE OF ANNA UNIVERSITY  NAGERCOIL - 629 004,600452,8.204449,77.411111,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.nagercoil.ac.in,info@nagercoil.ac.in,admissions@nagercoil.ac.in,placement@nagercoil.ac.in,+91-80-511-9746,Electrical & Electronics Engineering (EEE),B.Tech,60,420,2016,Rural,No,Yes
1-44638529666,1-44638529666,U-0992,UNIVERSITY COLLEGE OF ENGINEERING NAGERCOIL,Active,Tamil Nadu,Kanyakumari,Kanyakumari,A CONSTITUENT COLLEGE OF ANNA UNIVERSITY  NAGERCOIL - 629 004,600452,8.204449,77.411111,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.nagercoil.ac.in,info@nagercoil.ac.in,admissions@nagercoil.ac.in,placement@nagercoil.ac.in,+91-80-511-9746,Electronics & Communication Engineering (ECE),B.Tech,60,420,2016,Rural,No,Yes
1-44638529666,1-44638529666,U-0992,UNIVERSITY COLLEGE OF ENGINEERING NAGERCOIL,Active,Tamil Nadu,Kanyakumari,Kanyakumari,A CONSTITUENT COLLEGE OF ANNA UNIVERSITY  NAGERCOIL - 629 004,600452,8.204449,77.411111,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.nagercoil.ac.in,info@nagercoil.ac.in,admissions@nagercoil.ac.in,placement@nagercoil.ac.in,+91-80-511-9746,Computer Science Engineering (CSE),B.Tech,120,420,2016,Rural,No,Yes
1-44638529666,1-44638529666,U-0992,UNIVERSITY COLLEGE OF ENGINEERING NAGERCOIL,Active,Tamil Nadu,Kanyakumari,Kanyakumari,A CONSTITUENT COLLEGE OF ANNA UNIVERSITY  NAGERCOIL - 629 004,600452,8.204449,77.411111,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.nagercoil.ac.in,info@nagercoil.ac.in,admissions@nagercoil.ac.in,placement@nagercoil.ac.in,+91-80-511-9746,Information Technology (IT),B.Tech,60,420,2016,Rural,No,Yes
1-44638828335,1-44638828335,U-0682,GOOD SHEPHERD COLLEGE OF ENGINEERING &,Active,Tamil Nadu,Kanyakumari,Kanyakumari,"MARUTHAMPARAI, KALIYAL VILLAGE",600452,8.190436,77.400993,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.goodshepherd.ac.in,info@goodshepherd.ac.in,admissions@goodshepherd.ac.in,placement@goodshepherd.ac.in,+91-80-924-2689,Civil Engineering,B.Tech,30,300,2000,Urban,Yes,Yes
1-44638828335,1-44638828335,U-0682,GOOD SHEPHERD COLLEGE OF ENGINEERING &,Active,Tamil Nadu,Kanyakumari,Kanyakumari,"MARUTHAMPARAI, KALIYAL VILLAGE",600452,8.190436,77.400993,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.goodshepherd.ac.in,info@goodshepherd.ac.in,admissions@goodshepherd.ac.in,placement@goodshepherd.ac.in,+91-80-924-2689,Mechanical Engineering,B.Tech,60,300,2000,Urban,Yes,Yes
1-44638828335,1-44638828335,U-0682,GOOD SHEPHERD COLLEGE OF ENGINEERING &,Active,Tamil Nadu,Kanyakumari,Kanyakumari,"MARUTHAMPARAI, KALIYAL VILLAGE",600452,8.190436,77.400993,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.goodshepherd.ac.in,info@goodshepherd.ac.in,admissions@goodshepherd.ac.in,placement@goodshepherd.ac.in,+91-80-924-2689,Computer Science Engineering (CSE),B.Tech,60,300,2000,Urban,Yes,Yes
1-44638828335,1-44638828335,U-0682,GOOD SHEPHERD COLLEGE OF ENGINEERING &,Active,Tamil Nadu,Kanyakumari,Kanyakumari,"MARUTHAMPARAI, KALIYAL VILLAGE",600452,8.190436,77.400993,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.goodshepherd.ac.in,info@goodshepherd.ac.in,admissions@goodshepherd.ac.in,placement@goodshepherd.ac.in,+91-80-924-2689,Electronics & Communication Engineering (ECE),B.Tech,60,300,2000,Urban,Yes,Yes
