College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Civil Engineering,B.Tech,60,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Computer Science Engineering (CSE),B.Tech,90,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Electronics & Communication Engineering (ECE),B.Tech,60,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Mechanical Engineering,B.Tech,60,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Robotics,M.Tech,18,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Other Engineering Branches,M.Tech,18,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Electrical Engineering,B.Tech,60,414,1987,Rural,Yes,Yes
1-44638138956,1-44638138956,U-0069,STATE INSTITUTE OF ENGG. AND TECHNOLOGY NILOKHERI,Active,Haryana,Karnal,Karnal,NILOKHERI,120251,29.051895,76.097245,Government,"Kurukshetra University, Kurukshetra",Approved,Approved,B++,Yes,,Tier 3,http://www.enggnilokheri.ac.in,info@enggnilokheri.ac.in,admissions@enggnilokheri.ac.in,placement@enggnilokheri.ac.in,+91-80-549-2426,Civil Engineering,M.Tech,18,414,1987,Rural,Yes,Yes
1-44639366331,1-44639366331,U-0294,"GURU BRAHMANAND JI GOVT. POLYTECHNIC, NILOKHERI",Active,Haryana,Karnal,Karnal,NEAR NATIONAL HIGHWAY-1,120251,29.072052,76.075429,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurubrahmanandji.ac.in,info@gurubrahmanandji.ac.in,admissions@gurubrahmanandji.ac.in,placement@gurubrahmanandji.ac.in,+91-80-394-6942,Computer Science Engineering (CSE),Diploma,120,600,1988,Urban,Yes,Yes
1-44639366331,1-44639366331,U-0294,"GURU BRAHMANAND JI GOVT. POLYTECHNIC, NILOKHERI",Active,Haryana,Karnal,Karnal,NEAR NATIONAL HIGHWAY-1,120251,29.072052,76.075429,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurubrahmanandji.ac.in,info@gurubrahmanandji.ac.in,admissions@gurubrahmanandji.ac.in,placement@gurubrahmanandji.ac.in,+91-80-394-6942,Civil Engineering,Diploma,120,600,1988,Urban,Yes,Yes
1-44639366331,1-44639366331,U-0294,"GURU BRAHMANAND JI GOVT. POLYTECHNIC, NILOKHERI",Active,Haryana,Karnal,Karnal,NEAR NATIONAL HIGHWAY-1,120251,29.072052,76.075429,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurubrahmanandji.ac.in,info@gurubrahmanandji.ac.in,admissions@gurubrahmanandji.ac.in,placement@gurubrahmanandji.ac.in,+91-80-394-6942,Electrical Engineering,Diploma,60,600,1988,Urban,Yes,Yes
1-44639366331,1-44639366331,U-0294,"GURU BRAHMANAND JI GOVT. POLYTECHNIC, NILOKHERI",Active,Haryana,Karnal,Karnal,NEAR NATIONAL HIGHWAY-1,120251,29.072052,76.075429,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurubrahmanandji.ac.in,info@gurubrahmanandji.ac.in,admissions@gurubrahmanandji.ac.in,placement@gurubrahmanandji.ac.in,+91-80-394-6942,Electronics & Communication Engineering (ECE),Diploma,120,600,1988,Urban,Yes,Yes
1-44639366331,1-44639366331,U-0294,"GURU BRAHMANAND JI GOVT. POLYTECHNIC, NILOKHERI",Active,Haryana,Karnal,Karnal,NEAR NATIONAL HIGHWAY-1,120251,29.072052,76.075429,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurubrahmanandji.ac.in,info@gurubrahmanandji.ac.in,admissions@gurubrahmanandji.ac.in,placement@gurubrahmanandji.ac.in,+91-80-394-6942,Mechanical Engineering,Diploma,120,600,1988,Urban,Yes,Yes
1-44639366331,1-44639366331,U-0294,"GURU BRAHMANAND JI GOVT. POLYTECHNIC, NILOKHERI",Active,Haryana,Karnal,Karnal,NEAR NATIONAL HIGHWAY-1,120251,29.072052,76.075429,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurubrahmanandji.ac.in,info@gurubrahmanandji.ac.in,admissions@gurubrahmanandji.ac.in,placement@gurubrahmanandji.ac.in,+91-80-394-6942,Other Engineering Branches,Diploma,60,600,1988,Urban,Yes,Yes
1-44640437376,1-44640437376,U-0294,VINAYAK COLLEGE OF POLYTECHNIC,Active,Haryana,Karnal,Karnal,NEAR BUS STAND VPO. KACHWA,120251,29.050299,76.07965,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.vinayak.ac.in,info@vinayak.ac.in,admissions@vinayak.ac.in,placement@vinayak.ac.in,+91-80-482-3129,Civil Engineering,Diploma,60,270,1996,Urban,Yes,Yes
1-44640437376,1-44640437376,U-0294,VINAYAK COLLEGE OF POLYTECHNIC,Active,Haryana,Karnal,Karnal,NEAR BUS STAND VPO. KACHWA,120251,29.050299,76.07965,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.vinayak.ac.in,info@vinayak.ac.in,admissions@vinayak.ac.in,placement@vinayak.ac.in,+91-80-482-3129,Computer Science Engineering (CSE),Diploma,60,270,1996,Urban,Yes,Yes
1-44640437376,1-44640437376,U-0294,VINAYAK COLLEGE OF POLYTECHNIC,Active,Haryana,Karnal,Karnal,NEAR BUS STAND VPO. KACHWA,120251,29.050299,76.07965,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.vinayak.ac.in,info@vinayak.ac.in,admissions@vinayak.ac.in,placement@vinayak.ac.in,+91-80-482-3129,Electrical Engineering,Diploma,60,270,1996,Urban,Yes,Yes
1-44640437376,1-44640437376,U-0294,VINAYAK COLLEGE OF POLYTECHNIC,Active,Haryana,Karnal,Karnal,NEAR BUS STAND VPO. KACHWA,120251,29.050299,76.07965,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.vinayak.ac.in,info@vinayak.ac.in,admissions@vinayak.ac.in,placement@vinayak.ac.in,+91-80-482-3129,Mechanical Engineering,Diploma,60,270,1996,Urban,Yes,Yes
1-44640437376,1-44640437376,U-0294,VINAYAK COLLEGE OF POLYTECHNIC,Active,Haryana,Karnal,Karnal,NEAR BUS STAND VPO. KACHWA,120251,29.050299,76.07965,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.vinayak.ac.in,info@vinayak.ac.in,admissions@vinayak.ac.in,placement@vinayak.ac.in,+91-80-482-3129,Electronics & Communication Engineering (ECE),Diploma,30,270,1996,Urban,Yes,Yes
1-44641348473,1-44641348473,U-0843,R.P. INSTITUTE OF PHARMACY,Active,Haryana,Karnal,Karnal,"G.T. BASTARA, KARNAL",120251,29.061098,76.10431,Private-Self Financing,"Department of Technical Education, Panchkula",Approved,Approved,Not Accredited,No,,Tier 3,http://www.rppharmacy.ac.in,info@rppharmacy.ac.in,admissions@rppharmacy.ac.in,placement@rppharmacy.ac.in,+91-80-935-2439,Other Engineering Branches,Diploma,60,60,1984,Urban,Yes,Yes
1-44642245684,1-44642245684,U-0069,R.P. EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Haryana,Karnal,Karnal,"G.T. ROAD, BASTARA,KARNAL",120251,29.077392,76.070476,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,A,No,,Tier 3,http://www.rpeducational.ac.in,info@rpeducational.ac.in,admissions@rpeducational.ac.in,placement@rpeducational.ac.in,+91-80-618-6399,Electrical Engineering,B.Tech,30,168,2018,Urban,Yes,Yes
1-44642245684,1-44642245684,U-0069,R.P. EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Haryana,Karnal,Karnal,"G.T. ROAD, BASTARA,KARNAL",120251,29.077392,76.070476,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,A,No,,Tier 3,http://www.rpeducational.ac.in,info@rpeducational.ac.in,admissions@rpeducational.ac.in,placement@rpeducational.ac.in,+91-80-618-6399,Other Engineering Branches,M.Tech,18,168,2018,Urban,Yes,Yes
1-44642245684,1-44642245684,U-0069,R.P. EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Haryana,Karnal,Karnal,"G.T. ROAD, BASTARA,KARNAL",120251,29.077392,76.070476,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,A,No,,Tier 3,http://www.rpeducational.ac.in,info@rpeducational.ac.in,admissions@rpeducational.ac.in,placement@rpeducational.ac.in,+91-80-618-6399,Civil Engineering,B.Tech,90,168,2018,Urban,Yes,Yes
1-44642245684,1-44642245684,U-0069,R.P. EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Haryana,Karnal,Karnal,"G.T. ROAD, BASTARA,KARNAL",120251,29.077392,76.070476,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,A,No,,Tier 3,http://www.rpeducational.ac.in,info@rpeducational.ac.in,admissions@rpeducational.ac.in,placement@rpeducational.ac.in,+91-80-618-6399,Civil Engineering,Diploma,30,168,2018,Urban,Yes,Yes
1-44642044908,1-44642044908,U-0069,R.P. INDERAPRASTHA INSTITUTE OF TECHNOLOGY,Active,Haryana,Karnal,Karnal,"BASTARA, NEAR MADHUBAN, G.T. ROAD, KARNAL",120251,29.065785,76.078046,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,Not Accredited,No,,Tier 3,http://www.rpinderaprastha.ac.in,info@rpinderaprastha.ac.in,admissions@rpinderaprastha.ac.in,placement@rpinderaprastha.ac.in,+91-80-131-8351,Computer Science Engineering (CSE),B.Tech,60,177,1991,Urban,Yes,Yes
1-44642044908,1-44642044908,U-0069,R.P. INDERAPRASTHA INSTITUTE OF TECHNOLOGY,Active,Haryana,Karnal,Karnal,"BASTARA, NEAR MADHUBAN, G.T. ROAD, KARNAL",120251,29.065785,76.078046,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,Not Accredited,No,,Tier 3,http://www.rpinderaprastha.ac.in,info@rpinderaprastha.ac.in,admissions@rpinderaprastha.ac.in,placement@rpinderaprastha.ac.in,+91-80-131-8351,Computer Science Engineering (CSE),M.Tech,18,177,1991,Urban,Yes,Yes
1-44642044908,1-44642044908,U-0069,R.P. INDERAPRASTHA INSTITUTE OF TECHNOLOGY,Active,Haryana,Karnal,Karnal,"BASTARA, NEAR MADHUBAN, G.T. ROAD, KARNAL",120251,29.065785,76.078046,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,Not Accredited,No,,Tier 3,http://www.rpinderaprastha.ac.in,info@rpinderaprastha.ac.in,admissions@rpinderaprastha.ac.in,placement@rpinderaprastha.ac.in,+91-80-131-8351,Electronics & Communication Engineering (ECE),B.Tech,30,177,1991,Urban,Yes,Yes
1-44642044908,1-44642044908,U-0069,R.P. INDERAPRASTHA INSTITUTE OF TECHNOLOGY,Active,Haryana,Karnal,Karnal,"BASTARA, NEAR MADHUBAN, G.T. ROAD, KARNAL",120251,29.065785,76.078046,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,Not Accredited,No,,Tier 3,http://www.rpinderaprastha.ac.in,info@rpinderaprastha.ac.in,admissions@rpinderaprastha.ac.in,placement@rpinderaprastha.ac.in,+91-80-131-8351,Mechanical Engineering,B.Tech,60,177,1991,Urban,Yes,Yes
