College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Electrical & Electronics Engineering (EEE),B.Tech,30,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Computer Science Engineering (CSE),M.Tech,18,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Other Engineering Branches,M.Tech,30,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Civil Engineering,B.Tech,30,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Mechanical Engineering,B.Tech,60,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Electronics & Communication Engineering (ECE),B.Tech,30,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Computer Science Engineering (CSE),B.Tech,60,288,1987,Urban,No,Yes
1-44639976735,1-44639976735,U-0682,ARULMURUGAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY TALUK KARUR-639206,639206,11.141604,78.646799,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-447-1743,Data Science,B.Tech,30,288,1987,Urban,No,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Civil Engineering,Diploma,30,360,1984,Rural,Yes,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Mechanical Engineering,Diploma,90,360,1984,Rural,Yes,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Electrical & Electronics Engineering (EEE),Diploma,60,360,1984,Rural,Yes,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Electronics & Communication Engineering (ECE),Diploma,30,360,1984,Rural,Yes,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Computer Science Engineering (CSE),Diploma,60,360,1984,Rural,Yes,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Automobile Engineering,Diploma,30,360,1984,Rural,Yes,Yes
1-44639913079,1-44639913079,U-0650,THE KARUR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,SANJAY NAGAR KARUR-ERODE MAIN ROAD ATHUR-POST KARUR-DISTRICT TAMIL NADU,600064,11.110086,78.637693,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thekarur.ac.in,info@thekarur.ac.in,admissions@thekarur.ac.in,placement@thekarur.ac.in,+91-80-125-2613,Other Engineering Branches,Diploma,60,360,1984,Rural,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Other Engineering Branches,M.Tech,30,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Mechanical Engineering,B.Tech,30,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Computer Science Engineering (CSE),B.Tech,90,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Civil Engineering,B.Tech,30,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Electrical & Electronics Engineering (EEE),B.Tech,30,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Electronics & Communication Engineering (ECE),B.Tech,90,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Information Technology (IT),B.Tech,60,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Data Science,B.Tech,120,498,1990,Urban,Yes,Yes
1-44640917335,1-44640917335,U-0682,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Karur,Karur,N. S. N. KALVI NAGAR KARUR-MADURAI NH-7 MANALMEDU THALAPATTI(PO),600064,11.120643,78.675395,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.nsn.ac.in,info@nsn.ac.in,admissions@nsn.ac.in,placement@nsn.ac.in,+91-80-568-0630,Computer Science Engineering (CSE),M.Tech,18,498,1990,Urban,Yes,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Computer Science Engineering (CSE),Diploma,60,420,2015,Urban,No,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Other Engineering Branches,Diploma,90,420,2015,Urban,No,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Mechanical Engineering,Diploma,90,420,2015,Urban,No,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Electronics & Communication Engineering (ECE),Diploma,30,420,2015,Urban,No,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Electrical & Electronics Engineering (EEE),Diploma,60,420,2015,Urban,No,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Automobile Engineering,Diploma,60,420,2015,Urban,No,Yes
1-44641103834,1-44641103834,U-0650,ARULMURUGAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,KARVAZHI ROAD THENNILAI ARAVAKURICHY-TK KARUR-DT,600064,11.112489,78.668493,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B++,No,,Tier 3,http://www.arulmurugan.ac.in,info@arulmurugan.ac.in,admissions@arulmurugan.ac.in,placement@arulmurugan.ac.in,+91-80-226-0426,Agricultural Engineering,Diploma,30,420,2015,Urban,No,Yes
1-44641356016,1-44641356016,U-0294,KONGU HI-TEK POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,"S.F.NO.94/2 PUNGAMPADI WEST VILLAGE, KANAKUVELANPATTY POST, ARAVAKURICHI TALUK, KARUR DISTRICT, PIN 639 201",600064,11.135254,78.668229,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.konguhitek.ac.in,info@konguhitek.ac.in,admissions@konguhitek.ac.in,placement@konguhitek.ac.in,+91-80-180-8456,Electrical & Electronics Engineering (EEE),Diploma,120,450,1981,Urban,Yes,Yes
1-44641356016,1-44641356016,U-0294,KONGU HI-TEK POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,"S.F.NO.94/2 PUNGAMPADI WEST VILLAGE, KANAKUVELANPATTY POST, ARAVAKURICHI TALUK, KARUR DISTRICT, PIN 639 201",600064,11.135254,78.668229,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.konguhitek.ac.in,info@konguhitek.ac.in,admissions@konguhitek.ac.in,placement@konguhitek.ac.in,+91-80-180-8456,Mechanical Engineering,Diploma,120,450,1981,Urban,Yes,Yes
1-44641356016,1-44641356016,U-0294,KONGU HI-TEK POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,"S.F.NO.94/2 PUNGAMPADI WEST VILLAGE, KANAKUVELANPATTY POST, ARAVAKURICHI TALUK, KARUR DISTRICT, PIN 639 201",600064,11.135254,78.668229,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.konguhitek.ac.in,info@konguhitek.ac.in,admissions@konguhitek.ac.in,placement@konguhitek.ac.in,+91-80-180-8456,Computer Science Engineering (CSE),Diploma,60,450,1981,Urban,Yes,Yes
1-44641356016,1-44641356016,U-0294,KONGU HI-TEK POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,"S.F.NO.94/2 PUNGAMPADI WEST VILLAGE, KANAKUVELANPATTY POST, ARAVAKURICHI TALUK, KARUR DISTRICT, PIN 639 201",600064,11.135254,78.668229,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.konguhitek.ac.in,info@konguhitek.ac.in,admissions@konguhitek.ac.in,placement@konguhitek.ac.in,+91-80-180-8456,Civil Engineering,Diploma,60,450,1981,Urban,Yes,Yes
1-44641356016,1-44641356016,U-0294,KONGU HI-TEK POLYTECHNIC COLLEGE,Active,Tamil Nadu,Karur,Karur,"S.F.NO.94/2 PUNGAMPADI WEST VILLAGE, KANAKUVELANPATTY POST, ARAVAKURICHI TALUK, KARUR DISTRICT, PIN 639 201",600064,11.135254,78.668229,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.konguhitek.ac.in,info@konguhitek.ac.in,admissions@konguhitek.ac.in,placement@konguhitek.ac.in,+91-80-180-8456,Electronics & Communication Engineering (ECE),Diploma,30,450,1981,Urban,Yes,Yes
