College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639488554,1-44639488554,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE, KASARAGOD",Active,Kerala,Kasaragod,Kasaragod,"PERIYE  POST; BEKAL FORT VIA,",682236,10.834624,76.261339,Government,"Board of Technical Examination, Kerala",Approved,Approved,A,No,,Tier 2,http://www.kasaragod.ac.in,info@kasaragod.ac.in,admissions@kasaragod.ac.in,placement@kasaragod.ac.in,+91-80-172-9601,Electrical & Electronics Engineering (EEE),Diploma,60,280,2015,Rural,Yes,Yes
1-44639488554,1-44639488554,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE, KASARAGOD",Active,Kerala,Kasaragod,Kasaragod,"PERIYE  POST; BEKAL FORT VIA,",682236,10.834624,76.261339,Government,"Board of Technical Examination, Kerala",Approved,Approved,A,No,,Tier 2,http://www.kasaragod.ac.in,info@kasaragod.ac.in,admissions@kasaragod.ac.in,placement@kasaragod.ac.in,+91-80-172-9601,Computer Science Engineering (CSE),Diploma,60,280,2015,Rural,Yes,Yes
1-44639488554,1-44639488554,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE, KASARAGOD",Active,Kerala,Kasaragod,Kasaragod,"PERIYE  POST; BEKAL FORT VIA,",682236,10.834624,76.261339,Government,"Board of Technical Examination, Kerala",Approved,Approved,A,No,,Tier 2,http://www.kasaragod.ac.in,info@kasaragod.ac.in,admissions@kasaragod.ac.in,placement@kasaragod.ac.in,+91-80-172-9601,Mechanical Engineering,Diploma,60,280,2015,Rural,Yes,Yes
1-44639488554,1-44639488554,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE, KASARAGOD",Active,Kerala,Kasaragod,Kasaragod,"PERIYE  POST; BEKAL FORT VIA,",682236,10.834624,76.261339,Government,"Board of Technical Examination, Kerala",Approved,Approved,A,No,,Tier 2,http://www.kasaragod.ac.in,info@kasaragod.ac.in,admissions@kasaragod.ac.in,placement@kasaragod.ac.in,+91-80-172-9601,Other Engineering Branches,Diploma,60,280,2015,Rural,Yes,Yes
1-44639488554,1-44639488554,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE, KASARAGOD",Active,Kerala,Kasaragod,Kasaragod,"PERIYE  POST; BEKAL FORT VIA,",682236,10.834624,76.261339,Government,"Board of Technical Examination, Kerala",Approved,Approved,A,No,,Tier 2,http://www.kasaragod.ac.in,info@kasaragod.ac.in,admissions@kasaragod.ac.in,placement@kasaragod.ac.in,+91-80-172-9601,Civil Engineering,Diploma,40,280,2015,Rural,Yes,Yes
1-44641207194,1-44641207194,U-0317,"E K NAYANAR MEMORIAL GOVERNMENT POLYTECHNIC COLLEGE, THRIKKARIPPUR",Active,Kerala,Kasaragod,Kasaragod,TRIKARIPUR UDINUR PO KASARAGOD,682236,10.860569,76.272165,Government,"Board of Technical Examination, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.eknayanar.ac.in,info@eknayanar.ac.in,admissions@eknayanar.ac.in,placement@eknayanar.ac.in,+91-80-261-1974,Computer Science Engineering (CSE),Diploma,60,220,2006,Rural,No,Yes
1-44641207194,1-44641207194,U-0317,"E K NAYANAR MEMORIAL GOVERNMENT POLYTECHNIC COLLEGE, THRIKKARIPPUR",Active,Kerala,Kasaragod,Kasaragod,TRIKARIPUR UDINUR PO KASARAGOD,682236,10.860569,76.272165,Government,"Board of Technical Examination, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.eknayanar.ac.in,info@eknayanar.ac.in,admissions@eknayanar.ac.in,placement@eknayanar.ac.in,+91-80-261-1974,Other Engineering Branches,Diploma,160,220,2006,Rural,No,Yes
1-44641782805,1-44641782805,U-0672,LBS COLLEGE OF ENGINEERING,Active,Kerala,Kasaragod,Kasaragod,"POVVAL, MULIYAR PO, KASARAGOD, KERALA, 671542",671542,10.843788,76.271429,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.lbs.ac.in,info@lbs.ac.in,admissions@lbs.ac.in,placement@lbs.ac.in,+91-80-557-3250,Civil Engineering,B.Tech,60,618,2007,Urban,No,Yes
1-44641782805,1-44641782805,U-0672,LBS COLLEGE OF ENGINEERING,Active,Kerala,Kasaragod,Kasaragod,"POVVAL, MULIYAR PO, KASARAGOD, KERALA, 671542",671542,10.843788,76.271429,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.lbs.ac.in,info@lbs.ac.in,admissions@lbs.ac.in,placement@lbs.ac.in,+91-80-557-3250,Mechanical Engineering,B.Tech,60,618,2007,Urban,No,Yes
1-44641782805,1-44641782805,U-0672,LBS COLLEGE OF ENGINEERING,Active,Kerala,Kasaragod,Kasaragod,"POVVAL, MULIYAR PO, KASARAGOD, KERALA, 671542",671542,10.843788,76.271429,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.lbs.ac.in,info@lbs.ac.in,admissions@lbs.ac.in,placement@lbs.ac.in,+91-80-557-3250,Electrical & Electronics Engineering (EEE),B.Tech,60,618,2007,Urban,No,Yes
