College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638499386,1-44638499386,U-0698,GOVERNMENT POLYTECHNIC KHAGARIA,Active,Bihar,Katihar,Katihar,"GOVERNMENT POLYTECHNIC KHAGARIA, AT- MAHADDIPUR, PASRAHA, KHAGARIA, BIHAR, 851212",851212,25.078963,85.319333,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.khagaria.ac.in,info@khagaria.ac.in,admissions@khagaria.ac.in,placement@khagaria.ac.in,+91-80-120-1063,Civil Engineering,Diploma,120,360,2015,Urban,No,Yes
1-44638499386,1-44638499386,U-0698,GOVERNMENT POLYTECHNIC KHAGARIA,Active,Bihar,Katihar,Katihar,"GOVERNMENT POLYTECHNIC KHAGARIA, AT- MAHADDIPUR, PASRAHA, KHAGARIA, BIHAR, 851212",851212,25.078963,85.319333,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.khagaria.ac.in,info@khagaria.ac.in,admissions@khagaria.ac.in,placement@khagaria.ac.in,+91-80-120-1063,Mechanical Engineering,Diploma,60,360,2015,Urban,No,Yes
1-44638499386,1-44638499386,U-0698,GOVERNMENT POLYTECHNIC KHAGARIA,Active,Bihar,Katihar,Katihar,"GOVERNMENT POLYTECHNIC KHAGARIA, AT- MAHADDIPUR, PASRAHA, KHAGARIA, BIHAR, 851212",851212,25.078963,85.319333,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.khagaria.ac.in,info@khagaria.ac.in,admissions@khagaria.ac.in,placement@khagaria.ac.in,+91-80-120-1063,Electrical Engineering,Diploma,60,360,2015,Urban,No,Yes
1-44638499386,1-44638499386,U-0698,GOVERNMENT POLYTECHNIC KHAGARIA,Active,Bihar,Katihar,Katihar,"GOVERNMENT POLYTECHNIC KHAGARIA, AT- MAHADDIPUR, PASRAHA, KHAGARIA, BIHAR, 851212",851212,25.078963,85.319333,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.khagaria.ac.in,info@khagaria.ac.in,admissions@khagaria.ac.in,placement@khagaria.ac.in,+91-80-120-1063,Other Engineering Branches,Diploma,60,360,2015,Urban,No,Yes
1-44638499386,1-44638499386,U-0698,GOVERNMENT POLYTECHNIC KHAGARIA,Active,Bihar,Katihar,Katihar,"GOVERNMENT POLYTECHNIC KHAGARIA, AT- MAHADDIPUR, PASRAHA, KHAGARIA, BIHAR, 851212",851212,25.078963,85.319333,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.khagaria.ac.in,info@khagaria.ac.in,admissions@khagaria.ac.in,placement@khagaria.ac.in,+91-80-120-1063,Computer Science Engineering (CSE),Diploma,60,360,2015,Urban,No,Yes
1-44638206102,1-44638206102,U-0440,"KATIHAR ENGINEERING COLLEGE, KATIHAR",Active,Bihar,Katihar,Katihar,"KATIHAR ENGINEERING COLLEGE, KATIHAR NEAR PLY MIL CHAWK, HAJIPUR KATIHAR 854109",854109,25.076858,85.304686,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.katiharkatihar.ac.in,info@katiharkatihar.ac.in,admissions@katiharkatihar.ac.in,placement@katiharkatihar.ac.in,+91-80-031-8026,Civil Engineering,B.Tech,60,378,2014,Rural,Yes,Yes
1-44638206102,1-44638206102,U-0440,"KATIHAR ENGINEERING COLLEGE, KATIHAR",Active,Bihar,Katihar,Katihar,"KATIHAR ENGINEERING COLLEGE, KATIHAR NEAR PLY MIL CHAWK, HAJIPUR KATIHAR 854109",854109,25.076858,85.304686,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.katiharkatihar.ac.in,info@katiharkatihar.ac.in,admissions@katiharkatihar.ac.in,placement@katiharkatihar.ac.in,+91-80-031-8026,Mechanical Engineering,B.Tech,60,378,2014,Rural,Yes,Yes
1-44638206102,1-44638206102,U-0440,"KATIHAR ENGINEERING COLLEGE, KATIHAR",Active,Bihar,Katihar,Katihar,"KATIHAR ENGINEERING COLLEGE, KATIHAR NEAR PLY MIL CHAWK, HAJIPUR KATIHAR 854109",854109,25.076858,85.304686,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.katiharkatihar.ac.in,info@katiharkatihar.ac.in,admissions@katiharkatihar.ac.in,placement@katiharkatihar.ac.in,+91-80-031-8026,Computer Science Engineering (CSE),B.Tech,120,378,2014,Rural,Yes,Yes
1-44638206102,1-44638206102,U-0440,"KATIHAR ENGINEERING COLLEGE, KATIHAR",Active,Bihar,Katihar,Katihar,"KATIHAR ENGINEERING COLLEGE, KATIHAR NEAR PLY MIL CHAWK, HAJIPUR KATIHAR 854109",854109,25.076858,85.304686,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.katiharkatihar.ac.in,info@katiharkatihar.ac.in,admissions@katiharkatihar.ac.in,placement@katiharkatihar.ac.in,+91-80-031-8026,Electrical & Electronics Engineering (EEE),B.Tech,60,378,2014,Rural,Yes,Yes
1-44638206102,1-44638206102,U-0440,"KATIHAR ENGINEERING COLLEGE, KATIHAR",Active,Bihar,Katihar,Katihar,"KATIHAR ENGINEERING COLLEGE, KATIHAR NEAR PLY MIL CHAWK, HAJIPUR KATIHAR 854109",854109,25.076858,85.304686,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.katiharkatihar.ac.in,info@katiharkatihar.ac.in,admissions@katiharkatihar.ac.in,placement@katiharkatihar.ac.in,+91-80-031-8026,Other Engineering Branches,B.Tech,30,378,2014,Rural,Yes,Yes
