College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640208122,1-44640208122,U-0072,PNS SCHOOL OF ENGINEERING & TECHNOLOGY(POLYTECHNIC),Active,Odisha,Kendrapara,Kendrapara,"NISHAMANI VIHAR, MARSHAGHAI, KENDRAPARA, ORISSA",751232,20.966165,85.079707,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.pnsschooltechnologypolytechnic.ac.in,info@pnsschooltechnologypolytechnic.ac.in,admissions@pnsschooltechnologypolytechnic.ac.in,placement@pnsschooltechnologypolytechnic.ac.in,+91-80-445-5559,Civil Engineering,Diploma,30,309,1983,Urban,No,Yes
1-44640208122,1-44640208122,U-0072,PNS SCHOOL OF ENGINEERING & TECHNOLOGY(POLYTECHNIC),Active,Odisha,Kendrapara,Kendrapara,"NISHAMANI VIHAR, MARSHAGHAI, KENDRAPARA, ORISSA",751232,20.966165,85.079707,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.pnsschooltechnologypolytechnic.ac.in,info@pnsschooltechnologypolytechnic.ac.in,admissions@pnsschooltechnologypolytechnic.ac.in,placement@pnsschooltechnologypolytechnic.ac.in,+91-80-445-5559,Computer Science Engineering (CSE),Diploma,60,309,1983,Urban,No,Yes
1-44640208122,1-44640208122,U-0072,PNS SCHOOL OF ENGINEERING & TECHNOLOGY(POLYTECHNIC),Active,Odisha,Kendrapara,Kendrapara,"NISHAMANI VIHAR, MARSHAGHAI, KENDRAPARA, ORISSA",751232,20.966165,85.079707,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.pnsschooltechnologypolytechnic.ac.in,info@pnsschooltechnologypolytechnic.ac.in,admissions@pnsschooltechnologypolytechnic.ac.in,placement@pnsschooltechnologypolytechnic.ac.in,+91-80-445-5559,Electrical Engineering,Diploma,81,309,1983,Urban,No,Yes
1-44640208122,1-44640208122,U-0072,PNS SCHOOL OF ENGINEERING & TECHNOLOGY(POLYTECHNIC),Active,Odisha,Kendrapara,Kendrapara,"NISHAMANI VIHAR, MARSHAGHAI, KENDRAPARA, ORISSA",751232,20.966165,85.079707,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.pnsschooltechnologypolytechnic.ac.in,info@pnsschooltechnologypolytechnic.ac.in,admissions@pnsschooltechnologypolytechnic.ac.in,placement@pnsschooltechnologypolytechnic.ac.in,+91-80-445-5559,Electronics & Communication Engineering (ECE),Diploma,30,309,1983,Urban,No,Yes
1-44640208122,1-44640208122,U-0072,PNS SCHOOL OF ENGINEERING & TECHNOLOGY(POLYTECHNIC),Active,Odisha,Kendrapara,Kendrapara,"NISHAMANI VIHAR, MARSHAGHAI, KENDRAPARA, ORISSA",751232,20.966165,85.079707,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.pnsschooltechnologypolytechnic.ac.in,info@pnsschooltechnologypolytechnic.ac.in,admissions@pnsschooltechnologypolytechnic.ac.in,placement@pnsschooltechnologypolytechnic.ac.in,+91-80-445-5559,Mechanical Engineering,Diploma,108,309,1983,Urban,No,Yes
1-44640219431,1-44640219431,U-0949,"GOVERNMENT POLYTECHNIC, KENDRAPARA",Active,Odisha,Kendrapara,Kendrapara,AT/PO-CHATRA CHAKADA BLOCK- DERABISH,751232,20.947283,85.115252,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.kendrapara.ac.in,info@kendrapara.ac.in,admissions@kendrapara.ac.in,placement@kendrapara.ac.in,+91-80-653-5915,Electrical Engineering,Diploma,120,420,1984,Urban,No,Yes
1-44640219431,1-44640219431,U-0949,"GOVERNMENT POLYTECHNIC, KENDRAPARA",Active,Odisha,Kendrapara,Kendrapara,AT/PO-CHATRA CHAKADA BLOCK- DERABISH,751232,20.947283,85.115252,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.kendrapara.ac.in,info@kendrapara.ac.in,admissions@kendrapara.ac.in,placement@kendrapara.ac.in,+91-80-653-5915,Electronics & Communication Engineering (ECE),Diploma,60,420,1984,Urban,No,Yes
1-44640219431,1-44640219431,U-0949,"GOVERNMENT POLYTECHNIC, KENDRAPARA",Active,Odisha,Kendrapara,Kendrapara,AT/PO-CHATRA CHAKADA BLOCK- DERABISH,751232,20.947283,85.115252,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.kendrapara.ac.in,info@kendrapara.ac.in,admissions@kendrapara.ac.in,placement@kendrapara.ac.in,+91-80-653-5915,Mechanical Engineering,Diploma,120,420,1984,Urban,No,Yes
1-44640219431,1-44640219431,U-0949,"GOVERNMENT POLYTECHNIC, KENDRAPARA",Active,Odisha,Kendrapara,Kendrapara,AT/PO-CHATRA CHAKADA BLOCK- DERABISH,751232,20.947283,85.115252,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.kendrapara.ac.in,info@kendrapara.ac.in,admissions@kendrapara.ac.in,placement@kendrapara.ac.in,+91-80-653-5915,Civil Engineering,Diploma,60,420,1984,Urban,No,Yes
1-44640219431,1-44640219431,U-0949,"GOVERNMENT POLYTECHNIC, KENDRAPARA",Active,Odisha,Kendrapara,Kendrapara,AT/PO-CHATRA CHAKADA BLOCK- DERABISH,751232,20.947283,85.115252,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.kendrapara.ac.in,info@kendrapara.ac.in,admissions@kendrapara.ac.in,placement@kendrapara.ac.in,+91-80-653-5915,Computer Science Engineering (CSE),Diploma,60,420,1984,Urban,No,Yes
