College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639357213,1-44639357213,U-0665,GOVERNMENT COLLEGE OF ENGINEERING. KEONJHAR,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),AT - JAMUNALIA P.O. - OLD TOWN DIST - KEONJHAR,751098,20.959191,85.082564,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B++,Yes,,Tier 3,http://www.keonjhar.ac.in,info@keonjhar.ac.in,admissions@keonjhar.ac.in,placement@keonjhar.ac.in,+91-80-153-0266,Mechanical Engineering,B.Tech,60,341,2000,Urban,Yes,Yes
1-44639357213,1-44639357213,U-0665,GOVERNMENT COLLEGE OF ENGINEERING. KEONJHAR,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),AT - JAMUNALIA P.O. - OLD TOWN DIST - KEONJHAR,751098,20.959191,85.082564,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B++,Yes,,Tier 3,http://www.keonjhar.ac.in,info@keonjhar.ac.in,admissions@keonjhar.ac.in,placement@keonjhar.ac.in,+91-80-153-0266,Electrical Engineering,B.Tech,60,341,2000,Urban,Yes,Yes
1-44639357213,1-44639357213,U-0665,GOVERNMENT COLLEGE OF ENGINEERING. KEONJHAR,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),AT - JAMUNALIA P.O. - OLD TOWN DIST - KEONJHAR,751098,20.959191,85.082564,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B++,Yes,,Tier 3,http://www.keonjhar.ac.in,info@keonjhar.ac.in,admissions@keonjhar.ac.in,placement@keonjhar.ac.in,+91-80-153-0266,Mining Engineering,B.Tech,60,341,2000,Urban,Yes,Yes
1-44639357213,1-44639357213,U-0665,GOVERNMENT COLLEGE OF ENGINEERING. KEONJHAR,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),AT - JAMUNALIA P.O. - OLD TOWN DIST - KEONJHAR,751098,20.959191,85.082564,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B++,Yes,,Tier 3,http://www.keonjhar.ac.in,info@keonjhar.ac.in,admissions@keonjhar.ac.in,placement@keonjhar.ac.in,+91-80-153-0266,Other Engineering Branches,B.Tech,41,341,2000,Urban,Yes,Yes
1-44639357213,1-44639357213,U-0665,GOVERNMENT COLLEGE OF ENGINEERING. KEONJHAR,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),AT - JAMUNALIA P.O. - OLD TOWN DIST - KEONJHAR,751098,20.959191,85.082564,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B++,Yes,,Tier 3,http://www.keonjhar.ac.in,info@keonjhar.ac.in,admissions@keonjhar.ac.in,placement@keonjhar.ac.in,+91-80-153-0266,Civil Engineering,B.Tech,60,341,2000,Urban,Yes,Yes
1-44639357213,1-44639357213,U-0665,GOVERNMENT COLLEGE OF ENGINEERING. KEONJHAR,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),AT - JAMUNALIA P.O. - OLD TOWN DIST - KEONJHAR,751098,20.959191,85.082564,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B++,Yes,,Tier 3,http://www.keonjhar.ac.in,info@keonjhar.ac.in,admissions@keonjhar.ac.in,placement@keonjhar.ac.in,+91-80-153-0266,Computer Science Engineering (CSE),B.Tech,60,341,2000,Urban,Yes,Yes
1-44639625396,1-44639625396,U-0949,ORISSA SCHOOL OF MINING ENGINEERING,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),ORISSA SCHOOL OF MINING ENGINEERING AT/PO- KEONJHAR DIST. - KEONJHAR PIN - 758001,758001,20.968893,85.098794,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 2,http://www.orissaschoolmining.ac.in,info@orissaschoolmining.ac.in,admissions@orissaschoolmining.ac.in,placement@orissaschoolmining.ac.in,+91-80-559-9745,Civil Engineering,Diploma,60,480,2004,Urban,Yes,No
1-44639625396,1-44639625396,U-0949,ORISSA SCHOOL OF MINING ENGINEERING,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),ORISSA SCHOOL OF MINING ENGINEERING AT/PO- KEONJHAR DIST. - KEONJHAR PIN - 758001,758001,20.968893,85.098794,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 2,http://www.orissaschoolmining.ac.in,info@orissaschoolmining.ac.in,admissions@orissaschoolmining.ac.in,placement@orissaschoolmining.ac.in,+91-80-559-9745,Other Engineering Branches,Diploma,120,480,2004,Urban,Yes,No
1-44639625396,1-44639625396,U-0949,ORISSA SCHOOL OF MINING ENGINEERING,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),ORISSA SCHOOL OF MINING ENGINEERING AT/PO- KEONJHAR DIST. - KEONJHAR PIN - 758001,758001,20.968893,85.098794,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 2,http://www.orissaschoolmining.ac.in,info@orissaschoolmining.ac.in,admissions@orissaschoolmining.ac.in,placement@orissaschoolmining.ac.in,+91-80-559-9745,Electrical Engineering,Diploma,60,480,2004,Urban,Yes,No
1-44639625396,1-44639625396,U-0949,ORISSA SCHOOL OF MINING ENGINEERING,Active,Odisha,Kendujharâ (Keonjhar),Kendujharâ (Keonjhar),ORISSA SCHOOL OF MINING ENGINEERING AT/PO- KEONJHAR DIST. - KEONJHAR PIN - 758001,758001,20.968893,85.098794,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 2,http://www.orissaschoolmining.ac.in,info@orissaschoolmining.ac.in,admissions@orissaschoolmining.ac.in,placement@orissaschoolmining.ac.in,+91-80-559-9745,Mechanical Engineering,Diploma,60,480,2004,Urban,Yes,No
