College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Civil Engineering,B.Tech,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Other Engineering Branches,M.Tech,54,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Computer Science Engineering (CSE),M.Tech,27,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Electrical Engineering,M.Tech,18,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Electrical & Electronics Engineering (EEE),B.Tech,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Mechanical Engineering,B.Tech,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Electronics & Communication Engineering (ECE),B.Tech,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Computer Science Engineering (CSE),B.Tech,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Electrical & Electronics Engineering (EEE),Diploma,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Electronics & Communication Engineering (ECE),Diploma,30,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Mechanical Engineering,Diploma,60,609,2019,Urban,Yes,Yes
1-44642923414,1-44642923414,U-0336,DR.PAULRAJ ENGINEERING COLLEGE,Active,Andhra Pradesh,Khammam,Khammam,"               LAKSHMIDEVI PETA (V) YETAPAKA (M), EAST GODHAVARI DISTT., A.P. PIN 507128 ANDHRA PRADESH",507128,17.235666,80.159842,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,No,,Tier 3,http://www.drpaulraj.ac.in,info@drpaulraj.ac.in,admissions@drpaulraj.ac.in,placement@drpaulraj.ac.in,+91-80-350-9174,Computer Science Engineering (CSE),Diploma,60,609,2019,Urban,Yes,Yes
1-44637279387,1-44637279387,U-0391,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Telangana,Khammam,Khammam,ASWAPURAM,500059,17.254246,80.146166,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Mining Engineering,Diploma,60,240,1987,Urban,Yes,Yes
1-44637279387,1-44637279387,U-0391,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Telangana,Khammam,Khammam,ASWAPURAM,500059,17.254246,80.146166,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Electrical & Electronics Engineering (EEE),Diploma,60,240,1987,Urban,Yes,Yes
1-44637279387,1-44637279387,U-0391,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Telangana,Khammam,Khammam,ASWAPURAM,500059,17.254246,80.146166,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Mechanical Engineering,Diploma,60,240,1987,Urban,Yes,Yes
1-44637279387,1-44637279387,U-0391,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Telangana,Khammam,Khammam,ASWAPURAM,500059,17.254246,80.146166,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Other Engineering Branches,Diploma,60,240,1987,Urban,Yes,Yes
1-44639806496,1-44639806496,U-0487,UNIVERSITY COLLEGE OF ENGINEERING,Active,Telangana,Khammam,Khammam,"UNIVERSITY COLLEGE OF ENGINEERING, ME COMPLEX, KOTHAGUDEM, KHAMMAM (DIST), ANDHRA PRADESH - 507101",507101,17.237416,80.13166,Government,"Kakatiya University, Warangal",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Mining Engineering,B.Tech,60,300,1983,Urban,Yes,Yes
1-44639806496,1-44639806496,U-0487,UNIVERSITY COLLEGE OF ENGINEERING,Active,Telangana,Khammam,Khammam,"UNIVERSITY COLLEGE OF ENGINEERING, ME COMPLEX, KOTHAGUDEM, KHAMMAM (DIST), ANDHRA PRADESH - 507101",507101,17.237416,80.13166,Government,"Kakatiya University, Warangal",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Electrical & Electronics Engineering (EEE),B.Tech,60,300,1983,Urban,Yes,Yes
1-44639806496,1-44639806496,U-0487,UNIVERSITY COLLEGE OF ENGINEERING,Active,Telangana,Khammam,Khammam,"UNIVERSITY COLLEGE OF ENGINEERING, ME COMPLEX, KOTHAGUDEM, KHAMMAM (DIST), ANDHRA PRADESH - 507101",507101,17.237416,80.13166,Government,"Kakatiya University, Warangal",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Computer Science Engineering (CSE),B.Tech,60,300,1983,Urban,Yes,Yes
1-44639806496,1-44639806496,U-0487,UNIVERSITY COLLEGE OF ENGINEERING,Active,Telangana,Khammam,Khammam,"UNIVERSITY COLLEGE OF ENGINEERING, ME COMPLEX, KOTHAGUDEM, KHAMMAM (DIST), ANDHRA PRADESH - 507101",507101,17.237416,80.13166,Government,"Kakatiya University, Warangal",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Information Technology (IT),B.Tech,60,300,1983,Urban,Yes,Yes
1-44639806496,1-44639806496,U-0487,UNIVERSITY COLLEGE OF ENGINEERING,Active,Telangana,Khammam,Khammam,"UNIVERSITY COLLEGE OF ENGINEERING, ME COMPLEX, KOTHAGUDEM, KHAMMAM (DIST), ANDHRA PRADESH - 507101",507101,17.237416,80.13166,Government,"Kakatiya University, Warangal",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Electronics & Communication Engineering (ECE),B.Tech,60,300,1983,Urban,Yes,Yes
1-44639827658,1-44639827658,U-0294,GOVT POLYTECHNIC MADHIRA,Active,Telangana,Khammam,Khammam,"H.NO:4-47/1, GOVERNMENT POLYTECHNIC MADHIRA, KHAZIPURAM, MADHIRA,KHAMMAM, 507203",507203,17.243789,80.14894,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.govtmadhira.ac.in,info@govtmadhira.ac.in,admissions@govtmadhira.ac.in,placement@govtmadhira.ac.in,+91-80-691-5952,Civil Engineering,Diploma,60,120,1991,Urban,Yes,No
1-44639827658,1-44639827658,U-0294,GOVT POLYTECHNIC MADHIRA,Active,Telangana,Khammam,Khammam,"H.NO:4-47/1, GOVERNMENT POLYTECHNIC MADHIRA, KHAZIPURAM, MADHIRA,KHAMMAM, 507203",507203,17.243789,80.14894,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.govtmadhira.ac.in,info@govtmadhira.ac.in,admissions@govtmadhira.ac.in,placement@govtmadhira.ac.in,+91-80-691-5952,Mechanical Engineering,Diploma,60,120,1991,Urban,Yes,No
1-44639751206,1-44639751206,U-0961,SRI CHAITANYA INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Telangana,Khammam,Khammam,"KHAMMAM - HYDERABAD ROAD, PONNEKAL VILLAGE, KHAMMAM RURAL, KHAMMAM DISTRICT, PIN-507170 ANDHRA PRADESH",507170,17.257653,80.165269,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B,Yes,,Tier 3,http://www.srichaitanyaresearch.ac.in,info@srichaitanyaresearch.ac.in,admissions@srichaitanyaresearch.ac.in,placement@srichaitanyaresearch.ac.in,+91-80-273-0840,Mechanical Engineering,B.Tech,30,858,1992,Urban,Yes,Yes
1-44639751206,1-44639751206,U-0961,SRI CHAITANYA INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Telangana,Khammam,Khammam,"KHAMMAM - HYDERABAD ROAD, PONNEKAL VILLAGE, KHAMMAM RURAL, KHAMMAM DISTRICT, PIN-507170 ANDHRA PRADESH",507170,17.257653,80.165269,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B,Yes,,Tier 3,http://www.srichaitanyaresearch.ac.in,info@srichaitanyaresearch.ac.in,admissions@srichaitanyaresearch.ac.in,placement@srichaitanyaresearch.ac.in,+91-80-273-0840,Computer Science Engineering (CSE),B.Tech,180,858,1992,Urban,Yes,Yes
