College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638297917,1-44638297917,U-0441,SRI PARASHURAM INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Madhya Pradesh,Khandwa,Khandwa,GRAM DHANORA(JASWADI) KHANDWA M.P,452405,22.988285,78.669592,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.sriparashuramresearch.ac.in,info@sriparashuramresearch.ac.in,admissions@sriparashuramresearch.ac.in,placement@sriparashuramresearch.ac.in,+91-80-463-1633,Civil Engineering,B.Tech,30,120,1983,Urban,Yes,No
1-44638297917,1-44638297917,U-0441,SRI PARASHURAM INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Madhya Pradesh,Khandwa,Khandwa,GRAM DHANORA(JASWADI) KHANDWA M.P,452405,22.988285,78.669592,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.sriparashuramresearch.ac.in,info@sriparashuramresearch.ac.in,admissions@sriparashuramresearch.ac.in,placement@sriparashuramresearch.ac.in,+91-80-463-1633,Mechanical Engineering,B.Tech,30,120,1983,Urban,Yes,No
1-44638297917,1-44638297917,U-0441,SRI PARASHURAM INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Madhya Pradesh,Khandwa,Khandwa,GRAM DHANORA(JASWADI) KHANDWA M.P,452405,22.988285,78.669592,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.sriparashuramresearch.ac.in,info@sriparashuramresearch.ac.in,admissions@sriparashuramresearch.ac.in,placement@sriparashuramresearch.ac.in,+91-80-463-1633,Electrical & Electronics Engineering (EEE),B.Tech,30,120,1983,Urban,Yes,No
1-44638297917,1-44638297917,U-0441,SRI PARASHURAM INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Madhya Pradesh,Khandwa,Khandwa,GRAM DHANORA(JASWADI) KHANDWA M.P,452405,22.988285,78.669592,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.sriparashuramresearch.ac.in,info@sriparashuramresearch.ac.in,admissions@sriparashuramresearch.ac.in,placement@sriparashuramresearch.ac.in,+91-80-463-1633,Computer Science Engineering (CSE),B.Tech,30,120,1983,Urban,Yes,No
1-44638756198,1-44638756198,U-0042,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),Active,Madhya Pradesh,Khandwa,Khandwa,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),452405,22.992347,78.641427,Government,"Rajiv Gandhi Technical University, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.eklavyaharsuddist.ac.in,info@eklavyaharsuddist.ac.in,admissions@eklavyaharsuddist.ac.in,placement@eklavyaharsuddist.ac.in,+91-80-633-5132,Civil Engineering,Diploma,60,240,2012,Urban,Yes,Yes
1-44638756198,1-44638756198,U-0042,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),Active,Madhya Pradesh,Khandwa,Khandwa,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),452405,22.992347,78.641427,Government,"Rajiv Gandhi Technical University, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.eklavyaharsuddist.ac.in,info@eklavyaharsuddist.ac.in,admissions@eklavyaharsuddist.ac.in,placement@eklavyaharsuddist.ac.in,+91-80-633-5132,Mechanical Engineering,Diploma,60,240,2012,Urban,Yes,Yes
1-44638756198,1-44638756198,U-0042,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),Active,Madhya Pradesh,Khandwa,Khandwa,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),452405,22.992347,78.641427,Government,"Rajiv Gandhi Technical University, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.eklavyaharsuddist.ac.in,info@eklavyaharsuddist.ac.in,admissions@eklavyaharsuddist.ac.in,placement@eklavyaharsuddist.ac.in,+91-80-633-5132,Electronics & Communication Engineering (ECE),Diploma,60,240,2012,Urban,Yes,Yes
1-44638756198,1-44638756198,U-0042,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),Active,Madhya Pradesh,Khandwa,Khandwa,EKLAVYA GOVERNMENT POLYTECHNIC COLLEGE HARSUD DIST KHANDWA (M.P.),452405,22.992347,78.641427,Government,"Rajiv Gandhi Technical University, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.eklavyaharsuddist.ac.in,info@eklavyaharsuddist.ac.in,admissions@eklavyaharsuddist.ac.in,placement@eklavyaharsuddist.ac.in,+91-80-633-5132,Computer Science Engineering (CSE),Diploma,60,240,2012,Urban,Yes,Yes
1-44640428730,1-44640428730,U-0441,"MJP GOVERNMENT POLYTECHNIC COLLEGE, KHANDWA",Active,Madhya Pradesh,Khandwa,Khandwa,SIHADA ROAD NEAR B.ED. COLLEGE,452405,22.983073,78.669302,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.mjpkhandwa.ac.in,info@mjpkhandwa.ac.in,admissions@mjpkhandwa.ac.in,placement@mjpkhandwa.ac.in,+91-80-244-5903,Civil Engineering,Diploma,80,480,2008,Urban,No,Yes
1-44640428730,1-44640428730,U-0441,"MJP GOVERNMENT POLYTECHNIC COLLEGE, KHANDWA",Active,Madhya Pradesh,Khandwa,Khandwa,SIHADA ROAD NEAR B.ED. COLLEGE,452405,22.983073,78.669302,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.mjpkhandwa.ac.in,info@mjpkhandwa.ac.in,admissions@mjpkhandwa.ac.in,placement@mjpkhandwa.ac.in,+91-80-244-5903,Mechanical Engineering,Diploma,80,480,2008,Urban,No,Yes
