College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638617375,1-44638617375,U-0441,SHREEJEE INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Madhya Pradesh,Khargone,Khargone,"7KM KARGONE KHANDWA ROAD, NEAR GAYATRI MANDIR, VILLAGE MIRZA",452437,22.992957,78.664259,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.shreejeemanagement.ac.in,info@shreejeemanagement.ac.in,admissions@shreejeemanagement.ac.in,placement@shreejeemanagement.ac.in,+91-80-659-1279,Mechanical Engineering,B.Tech,30,222,1988,Urban,Yes,Yes
1-44638617375,1-44638617375,U-0441,SHREEJEE INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Madhya Pradesh,Khargone,Khargone,"7KM KARGONE KHANDWA ROAD, NEAR GAYATRI MANDIR, VILLAGE MIRZA",452437,22.992957,78.664259,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.shreejeemanagement.ac.in,info@shreejeemanagement.ac.in,admissions@shreejeemanagement.ac.in,placement@shreejeemanagement.ac.in,+91-80-659-1279,Civil Engineering,B.Tech,48,222,1988,Urban,Yes,Yes
1-44638617375,1-44638617375,U-0441,SHREEJEE INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Madhya Pradesh,Khargone,Khargone,"7KM KARGONE KHANDWA ROAD, NEAR GAYATRI MANDIR, VILLAGE MIRZA",452437,22.992957,78.664259,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.shreejeemanagement.ac.in,info@shreejeemanagement.ac.in,admissions@shreejeemanagement.ac.in,placement@shreejeemanagement.ac.in,+91-80-659-1279,Electronics & Communication Engineering (ECE),B.Tech,48,222,1988,Urban,Yes,Yes
1-44638617375,1-44638617375,U-0441,SHREEJEE INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Madhya Pradesh,Khargone,Khargone,"7KM KARGONE KHANDWA ROAD, NEAR GAYATRI MANDIR, VILLAGE MIRZA",452437,22.992957,78.664259,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.shreejeemanagement.ac.in,info@shreejeemanagement.ac.in,admissions@shreejeemanagement.ac.in,placement@shreejeemanagement.ac.in,+91-80-659-1279,Electrical & Electronics Engineering (EEE),B.Tech,48,222,1988,Urban,Yes,Yes
1-44638617375,1-44638617375,U-0441,SHREEJEE INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Madhya Pradesh,Khargone,Khargone,"7KM KARGONE KHANDWA ROAD, NEAR GAYATRI MANDIR, VILLAGE MIRZA",452437,22.992957,78.664259,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.shreejeemanagement.ac.in,info@shreejeemanagement.ac.in,admissions@shreejeemanagement.ac.in,placement@shreejeemanagement.ac.in,+91-80-659-1279,Computer Science Engineering (CSE),B.Tech,48,222,1988,Urban,Yes,Yes
1-44640292527,1-44640292527,U-0441,"GOVT. POLYTECHNIC COLLEGE, SANAWAD",Active,Madhya Pradesh,Khargone,Khargone,"INODRE-KHANDWA ROAD,",452437,22.96861,78.659582,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtsanawad.ac.in,info@govtsanawad.ac.in,admissions@govtsanawad.ac.in,placement@govtsanawad.ac.in,+91-80-637-9665,Other Engineering Branches,Diploma,88,330,1989,Rural,Yes,Yes
1-44640292527,1-44640292527,U-0441,"GOVT. POLYTECHNIC COLLEGE, SANAWAD",Active,Madhya Pradesh,Khargone,Khargone,"INODRE-KHANDWA ROAD,",452437,22.96861,78.659582,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtsanawad.ac.in,info@govtsanawad.ac.in,admissions@govtsanawad.ac.in,placement@govtsanawad.ac.in,+91-80-637-9665,Electrical Engineering,Diploma,66,330,1989,Rural,Yes,Yes
1-44640292527,1-44640292527,U-0441,"GOVT. POLYTECHNIC COLLEGE, SANAWAD",Active,Madhya Pradesh,Khargone,Khargone,"INODRE-KHANDWA ROAD,",452437,22.96861,78.659582,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtsanawad.ac.in,info@govtsanawad.ac.in,admissions@govtsanawad.ac.in,placement@govtsanawad.ac.in,+91-80-637-9665,Mechanical Engineering,Diploma,66,330,1989,Rural,Yes,Yes
1-44640292527,1-44640292527,U-0441,"GOVT. POLYTECHNIC COLLEGE, SANAWAD",Active,Madhya Pradesh,Khargone,Khargone,"INODRE-KHANDWA ROAD,",452437,22.96861,78.659582,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtsanawad.ac.in,info@govtsanawad.ac.in,admissions@govtsanawad.ac.in,placement@govtsanawad.ac.in,+91-80-637-9665,Computer Science Engineering (CSE),Diploma,44,330,1989,Rural,Yes,Yes
1-44640292527,1-44640292527,U-0441,"GOVT. POLYTECHNIC COLLEGE, SANAWAD",Active,Madhya Pradesh,Khargone,Khargone,"INODRE-KHANDWA ROAD,",452437,22.96861,78.659582,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtsanawad.ac.in,info@govtsanawad.ac.in,admissions@govtsanawad.ac.in,placement@govtsanawad.ac.in,+91-80-637-9665,Civil Engineering,Diploma,44,330,1989,Rural,Yes,Yes
