College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Computer Science Engineering (CSE),B.Tech,120,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Information Technology (IT),B.Tech,120,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Computer Science Engineering (CSE),M.Tech,12,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Chemical Engineering,B.Tech,120,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Chemical Engineering,Diploma,60,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Civil Engineering,B.Tech,60,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Electronics & Communication Engineering (ECE),B.Tech,120,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Other Engineering Branches,B.Tech,60,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Mechanical Engineering,B.Tech,60,768,1982,Urban,Yes,Yes
1-44638383804,1-44638383804,U-0992,DHARMSINH DESAI UNIVERSITY,Active,Gujarat,Kheda,Kheda,COLLEGE ROAD,380009,22.242922,71.173197,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dharmsinhdesai.ac.in,info@dharmsinhdesai.ac.in,admissions@dharmsinhdesai.ac.in,placement@dharmsinhdesai.ac.in,+91-80-177-1013,Civil Engineering,M.Tech,12,768,1982,Urban,Yes,Yes
