College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638527070,1-44638527070,U-0846,MILLIA KISHANGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Bihar,Kishanganj,Kishanganj,VERIADANGI,800188,25.108932,85.300211,Private-Self Financing,"Bihar Engineering University, Patna",Approved,Approved,B+,No,,Tier 3,http://www.milliakishanganj.ac.in,info@milliakishanganj.ac.in,admissions@milliakishanganj.ac.in,placement@milliakishanganj.ac.in,+91-80-377-0541,Electrical Engineering,B.Tech,60,300,1987,Rural,No,No
1-44638527070,1-44638527070,U-0846,MILLIA KISHANGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Bihar,Kishanganj,Kishanganj,VERIADANGI,800188,25.108932,85.300211,Private-Self Financing,"Bihar Engineering University, Patna",Approved,Approved,B+,No,,Tier 3,http://www.milliakishanganj.ac.in,info@milliakishanganj.ac.in,admissions@milliakishanganj.ac.in,placement@milliakishanganj.ac.in,+91-80-377-0541,Civil Engineering,B.Tech,60,300,1987,Rural,No,No
1-44638527070,1-44638527070,U-0846,MILLIA KISHANGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Bihar,Kishanganj,Kishanganj,VERIADANGI,800188,25.108932,85.300211,Private-Self Financing,"Bihar Engineering University, Patna",Approved,Approved,B+,No,,Tier 3,http://www.milliakishanganj.ac.in,info@milliakishanganj.ac.in,admissions@milliakishanganj.ac.in,placement@milliakishanganj.ac.in,+91-80-377-0541,Mechanical Engineering,B.Tech,60,300,1987,Rural,No,No
1-44638527070,1-44638527070,U-0846,MILLIA KISHANGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Bihar,Kishanganj,Kishanganj,VERIADANGI,800188,25.108932,85.300211,Private-Self Financing,"Bihar Engineering University, Patna",Approved,Approved,B+,No,,Tier 3,http://www.milliakishanganj.ac.in,info@milliakishanganj.ac.in,admissions@milliakishanganj.ac.in,placement@milliakishanganj.ac.in,+91-80-377-0541,Computer Science Engineering (CSE),B.Tech,60,300,1987,Rural,No,No
1-44638527070,1-44638527070,U-0846,MILLIA KISHANGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Bihar,Kishanganj,Kishanganj,VERIADANGI,800188,25.108932,85.300211,Private-Self Financing,"Bihar Engineering University, Patna",Approved,Approved,B+,No,,Tier 3,http://www.milliakishanganj.ac.in,info@milliakishanganj.ac.in,admissions@milliakishanganj.ac.in,placement@milliakishanganj.ac.in,+91-80-377-0541,Electronics & Communication Engineering (ECE),B.Tech,60,300,1987,Rural,No,No
1-44638220667,1-44638220667,U-0057,GOVERNMENT ENGINEERING COLLEGE KISHANGANJ,Active,Bihar,Kishanganj,Kishanganj,"CAMPUS OF GOVERNMENT POLYTECHNIC KISHANGANJ, P.O- NAINAGACHHI, BLOCK- THAKURGANJ, PIN- 855116, MAHESH BATHNA, KISHANGANJ, BIHAR, 855116",855116,25.092174,85.328697,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.kishanganj.ac.in,info@kishanganj.ac.in,admissions@kishanganj.ac.in,placement@kishanganj.ac.in,+91-80-674-2243,Civil Engineering,B.Tech,60,360,1992,Urban,Yes,Yes
1-44638220667,1-44638220667,U-0057,GOVERNMENT ENGINEERING COLLEGE KISHANGANJ,Active,Bihar,Kishanganj,Kishanganj,"CAMPUS OF GOVERNMENT POLYTECHNIC KISHANGANJ, P.O- NAINAGACHHI, BLOCK- THAKURGANJ, PIN- 855116, MAHESH BATHNA, KISHANGANJ, BIHAR, 855116",855116,25.092174,85.328697,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.kishanganj.ac.in,info@kishanganj.ac.in,admissions@kishanganj.ac.in,placement@kishanganj.ac.in,+91-80-674-2243,Mechanical Engineering,B.Tech,60,360,1992,Urban,Yes,Yes
1-44638220667,1-44638220667,U-0057,GOVERNMENT ENGINEERING COLLEGE KISHANGANJ,Active,Bihar,Kishanganj,Kishanganj,"CAMPUS OF GOVERNMENT POLYTECHNIC KISHANGANJ, P.O- NAINAGACHHI, BLOCK- THAKURGANJ, PIN- 855116, MAHESH BATHNA, KISHANGANJ, BIHAR, 855116",855116,25.092174,85.328697,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.kishanganj.ac.in,info@kishanganj.ac.in,admissions@kishanganj.ac.in,placement@kishanganj.ac.in,+91-80-674-2243,Electrical Engineering,B.Tech,60,360,1992,Urban,Yes,Yes
1-44638220667,1-44638220667,U-0057,GOVERNMENT ENGINEERING COLLEGE KISHANGANJ,Active,Bihar,Kishanganj,Kishanganj,"CAMPUS OF GOVERNMENT POLYTECHNIC KISHANGANJ, P.O- NAINAGACHHI, BLOCK- THAKURGANJ, PIN- 855116, MAHESH BATHNA, KISHANGANJ, BIHAR, 855116",855116,25.092174,85.328697,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.kishanganj.ac.in,info@kishanganj.ac.in,admissions@kishanganj.ac.in,placement@kishanganj.ac.in,+91-80-674-2243,Electronics & Communication Engineering (ECE),B.Tech,60,360,1992,Urban,Yes,Yes
1-44638220667,1-44638220667,U-0057,GOVERNMENT ENGINEERING COLLEGE KISHANGANJ,Active,Bihar,Kishanganj,Kishanganj,"CAMPUS OF GOVERNMENT POLYTECHNIC KISHANGANJ, P.O- NAINAGACHHI, BLOCK- THAKURGANJ, PIN- 855116, MAHESH BATHNA, KISHANGANJ, BIHAR, 855116",855116,25.092174,85.328697,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.kishanganj.ac.in,info@kishanganj.ac.in,admissions@kishanganj.ac.in,placement@kishanganj.ac.in,+91-80-674-2243,Computer Science Engineering (CSE),B.Tech,60,360,1992,Urban,Yes,Yes
