College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Computer Science Engineering (CSE),B.Tech,90,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Electronics & Communication Engineering (ECE),B.Tech,60,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Civil Engineering,B.Tech,60,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Other Engineering Branches,B.Tech,120,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Electronics & Communication Engineering (ECE),Diploma,30,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Computer Science Engineering (CSE),Diploma,30,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Other Engineering Branches,Diploma,90,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Civil Engineering,Diploma,30,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Other Engineering Branches,M.Tech,54,582,1991,Urban,No,No
1-44638704901,1-44638704901,U-0992,CENTRAL INSTITUTE OF TECHNOLOGY KOKRAJHAR,Active,Assam,Kokrajhar,Kokrajhar,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",783370,26.216409,92.957256,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.kokrajhar.ac.in,info@kokrajhar.ac.in,admissions@kokrajhar.ac.in,placement@kokrajhar.ac.in,+91-80-501-9261,Computer Science Engineering (CSE),M.Tech,18,582,1991,Urban,No,No
