College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637315378,1-44637315378,U-0122,GOVERNMENT COLLEGE OF ENGINEERING KOLHAPUR,Active,Maharashtra,Kolhapur,Kolhapur,OLD PUNE BANGALORE ROAD VIDYANAGAR,400283,16.718153,74.239748,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.kolhapur.ac.in,info@kolhapur.ac.in,admissions@kolhapur.ac.in,placement@kolhapur.ac.in,+91-80-390-5257,Data Science,B.Tech,60,300,2020,Urban,Yes,Yes
1-44637315378,1-44637315378,U-0122,GOVERNMENT COLLEGE OF ENGINEERING KOLHAPUR,Active,Maharashtra,Kolhapur,Kolhapur,OLD PUNE BANGALORE ROAD VIDYANAGAR,400283,16.718153,74.239748,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.kolhapur.ac.in,info@kolhapur.ac.in,admissions@kolhapur.ac.in,placement@kolhapur.ac.in,+91-80-390-5257,Mechanical Engineering,B.Tech,60,300,2020,Urban,Yes,Yes
1-44637315378,1-44637315378,U-0122,GOVERNMENT COLLEGE OF ENGINEERING KOLHAPUR,Active,Maharashtra,Kolhapur,Kolhapur,OLD PUNE BANGALORE ROAD VIDYANAGAR,400283,16.718153,74.239748,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.kolhapur.ac.in,info@kolhapur.ac.in,admissions@kolhapur.ac.in,placement@kolhapur.ac.in,+91-80-390-5257,Computer Science Engineering (CSE),B.Tech,60,300,2020,Urban,Yes,Yes
1-44637315378,1-44637315378,U-0122,GOVERNMENT COLLEGE OF ENGINEERING KOLHAPUR,Active,Maharashtra,Kolhapur,Kolhapur,OLD PUNE BANGALORE ROAD VIDYANAGAR,400283,16.718153,74.239748,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.kolhapur.ac.in,info@kolhapur.ac.in,admissions@kolhapur.ac.in,placement@kolhapur.ac.in,+91-80-390-5257,Electronics & Communication Engineering (ECE),B.Tech,60,300,2020,Urban,Yes,Yes
1-44637315378,1-44637315378,U-0122,GOVERNMENT COLLEGE OF ENGINEERING KOLHAPUR,Active,Maharashtra,Kolhapur,Kolhapur,OLD PUNE BANGALORE ROAD VIDYANAGAR,400283,16.718153,74.239748,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.kolhapur.ac.in,info@kolhapur.ac.in,admissions@kolhapur.ac.in,placement@kolhapur.ac.in,+91-80-390-5257,Electrical Engineering,B.Tech,60,300,2020,Urban,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Mechanical Engineering,Diploma,120,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Civil Engineering,Diploma,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Electronics & Communication Engineering (ECE),Diploma,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Computer Science Engineering (CSE),Diploma,120,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Electrical Engineering,Diploma,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Civil Engineering,B.Tech,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Computer Science Engineering (CSE),B.Tech,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Electrical Engineering,B.Tech,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Electronics & Communication Engineering (ECE),B.Tech,60,720,2008,Rural,Yes,Yes
1-44639544301,1-44639544301,U-0767,SANJAY GHODAWAT INSTITUTE,Active,Maharashtra,Kolhapur,Kolhapur,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",400283,16.699133,74.238912,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.sanjayghodawat.ac.in,info@sanjayghodawat.ac.in,admissions@sanjayghodawat.ac.in,placement@sanjayghodawat.ac.in,+91-80-592-7779,Mechanical Engineering,B.Tech,60,720,2008,Rural,Yes,Yes
1-44639930565,1-44639930565,U-0007,SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,Active,Maharashtra,Kolhapur,Kolhapur,"SITE - CHINCHEWADI, TAL- GADHINGLAJ,",400283,16.721454,74.253949,Private-Self Financing,"Shivaji University, Kolhapur",Approved,Approved,A+,Yes,,Tier 2,http://www.santgajananmaharaj.ac.in,info@santgajananmaharaj.ac.in,admissions@santgajananmaharaj.ac.in,placement@santgajananmaharaj.ac.in,+91-80-529-0052,Mechanical Engineering,B.Tech,60,360,2014,Rural,No,No
