College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638508781,1-44638508781,U-0339,BEHALA GOVERNMENT POLYTECHNIC,Active,West Bengal,Kolkata,Kolkata,"756, UPENDRA NATH BANERJEE ROAD, PARNASREE, BEHALA, KMC WARD NO.: 132, KOLKATA - 700060",700060,22.571868,88.350998,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.behala.ac.in,info@behala.ac.in,admissions@behala.ac.in,placement@behala.ac.in,+91-80-808-1709,Information Technology (IT),Diploma,60,300,2018,Urban,Yes,No
1-44638508781,1-44638508781,U-0339,BEHALA GOVERNMENT POLYTECHNIC,Active,West Bengal,Kolkata,Kolkata,"756, UPENDRA NATH BANERJEE ROAD, PARNASREE, BEHALA, KMC WARD NO.: 132, KOLKATA - 700060",700060,22.571868,88.350998,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.behala.ac.in,info@behala.ac.in,admissions@behala.ac.in,placement@behala.ac.in,+91-80-808-1709,Other Engineering Branches,Diploma,60,300,2018,Urban,Yes,No
1-44638508781,1-44638508781,U-0339,BEHALA GOVERNMENT POLYTECHNIC,Active,West Bengal,Kolkata,Kolkata,"756, UPENDRA NATH BANERJEE ROAD, PARNASREE, BEHALA, KMC WARD NO.: 132, KOLKATA - 700060",700060,22.571868,88.350998,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.behala.ac.in,info@behala.ac.in,admissions@behala.ac.in,placement@behala.ac.in,+91-80-808-1709,Computer Science Engineering (CSE),Diploma,60,300,2018,Urban,Yes,No
1-44638508781,1-44638508781,U-0339,BEHALA GOVERNMENT POLYTECHNIC,Active,West Bengal,Kolkata,Kolkata,"756, UPENDRA NATH BANERJEE ROAD, PARNASREE, BEHALA, KMC WARD NO.: 132, KOLKATA - 700060",700060,22.571868,88.350998,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.behala.ac.in,info@behala.ac.in,admissions@behala.ac.in,placement@behala.ac.in,+91-80-808-1709,Electrical Engineering,Diploma,60,300,2018,Urban,Yes,No
1-44638508781,1-44638508781,U-0339,BEHALA GOVERNMENT POLYTECHNIC,Active,West Bengal,Kolkata,Kolkata,"756, UPENDRA NATH BANERJEE ROAD, PARNASREE, BEHALA, KMC WARD NO.: 132, KOLKATA - 700060",700060,22.571868,88.350998,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.behala.ac.in,info@behala.ac.in,admissions@behala.ac.in,placement@behala.ac.in,+91-80-808-1709,Mechanical Engineering,Diploma,60,300,2018,Urban,Yes,No
1-44638712515,1-44638712515,U-0992,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Active,West Bengal,Kolkata,Kolkata,"Y-11,Y-12, Y-24, D-1, SALT LAKE SECTOR V, 700091, KOLKATA SALTLAKE ELECTRONICS COMPLEX, SECTOR V, KOLKATA, 700091, WEST BENGAL,  UNIVERSITY AREA, PLOT NO. III Ã¢â¬â B/5, NEW TOWN, ACTION AREA Ã¢â¬â III, KOLKATA, 700160, WEST BENGAL,",700091,22.567482,88.38266,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.managementkolkata.ac.in,info@managementkolkata.ac.in,admissions@managementkolkata.ac.in,placement@managementkolkata.ac.in,+91-80-624-2296,Computer Science Engineering (CSE),B.Tech,1020,2934,1998,Urban,Yes,No
1-44638712515,1-44638712515,U-0992,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Active,West Bengal,Kolkata,Kolkata,"Y-11,Y-12, Y-24, D-1, SALT LAKE SECTOR V, 700091, KOLKATA SALTLAKE ELECTRONICS COMPLEX, SECTOR V, KOLKATA, 700091, WEST BENGAL,  UNIVERSITY AREA, PLOT NO. III Ã¢â¬â B/5, NEW TOWN, ACTION AREA Ã¢â¬â III, KOLKATA, 700160, WEST BENGAL,",700091,22.567482,88.38266,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.managementkolkata.ac.in,info@managementkolkata.ac.in,admissions@managementkolkata.ac.in,placement@managementkolkata.ac.in,+91-80-624-2296,Electronics & Communication Engineering (ECE),B.Tech,300,2934,1998,Urban,Yes,No
1-44638712515,1-44638712515,U-0992,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Active,West Bengal,Kolkata,Kolkata,"Y-11,Y-12, Y-24, D-1, SALT LAKE SECTOR V, 700091, KOLKATA SALTLAKE ELECTRONICS COMPLEX, SECTOR V, KOLKATA, 700091, WEST BENGAL,  UNIVERSITY AREA, PLOT NO. III Ã¢â¬â B/5, NEW TOWN, ACTION AREA Ã¢â¬â III, KOLKATA, 700160, WEST BENGAL,",700091,22.567482,88.38266,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.managementkolkata.ac.in,info@managementkolkata.ac.in,admissions@managementkolkata.ac.in,placement@managementkolkata.ac.in,+91-80-624-2296,Electrical Engineering,B.Tech,60,2934,1998,Urban,Yes,No
1-44638712515,1-44638712515,U-0992,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Active,West Bengal,Kolkata,Kolkata,"Y-11,Y-12, Y-24, D-1, SALT LAKE SECTOR V, 700091, KOLKATA SALTLAKE ELECTRONICS COMPLEX, SECTOR V, KOLKATA, 700091, WEST BENGAL,  UNIVERSITY AREA, PLOT NO. III Ã¢â¬â B/5, NEW TOWN, ACTION AREA Ã¢â¬â III, KOLKATA, 700160, WEST BENGAL,",700091,22.567482,88.38266,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.managementkolkata.ac.in,info@managementkolkata.ac.in,admissions@managementkolkata.ac.in,placement@managementkolkata.ac.in,+91-80-624-2296,Mechanical Engineering,B.Tech,60,2934,1998,Urban,Yes,No
1-44638712515,1-44638712515,U-0992,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Active,West Bengal,Kolkata,Kolkata,"Y-11,Y-12, Y-24, D-1, SALT LAKE SECTOR V, 700091, KOLKATA SALTLAKE ELECTRONICS COMPLEX, SECTOR V, KOLKATA, 700091, WEST BENGAL,  UNIVERSITY AREA, PLOT NO. III Ã¢â¬â B/5, NEW TOWN, ACTION AREA Ã¢â¬â III, KOLKATA, 700160, WEST BENGAL,",700091,22.567482,88.38266,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.managementkolkata.ac.in,info@managementkolkata.ac.in,admissions@managementkolkata.ac.in,placement@managementkolkata.ac.in,+91-80-624-2296,Biotechnology,B.Tech,30,2934,1998,Urban,Yes,No
