College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Computer Science Engineering (CSE),B.Tech,480,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Electronics & Communication Engineering (ECE),B.Tech,120,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Electrical & Electronics Engineering (EEE),B.Tech,60,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Mechanical Engineering,B.Tech,60,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Other Engineering Branches,M.Tech,102,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Robotics,M.Tech,12,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Information Technology (IT),M.Tech,24,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Artificial Intelligence & Machine Learning (AI & ML),M.Tech,18,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Mechanical Engineering,M.Tech,12,1068,2022,Urban,Yes,Yes
1-44638386025,1-44638386025,U-0992,AMRITA VISHWA VIDYAPEETHAM AMRITAPURI CAMPUS,Active,Kerala,Kollam,Kollam,"CLAPPANA P O, KARUNAGAPALLY, KOLLAM, KERALA. INDIA",682952,8.883273,76.599372,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-422-5057,Data Science,B.Tech,60,1068,2022,Urban,Yes,Yes
