College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Automobile Engineering,Diploma,120,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Civil Engineering,Diploma,60,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Electrical & Electronics Engineering (EEE),Diploma,120,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Mechanical Engineering,Diploma,120,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Other Engineering Branches,Diploma,60,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Computer Science Engineering (CSE),B.Tech,120,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Data Science,B.Tech,60,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,780,2008,Urban,Yes,Yes
1-44638289459,1-44638289459,U-0317,GREGORIAN INSTITUTE OF TECHNOLOGY,Active,Kerala,Kottayam,Kottayam,KANJIRAPPARA (PO) KOTTAYAM KANGAZHA,682045,9.581961,76.527002,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.gregorian.ac.in,info@gregorian.ac.in,admissions@gregorian.ac.in,placement@gregorian.ac.in,+91-80-434-5758,Electronics & Communication Engineering (ECE),B.Tech,60,780,2008,Urban,Yes,Yes
1-44640059718,1-44640059718,U-0317,GOVERNMENT POLYTECHNIC COLLEGE,Active,Kerala,Kottayam,Kottayam,KANATTUPARA PALA.P.O,682045,9.581925,76.529692,Government,"Board of Technical Examination, Kerala",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Computer Science Engineering (CSE),Diploma,60,240,2005,Urban,Yes,Yes
1-44640059718,1-44640059718,U-0317,GOVERNMENT POLYTECHNIC COLLEGE,Active,Kerala,Kottayam,Kottayam,KANATTUPARA PALA.P.O,682045,9.581925,76.529692,Government,"Board of Technical Examination, Kerala",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Other Engineering Branches,Diploma,120,240,2005,Urban,Yes,Yes
1-44640059718,1-44640059718,U-0317,GOVERNMENT POLYTECHNIC COLLEGE,Active,Kerala,Kottayam,Kottayam,KANATTUPARA PALA.P.O,682045,9.581925,76.529692,Government,"Board of Technical Examination, Kerala",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electrical & Electronics Engineering (EEE),Diploma,60,240,2005,Urban,Yes,Yes
1-44639842555,1-44639842555,U-0317,"MODEL POLYTECHNIC COLLEGE,MATTAKKARA",Active,Kerala,Kottayam,Kottayam,"MODEL POLYTECHNIC COLLEGE, MATTAKKARA.P.O, KOTTAYAM KERALA",682045,9.603931,76.538811,Government,"Board of Technical Examination, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.modelcollegemattakkara.ac.in,info@modelcollegemattakkara.ac.in,admissions@modelcollegemattakkara.ac.in,placement@modelcollegemattakkara.ac.in,+91-80-356-0554,Other Engineering Branches,Diploma,120,240,2022,Urban,Yes,Yes
1-44639842555,1-44639842555,U-0317,"MODEL POLYTECHNIC COLLEGE,MATTAKKARA",Active,Kerala,Kottayam,Kottayam,"MODEL POLYTECHNIC COLLEGE, MATTAKKARA.P.O, KOTTAYAM KERALA",682045,9.603931,76.538811,Government,"Board of Technical Examination, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.modelcollegemattakkara.ac.in,info@modelcollegemattakkara.ac.in,admissions@modelcollegemattakkara.ac.in,placement@modelcollegemattakkara.ac.in,+91-80-356-0554,Computer Science Engineering (CSE),Diploma,60,240,2022,Urban,Yes,Yes
1-44639842555,1-44639842555,U-0317,"MODEL POLYTECHNIC COLLEGE,MATTAKKARA",Active,Kerala,Kottayam,Kottayam,"MODEL POLYTECHNIC COLLEGE, MATTAKKARA.P.O, KOTTAYAM KERALA",682045,9.603931,76.538811,Government,"Board of Technical Examination, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.modelcollegemattakkara.ac.in,info@modelcollegemattakkara.ac.in,admissions@modelcollegemattakkara.ac.in,placement@modelcollegemattakkara.ac.in,+91-80-356-0554,Electrical & Electronics Engineering (EEE),Diploma,60,240,2022,Urban,Yes,Yes
1-44640104244,1-44640104244,U-0672,KOTTAYAM INSTITUTE OF TECHNOLOGY AND SCIENCE,Active,Kerala,Kottayam,Kottayam,"CHANGALLAM EAST VILLAGE, KOTTAYAM",682045,9.590604,76.531029,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B,Yes,,Tier 3,http://www.kottayamscience.ac.in,info@kottayamscience.ac.in,admissions@kottayamscience.ac.in,placement@kottayamscience.ac.in,+91-80-797-1000,Computer Science Engineering (CSE),B.Tech,60,456,1991,Urban,Yes,Yes
