College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638258779,1-44638258779,U-0475,M-DIT POLYTECHNIC COLLEGE,Active,Kerala,Kozhikode,Kozhikode,ULLIYERI P.O,682606,11.253198,75.799641,Private-Self Financing,"Directorate of Technical Education, Kerala",Approved,Approved,A,No,,Tier 3,http://www.mdit.ac.in,info@mdit.ac.in,admissions@mdit.ac.in,placement@mdit.ac.in,+91-80-603-9035,Civil Engineering,Diploma,60,300,1992,Urban,Yes,Yes
1-44638258779,1-44638258779,U-0475,M-DIT POLYTECHNIC COLLEGE,Active,Kerala,Kozhikode,Kozhikode,ULLIYERI P.O,682606,11.253198,75.799641,Private-Self Financing,"Directorate of Technical Education, Kerala",Approved,Approved,A,No,,Tier 3,http://www.mdit.ac.in,info@mdit.ac.in,admissions@mdit.ac.in,placement@mdit.ac.in,+91-80-603-9035,Automobile Engineering,Diploma,60,300,1992,Urban,Yes,Yes
1-44638258779,1-44638258779,U-0475,M-DIT POLYTECHNIC COLLEGE,Active,Kerala,Kozhikode,Kozhikode,ULLIYERI P.O,682606,11.253198,75.799641,Private-Self Financing,"Directorate of Technical Education, Kerala",Approved,Approved,A,No,,Tier 3,http://www.mdit.ac.in,info@mdit.ac.in,admissions@mdit.ac.in,placement@mdit.ac.in,+91-80-603-9035,Mechanical Engineering,Diploma,60,300,1992,Urban,Yes,Yes
1-44638258779,1-44638258779,U-0475,M-DIT POLYTECHNIC COLLEGE,Active,Kerala,Kozhikode,Kozhikode,ULLIYERI P.O,682606,11.253198,75.799641,Private-Self Financing,"Directorate of Technical Education, Kerala",Approved,Approved,A,No,,Tier 3,http://www.mdit.ac.in,info@mdit.ac.in,admissions@mdit.ac.in,placement@mdit.ac.in,+91-80-603-9035,Electronics & Communication Engineering (ECE),Diploma,60,300,1992,Urban,Yes,Yes
1-44638258779,1-44638258779,U-0475,M-DIT POLYTECHNIC COLLEGE,Active,Kerala,Kozhikode,Kozhikode,ULLIYERI P.O,682606,11.253198,75.799641,Private-Self Financing,"Directorate of Technical Education, Kerala",Approved,Approved,A,No,,Tier 3,http://www.mdit.ac.in,info@mdit.ac.in,admissions@mdit.ac.in,placement@mdit.ac.in,+91-80-603-9035,Computer Science Engineering (CSE),Diploma,60,300,1992,Urban,Yes,Yes
1-44638635605,1-44638635605,U-0672,KMCT INSTITUTE OF EMERGING TECHNOLOGY AND MANAGEMENT,Active,Kerala,Kozhikode,Kozhikode,"MANASSERY, MUKKAM, KOZHIKODE",682606,11.275137,75.763835,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,A,No,,Tier 3,http://www.kmctemergingmanagement.ac.in,info@kmctemergingmanagement.ac.in,admissions@kmctemergingmanagement.ac.in,placement@kmctemergingmanagement.ac.in,+91-80-524-0469,Computer Science Engineering (CSE),B.Tech,180,480,2002,Urban,Yes,Yes
1-44638635605,1-44638635605,U-0672,KMCT INSTITUTE OF EMERGING TECHNOLOGY AND MANAGEMENT,Active,Kerala,Kozhikode,Kozhikode,"MANASSERY, MUKKAM, KOZHIKODE",682606,11.275137,75.763835,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,A,No,,Tier 3,http://www.kmctemergingmanagement.ac.in,info@kmctemergingmanagement.ac.in,admissions@kmctemergingmanagement.ac.in,placement@kmctemergingmanagement.ac.in,+91-80-524-0469,Data Science,B.Tech,90,480,2002,Urban,Yes,Yes
1-44638635605,1-44638635605,U-0672,KMCT INSTITUTE OF EMERGING TECHNOLOGY AND MANAGEMENT,Active,Kerala,Kozhikode,Kozhikode,"MANASSERY, MUKKAM, KOZHIKODE",682606,11.275137,75.763835,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,A,No,,Tier 3,http://www.kmctemergingmanagement.ac.in,info@kmctemergingmanagement.ac.in,admissions@kmctemergingmanagement.ac.in,placement@kmctemergingmanagement.ac.in,+91-80-524-0469,Cyber Security,B.Tech,60,480,2002,Urban,Yes,Yes
1-44638635605,1-44638635605,U-0672,KMCT INSTITUTE OF EMERGING TECHNOLOGY AND MANAGEMENT,Active,Kerala,Kozhikode,Kozhikode,"MANASSERY, MUKKAM, KOZHIKODE",682606,11.275137,75.763835,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,A,No,,Tier 3,http://www.kmctemergingmanagement.ac.in,info@kmctemergingmanagement.ac.in,admissions@kmctemergingmanagement.ac.in,placement@kmctemergingmanagement.ac.in,+91-80-524-0469,Electronics & Communication Engineering (ECE),B.Tech,30,480,2002,Urban,Yes,Yes
1-44638635605,1-44638635605,U-0672,KMCT INSTITUTE OF EMERGING TECHNOLOGY AND MANAGEMENT,Active,Kerala,Kozhikode,Kozhikode,"MANASSERY, MUKKAM, KOZHIKODE",682606,11.275137,75.763835,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,A,No,,Tier 3,http://www.kmctemergingmanagement.ac.in,info@kmctemergingmanagement.ac.in,admissions@kmctemergingmanagement.ac.in,placement@kmctemergingmanagement.ac.in,+91-80-524-0469,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,480,2002,Urban,Yes,Yes
