College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638266744,1-44638266744,U-0042,COLLEGE OF POULTRY PRODCUTION AND MANAGEMENT,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"DENKANIKOTTAI ROAD, MATHIGIRI, HOSUR",600978,11.126351,78.651229,Government,"Tamil Nadu Veterinary and Animal Sciences University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.poultryprodcutionmanagement.ac.in,info@poultryprodcutionmanagement.ac.in,admissions@poultryprodcutionmanagement.ac.in,placement@poultryprodcutionmanagement.ac.in,+91-80-807-4587,Other Engineering Branches,B.Tech,60,60,2016,Rural,Yes,Yes
1-44638583425,1-44638583425,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"GOVERNMENT POLYTECHNIC COLLEGE, KELAMANGALAM, BODICHIPALLI VILL, DENKANIKOTTAI TK, KRISHNAGIRI -635113",635113,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Civil Engineering,Diploma,60,360,2005,Urban,Yes,Yes
1-44638583425,1-44638583425,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"GOVERNMENT POLYTECHNIC COLLEGE, KELAMANGALAM, BODICHIPALLI VILL, DENKANIKOTTAI TK, KRISHNAGIRI -635113",635113,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Mechanical Engineering,Diploma,60,360,2005,Urban,Yes,Yes
1-44638583425,1-44638583425,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"GOVERNMENT POLYTECHNIC COLLEGE, KELAMANGALAM, BODICHIPALLI VILL, DENKANIKOTTAI TK, KRISHNAGIRI -635113",635113,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electrical & Electronics Engineering (EEE),Diploma,60,360,2005,Urban,Yes,Yes
1-44638583425,1-44638583425,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"GOVERNMENT POLYTECHNIC COLLEGE, KELAMANGALAM, BODICHIPALLI VILL, DENKANIKOTTAI TK, KRISHNAGIRI -635113",635113,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electronics & Communication Engineering (ECE),Diploma,60,360,2005,Urban,Yes,Yes
1-44638583425,1-44638583425,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"GOVERNMENT POLYTECHNIC COLLEGE, KELAMANGALAM, BODICHIPALLI VILL, DENKANIKOTTAI TK, KRISHNAGIRI -635113",635113,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Computer Science Engineering (CSE),Diploma,60,360,2005,Urban,Yes,Yes
1-44638583425,1-44638583425,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,"GOVERNMENT POLYTECHNIC COLLEGE, KELAMANGALAM, BODICHIPALLI VILL, DENKANIKOTTAI TK, KRISHNAGIRI -635113",635113,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Information Technology (IT),Diploma,60,360,2005,Urban,Yes,Yes
1-44639394266,1-44639394266,U-0650,SRI VINAYAGA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,PUTHUMOTTUR VILLAGE JINGALKATHIRMAPATTI  POST POCHAMPALLI TK KRISHNAGIRI DT,600978,11.128771,78.665782,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.srivinayaga.ac.in,info@srivinayaga.ac.in,admissions@srivinayaga.ac.in,placement@srivinayaga.ac.in,+91-80-908-9720,Mechanical Engineering,Diploma,120,270,2006,Rural,Yes,Yes
1-44639394266,1-44639394266,U-0650,SRI VINAYAGA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,PUTHUMOTTUR VILLAGE JINGALKATHIRMAPATTI  POST POCHAMPALLI TK KRISHNAGIRI DT,600978,11.128771,78.665782,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.srivinayaga.ac.in,info@srivinayaga.ac.in,admissions@srivinayaga.ac.in,placement@srivinayaga.ac.in,+91-80-908-9720,Electrical & Electronics Engineering (EEE),Diploma,60,270,2006,Rural,Yes,Yes
1-44639394266,1-44639394266,U-0650,SRI VINAYAGA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Krishnagiri,Krishnagiri,PUTHUMOTTUR VILLAGE JINGALKATHIRMAPATTI  POST POCHAMPALLI TK KRISHNAGIRI DT,600978,11.128771,78.665782,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.srivinayaga.ac.in,info@srivinayaga.ac.in,admissions@srivinayaga.ac.in,placement@srivinayaga.ac.in,+91-80-908-9720,Electronics & Communication Engineering (ECE),Diploma,60,270,2006,Rural,Yes,Yes
