College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638265733,1-44638265733,U-0992,RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Kurnool,Kurnool,"RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING, RAYALASEEMA UNIVERSITY, KURNOOL-518007, ANDHRA PRADESH",518007,15.816775,78.036233,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.rayalaseema.ac.in,info@rayalaseema.ac.in,admissions@rayalaseema.ac.in,placement@rayalaseema.ac.in,+91-80-363-8649,Computer Science Engineering (CSE),B.Tech,120,360,2008,Rural,Yes,Yes
1-44638265733,1-44638265733,U-0992,RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Kurnool,Kurnool,"RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING, RAYALASEEMA UNIVERSITY, KURNOOL-518007, ANDHRA PRADESH",518007,15.816775,78.036233,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.rayalaseema.ac.in,info@rayalaseema.ac.in,admissions@rayalaseema.ac.in,placement@rayalaseema.ac.in,+91-80-363-8649,Electronics & Communication Engineering (ECE),B.Tech,60,360,2008,Rural,Yes,Yes
1-44638265733,1-44638265733,U-0992,RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Kurnool,Kurnool,"RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING, RAYALASEEMA UNIVERSITY, KURNOOL-518007, ANDHRA PRADESH",518007,15.816775,78.036233,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.rayalaseema.ac.in,info@rayalaseema.ac.in,admissions@rayalaseema.ac.in,placement@rayalaseema.ac.in,+91-80-363-8649,Civil Engineering,B.Tech,60,360,2008,Rural,Yes,Yes
1-44638265733,1-44638265733,U-0992,RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Kurnool,Kurnool,"RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING, RAYALASEEMA UNIVERSITY, KURNOOL-518007, ANDHRA PRADESH",518007,15.816775,78.036233,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.rayalaseema.ac.in,info@rayalaseema.ac.in,admissions@rayalaseema.ac.in,placement@rayalaseema.ac.in,+91-80-363-8649,Mechanical Engineering,B.Tech,60,360,2008,Rural,Yes,Yes
1-44638265733,1-44638265733,U-0992,RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Kurnool,Kurnool,"RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING, RAYALASEEMA UNIVERSITY, KURNOOL-518007, ANDHRA PRADESH",518007,15.816775,78.036233,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.rayalaseema.ac.in,info@rayalaseema.ac.in,admissions@rayalaseema.ac.in,placement@rayalaseema.ac.in,+91-80-363-8649,Other Engineering Branches,B.Tech,60,360,2008,Rural,Yes,Yes
1-44637348671,1-44637348671,U-0062,GOVERNMENT POLYTECHNIC BETHAMCHERLA,Active,Andhra Pradesh,Kurnool,Kurnool,BETHAMCHERLA,500478,15.831777,78.020223,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.bethamcherla.ac.in,info@bethamcherla.ac.in,admissions@bethamcherla.ac.in,placement@bethamcherla.ac.in,+91-80-993-0770,Mechanical Engineering,Diploma,60,240,1996,Urban,Yes,Yes
1-44637348671,1-44637348671,U-0062,GOVERNMENT POLYTECHNIC BETHAMCHERLA,Active,Andhra Pradesh,Kurnool,Kurnool,BETHAMCHERLA,500478,15.831777,78.020223,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.bethamcherla.ac.in,info@bethamcherla.ac.in,admissions@bethamcherla.ac.in,placement@bethamcherla.ac.in,+91-80-993-0770,Electrical & Electronics Engineering (EEE),Diploma,60,240,1996,Urban,Yes,Yes
1-44637348671,1-44637348671,U-0062,GOVERNMENT POLYTECHNIC BETHAMCHERLA,Active,Andhra Pradesh,Kurnool,Kurnool,BETHAMCHERLA,500478,15.831777,78.020223,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.bethamcherla.ac.in,info@bethamcherla.ac.in,admissions@bethamcherla.ac.in,placement@bethamcherla.ac.in,+91-80-993-0770,Electronics & Communication Engineering (ECE),Diploma,60,240,1996,Urban,Yes,Yes
1-44637348671,1-44637348671,U-0062,GOVERNMENT POLYTECHNIC BETHAMCHERLA,Active,Andhra Pradesh,Kurnool,Kurnool,BETHAMCHERLA,500478,15.831777,78.020223,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.bethamcherla.ac.in,info@bethamcherla.ac.in,admissions@bethamcherla.ac.in,placement@bethamcherla.ac.in,+91-80-993-0770,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,240,1996,Urban,Yes,Yes
1-44639451876,1-44639451876,U-0062,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Andhra Pradesh,Kurnool,Kurnool,WESTERN COLONY SUNNIPENTA,500478,15.835046,78.032066,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Civil Engineering,Diploma,60,240,1987,Urban,Yes,Yes
1-44639451876,1-44639451876,U-0062,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Andhra Pradesh,Kurnool,Kurnool,WESTERN COLONY SUNNIPENTA,500478,15.835046,78.032066,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Electrical & Electronics Engineering (EEE),Diploma,60,240,1987,Urban,Yes,Yes
1-44639451876,1-44639451876,U-0062,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Andhra Pradesh,Kurnool,Kurnool,WESTERN COLONY SUNNIPENTA,500478,15.835046,78.032066,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Mechanical Engineering,Diploma,60,240,1987,Urban,Yes,Yes
1-44639451876,1-44639451876,U-0062,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,Active,Andhra Pradesh,Kurnool,Kurnool,WESTERN COLONY SUNNIPENTA,500478,15.835046,78.032066,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.modelresidential.ac.in,info@modelresidential.ac.in,admissions@modelresidential.ac.in,placement@modelresidential.ac.in,+91-80-130-1726,Electronics & Communication Engineering (ECE),Diploma,60,240,1987,Urban,Yes,Yes
1-44639833294,1-44639833294,U-0062,GOVERNMENT POLYTECHNIC FOR MINORITIES,Active,Andhra Pradesh,Kurnool,Kurnool,B-THANDRAPADU KURNOOL-2,500478,15.829389,78.049459,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.minorities.ac.in,info@minorities.ac.in,admissions@minorities.ac.in,placement@minorities.ac.in,+91-80-892-9229,Automobile Engineering,Diploma,40,120,2009,Urban,No,Yes
1-44639833294,1-44639833294,U-0062,GOVERNMENT POLYTECHNIC FOR MINORITIES,Active,Andhra Pradesh,Kurnool,Kurnool,B-THANDRAPADU KURNOOL-2,500478,15.829389,78.049459,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.minorities.ac.in,info@minorities.ac.in,admissions@minorities.ac.in,placement@minorities.ac.in,+91-80-892-9229,Mechanical Engineering,Diploma,40,120,2009,Urban,No,Yes
