College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638446450,1-44638446450,U-0698,"GOVERNMENT POLYTECHNIC, SHEIKHPURA",Active,Bihar,Lakhisarai,Lakhisarai,"GOVERNMENT POLYTECHNIC , SHEKHOPUR SARAI , KHURIA , DIST- SHEIKHPURA (BIHAR)",800074,25.108725,85.332175,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheikhpura.ac.in,info@sheikhpura.ac.in,admissions@sheikhpura.ac.in,placement@sheikhpura.ac.in,+91-80-368-3962,Mechanical Engineering,Diploma,60,240,2009,Urban,Yes,Yes
1-44638446450,1-44638446450,U-0698,"GOVERNMENT POLYTECHNIC, SHEIKHPURA",Active,Bihar,Lakhisarai,Lakhisarai,"GOVERNMENT POLYTECHNIC , SHEKHOPUR SARAI , KHURIA , DIST- SHEIKHPURA (BIHAR)",800074,25.108725,85.332175,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheikhpura.ac.in,info@sheikhpura.ac.in,admissions@sheikhpura.ac.in,placement@sheikhpura.ac.in,+91-80-368-3962,Electrical Engineering,Diploma,60,240,2009,Urban,Yes,Yes
1-44638446450,1-44638446450,U-0698,"GOVERNMENT POLYTECHNIC, SHEIKHPURA",Active,Bihar,Lakhisarai,Lakhisarai,"GOVERNMENT POLYTECHNIC , SHEKHOPUR SARAI , KHURIA , DIST- SHEIKHPURA (BIHAR)",800074,25.108725,85.332175,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheikhpura.ac.in,info@sheikhpura.ac.in,admissions@sheikhpura.ac.in,placement@sheikhpura.ac.in,+91-80-368-3962,Other Engineering Branches,Diploma,60,240,2009,Urban,Yes,Yes
1-44638446450,1-44638446450,U-0698,"GOVERNMENT POLYTECHNIC, SHEIKHPURA",Active,Bihar,Lakhisarai,Lakhisarai,"GOVERNMENT POLYTECHNIC , SHEKHOPUR SARAI , KHURIA , DIST- SHEIKHPURA (BIHAR)",800074,25.108725,85.332175,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheikhpura.ac.in,info@sheikhpura.ac.in,admissions@sheikhpura.ac.in,placement@sheikhpura.ac.in,+91-80-368-3962,Civil Engineering,Diploma,60,240,2009,Urban,Yes,Yes
1-44641036739,1-44641036739,U-0698,"GOVT. POLYTECHNIC, LAKHISARAI",Active,Bihar,Lakhisarai,Lakhisarai,NORTH OF VIDYA PEETH CHOWK LAKHISARAI,800074,25.082798,85.308604,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govtlakhisarai.ac.in,info@govtlakhisarai.ac.in,admissions@govtlakhisarai.ac.in,placement@govtlakhisarai.ac.in,+91-80-280-9443,Civil Engineering,Diploma,30,120,2020,Urban,Yes,Yes
1-44641036739,1-44641036739,U-0698,"GOVT. POLYTECHNIC, LAKHISARAI",Active,Bihar,Lakhisarai,Lakhisarai,NORTH OF VIDYA PEETH CHOWK LAKHISARAI,800074,25.082798,85.308604,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govtlakhisarai.ac.in,info@govtlakhisarai.ac.in,admissions@govtlakhisarai.ac.in,placement@govtlakhisarai.ac.in,+91-80-280-9443,Other Engineering Branches,Diploma,30,120,2020,Urban,Yes,Yes
1-44641036739,1-44641036739,U-0698,"GOVT. POLYTECHNIC, LAKHISARAI",Active,Bihar,Lakhisarai,Lakhisarai,NORTH OF VIDYA PEETH CHOWK LAKHISARAI,800074,25.082798,85.308604,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govtlakhisarai.ac.in,info@govtlakhisarai.ac.in,admissions@govtlakhisarai.ac.in,placement@govtlakhisarai.ac.in,+91-80-280-9443,Electrical Engineering,Diploma,30,120,2020,Urban,Yes,Yes
1-44641036739,1-44641036739,U-0698,"GOVT. POLYTECHNIC, LAKHISARAI",Active,Bihar,Lakhisarai,Lakhisarai,NORTH OF VIDYA PEETH CHOWK LAKHISARAI,800074,25.082798,85.308604,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govtlakhisarai.ac.in,info@govtlakhisarai.ac.in,admissions@govtlakhisarai.ac.in,placement@govtlakhisarai.ac.in,+91-80-280-9443,Mechanical Engineering,Diploma,30,120,2020,Urban,Yes,Yes
1-44754898648,1-44754898648,U-0698,SUNAINA POLYTECHNIC COLLEGE,Active,Bihar,Lakhisarai,Lakhisarai,"BYPASS ROAD, LAKHISARAI, BIHAR, 811311",811311,25.096544,85.306104,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B+,No,,Tier 3,http://www.sunaina.ac.in,info@sunaina.ac.in,admissions@sunaina.ac.in,placement@sunaina.ac.in,+91-80-857-4803,Civil Engineering,Diploma,60,330,2009,Rural,No,Yes
1-44754898648,1-44754898648,U-0698,SUNAINA POLYTECHNIC COLLEGE,Active,Bihar,Lakhisarai,Lakhisarai,"BYPASS ROAD, LAKHISARAI, BIHAR, 811311",811311,25.096544,85.306104,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B+,No,,Tier 3,http://www.sunaina.ac.in,info@sunaina.ac.in,admissions@sunaina.ac.in,placement@sunaina.ac.in,+91-80-857-4803,Electrical Engineering,Diploma,60,330,2009,Rural,No,Yes
