College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638485650,1-44638485650,U-0164,ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),Active,Uttar Pradesh,Lucknow,Lucknow,"ISABELLA THOBURN COLLEGE SOCIETY, 7, FAIZABAD ROAD, LUCKNOW",201700,26.848608,80.935239,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.isabellathoburnprofessional.ac.in,info@isabellathoburnprofessional.ac.in,admissions@isabellathoburnprofessional.ac.in,placement@isabellathoburnprofessional.ac.in,+91-80-918-8921,Data Science,B.Tech,60,240,1987,Rural,Yes,Yes
1-44638485650,1-44638485650,U-0164,ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),Active,Uttar Pradesh,Lucknow,Lucknow,"ISABELLA THOBURN COLLEGE SOCIETY, 7, FAIZABAD ROAD, LUCKNOW",201700,26.848608,80.935239,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.isabellathoburnprofessional.ac.in,info@isabellathoburnprofessional.ac.in,admissions@isabellathoburnprofessional.ac.in,placement@isabellathoburnprofessional.ac.in,+91-80-918-8921,Computer Science Engineering (CSE),B.Tech,120,240,1987,Rural,Yes,Yes
1-44638485650,1-44638485650,U-0164,ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),Active,Uttar Pradesh,Lucknow,Lucknow,"ISABELLA THOBURN COLLEGE SOCIETY, 7, FAIZABAD ROAD, LUCKNOW",201700,26.848608,80.935239,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.isabellathoburnprofessional.ac.in,info@isabellathoburnprofessional.ac.in,admissions@isabellathoburnprofessional.ac.in,placement@isabellathoburnprofessional.ac.in,+91-80-918-8921,Other Engineering Branches,B.Tech,60,240,1987,Rural,Yes,Yes
1-44638416963,1-44638416963,U-0449,AMBEKESHWAR INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Lucknow,Lucknow,"VILL-KATHWARA, POST-BAKSHI KA TALAB, DISTT.-LUCKNOW",201700,26.854565,80.961543,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ambekeshwarmanagement.ac.in,info@ambekeshwarmanagement.ac.in,admissions@ambekeshwarmanagement.ac.in,placement@ambekeshwarmanagement.ac.in,+91-80-168-7650,Civil Engineering,Diploma,60,300,1995,Urban,Yes,Yes
1-44638416963,1-44638416963,U-0449,AMBEKESHWAR INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Lucknow,Lucknow,"VILL-KATHWARA, POST-BAKSHI KA TALAB, DISTT.-LUCKNOW",201700,26.854565,80.961543,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ambekeshwarmanagement.ac.in,info@ambekeshwarmanagement.ac.in,admissions@ambekeshwarmanagement.ac.in,placement@ambekeshwarmanagement.ac.in,+91-80-168-7650,Computer Science Engineering (CSE),Diploma,60,300,1995,Urban,Yes,Yes
1-44638416963,1-44638416963,U-0449,AMBEKESHWAR INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Lucknow,Lucknow,"VILL-KATHWARA, POST-BAKSHI KA TALAB, DISTT.-LUCKNOW",201700,26.854565,80.961543,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ambekeshwarmanagement.ac.in,info@ambekeshwarmanagement.ac.in,admissions@ambekeshwarmanagement.ac.in,placement@ambekeshwarmanagement.ac.in,+91-80-168-7650,Mechanical Engineering,Diploma,60,300,1995,Urban,Yes,Yes
1-44638416963,1-44638416963,U-0449,AMBEKESHWAR INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Lucknow,Lucknow,"VILL-KATHWARA, POST-BAKSHI KA TALAB, DISTT.-LUCKNOW",201700,26.854565,80.961543,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ambekeshwarmanagement.ac.in,info@ambekeshwarmanagement.ac.in,admissions@ambekeshwarmanagement.ac.in,placement@ambekeshwarmanagement.ac.in,+91-80-168-7650,Electrical Engineering,Diploma,60,300,1995,Urban,Yes,Yes
1-44638416963,1-44638416963,U-0449,AMBEKESHWAR INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Lucknow,Lucknow,"VILL-KATHWARA, POST-BAKSHI KA TALAB, DISTT.-LUCKNOW",201700,26.854565,80.961543,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ambekeshwarmanagement.ac.in,info@ambekeshwarmanagement.ac.in,admissions@ambekeshwarmanagement.ac.in,placement@ambekeshwarmanagement.ac.in,+91-80-168-7650,Automobile Engineering,Diploma,60,300,1995,Urban,Yes,Yes
1-44638502003,1-44638502003,U-0449,HIMALAYAN POLYTECHNIC INSTITUTE,Active,Uttar Pradesh,Lucknow,Lucknow,"BANKE NAGAR CHAUARAHA,BAKSHI KA TALAB,SITAPUR ROAD ,LUCKNOW",201700,26.850473,80.959038,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.himalayan.ac.in,info@himalayan.ac.in,admissions@himalayan.ac.in,placement@himalayan.ac.in,+91-80-997-1154,Civil Engineering,Diploma,54,216,2006,Urban,No,Yes
1-44638502003,1-44638502003,U-0449,HIMALAYAN POLYTECHNIC INSTITUTE,Active,Uttar Pradesh,Lucknow,Lucknow,"BANKE NAGAR CHAUARAHA,BAKSHI KA TALAB,SITAPUR ROAD ,LUCKNOW",201700,26.850473,80.959038,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.himalayan.ac.in,info@himalayan.ac.in,admissions@himalayan.ac.in,placement@himalayan.ac.in,+91-80-997-1154,Mechanical Engineering,Diploma,108,216,2006,Urban,No,Yes
