College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638124016,1-44638124016,U-0440,GOVERNMENT ENGINEERING COLLEGE MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT ENGINEERING COLLEGE, MADHUBANI; AT- SAGARPUR, PANDAUL, PS- SAKRI, PO- PANDAUL",800345,25.077529,85.316858,Government,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-059-9448,Civil Engineering,B.Tech,120,360,1997,Urban,Yes,Yes
1-44638124016,1-44638124016,U-0440,GOVERNMENT ENGINEERING COLLEGE MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT ENGINEERING COLLEGE, MADHUBANI; AT- SAGARPUR, PANDAUL, PS- SAKRI, PO- PANDAUL",800345,25.077529,85.316858,Government,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-059-9448,Mechanical Engineering,B.Tech,60,360,1997,Urban,Yes,Yes
1-44638124016,1-44638124016,U-0440,GOVERNMENT ENGINEERING COLLEGE MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT ENGINEERING COLLEGE, MADHUBANI; AT- SAGARPUR, PANDAUL, PS- SAKRI, PO- PANDAUL",800345,25.077529,85.316858,Government,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-059-9448,Electrical Engineering,B.Tech,60,360,1997,Urban,Yes,Yes
1-44638124016,1-44638124016,U-0440,GOVERNMENT ENGINEERING COLLEGE MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT ENGINEERING COLLEGE, MADHUBANI; AT- SAGARPUR, PANDAUL, PS- SAKRI, PO- PANDAUL",800345,25.077529,85.316858,Government,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-059-9448,Computer Science Engineering (CSE),B.Tech,60,360,1997,Urban,Yes,Yes
1-44638124016,1-44638124016,U-0440,GOVERNMENT ENGINEERING COLLEGE MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT ENGINEERING COLLEGE, MADHUBANI; AT- SAGARPUR, PANDAUL, PS- SAKRI, PO- PANDAUL",800345,25.077529,85.316858,Government,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-059-9448,IoT,B.Tech,60,360,1997,Urban,Yes,Yes
1-44640275709,1-44640275709,U-0698,"SANDIP FOUNDATIONS, SHRI RAM POLYTECHNIC",Active,Bihar,Madhubani,Madhubani,"NEELAM VIDYAVIHAR, , VILLAGE: SIJOUL, AT POST: MAILAM, DIST: MADHUBANI",800345,25.08447,85.300089,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sandipfoundationsshri.ac.in,info@sandipfoundationsshri.ac.in,admissions@sandipfoundationsshri.ac.in,placement@sandipfoundationsshri.ac.in,+91-80-351-0572,Mechanical Engineering,Diploma,60,300,2020,Rural,No,Yes
1-44640275709,1-44640275709,U-0698,"SANDIP FOUNDATIONS, SHRI RAM POLYTECHNIC",Active,Bihar,Madhubani,Madhubani,"NEELAM VIDYAVIHAR, , VILLAGE: SIJOUL, AT POST: MAILAM, DIST: MADHUBANI",800345,25.08447,85.300089,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sandipfoundationsshri.ac.in,info@sandipfoundationsshri.ac.in,admissions@sandipfoundationsshri.ac.in,placement@sandipfoundationsshri.ac.in,+91-80-351-0572,Electrical Engineering,Diploma,60,300,2020,Rural,No,Yes
1-44640275709,1-44640275709,U-0698,"SANDIP FOUNDATIONS, SHRI RAM POLYTECHNIC",Active,Bihar,Madhubani,Madhubani,"NEELAM VIDYAVIHAR, , VILLAGE: SIJOUL, AT POST: MAILAM, DIST: MADHUBANI",800345,25.08447,85.300089,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sandipfoundationsshri.ac.in,info@sandipfoundationsshri.ac.in,admissions@sandipfoundationsshri.ac.in,placement@sandipfoundationsshri.ac.in,+91-80-351-0572,Civil Engineering,Diploma,60,300,2020,Rural,No,Yes
1-44640275709,1-44640275709,U-0698,"SANDIP FOUNDATIONS, SHRI RAM POLYTECHNIC",Active,Bihar,Madhubani,Madhubani,"NEELAM VIDYAVIHAR, , VILLAGE: SIJOUL, AT POST: MAILAM, DIST: MADHUBANI",800345,25.08447,85.300089,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sandipfoundationsshri.ac.in,info@sandipfoundationsshri.ac.in,admissions@sandipfoundationsshri.ac.in,placement@sandipfoundationsshri.ac.in,+91-80-351-0572,Computer Science Engineering (CSE),Diploma,120,300,2020,Rural,No,Yes
1-44640348559,1-44640348559,U-0698,GOVERNMENT POLYTECHNIC MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT POLYTECHNIC MADHUBANI,AT-ARARIA SANGRAM,PO-TULAPATGANJ,VIA JHANJHARPUR,DIST- MADHUBANI,BIHAR, PIN-847109",847109,25.111386,85.315138,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-480-0013,Civil Engineering,Diploma,120,360,1981,Urban,No,Yes
1-44640348559,1-44640348559,U-0698,GOVERNMENT POLYTECHNIC MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT POLYTECHNIC MADHUBANI,AT-ARARIA SANGRAM,PO-TULAPATGANJ,VIA JHANJHARPUR,DIST- MADHUBANI,BIHAR, PIN-847109",847109,25.111386,85.315138,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-480-0013,Electrical Engineering,Diploma,60,360,1981,Urban,No,Yes
1-44640348559,1-44640348559,U-0698,GOVERNMENT POLYTECHNIC MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT POLYTECHNIC MADHUBANI,AT-ARARIA SANGRAM,PO-TULAPATGANJ,VIA JHANJHARPUR,DIST- MADHUBANI,BIHAR, PIN-847109",847109,25.111386,85.315138,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-480-0013,Mechanical Engineering,Diploma,60,360,1981,Urban,No,Yes
1-44640348559,1-44640348559,U-0698,GOVERNMENT POLYTECHNIC MADHUBANI,Active,Bihar,Madhubani,Madhubani,"GOVERNMENT POLYTECHNIC MADHUBANI,AT-ARARIA SANGRAM,PO-TULAPATGANJ,VIA JHANJHARPUR,DIST- MADHUBANI,BIHAR, PIN-847109",847109,25.111386,85.315138,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.madhubani.ac.in,info@madhubani.ac.in,admissions@madhubani.ac.in,placement@madhubani.ac.in,+91-80-480-0013,Other Engineering Branches,Diploma,60,360,1981,Urban,No,Yes
