College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638261803,1-44638261803,U-0682,ANNA UNIVERSITY REGIONAL CAMPUS MADURAI,Active,Tamil Nadu,Madurai,Madurai,"KANIYAKUMARI NATIONAL HIGHWAYS, KEELAKUYILKUDI , MADURAI",600680,9.907231,78.136679,Government,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-085-2204,Mechanical Engineering,B.Tech,60,330,2016,Urban,Yes,Yes
1-44638261803,1-44638261803,U-0682,ANNA UNIVERSITY REGIONAL CAMPUS MADURAI,Active,Tamil Nadu,Madurai,Madurai,"KANIYAKUMARI NATIONAL HIGHWAYS, KEELAKUYILKUDI , MADURAI",600680,9.907231,78.136679,Government,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-085-2204,Electronics & Communication Engineering (ECE),B.Tech,60,330,2016,Urban,Yes,Yes
1-44638261803,1-44638261803,U-0682,ANNA UNIVERSITY REGIONAL CAMPUS MADURAI,Active,Tamil Nadu,Madurai,Madurai,"KANIYAKUMARI NATIONAL HIGHWAYS, KEELAKUYILKUDI , MADURAI",600680,9.907231,78.136679,Government,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-085-2204,Computer Science Engineering (CSE),B.Tech,60,330,2016,Urban,Yes,Yes
1-44638261803,1-44638261803,U-0682,ANNA UNIVERSITY REGIONAL CAMPUS MADURAI,Active,Tamil Nadu,Madurai,Madurai,"KANIYAKUMARI NATIONAL HIGHWAYS, KEELAKUYILKUDI , MADURAI",600680,9.907231,78.136679,Government,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-085-2204,Civil Engineering,B.Tech,60,330,2016,Urban,Yes,Yes
1-44638261803,1-44638261803,U-0682,ANNA UNIVERSITY REGIONAL CAMPUS MADURAI,Active,Tamil Nadu,Madurai,Madurai,"KANIYAKUMARI NATIONAL HIGHWAYS, KEELAKUYILKUDI , MADURAI",600680,9.907231,78.136679,Government,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-085-2204,Electrical & Electronics Engineering (EEE),B.Tech,60,330,2016,Urban,Yes,Yes
1-44638261803,1-44638261803,U-0682,ANNA UNIVERSITY REGIONAL CAMPUS MADURAI,Active,Tamil Nadu,Madurai,Madurai,"KANIYAKUMARI NATIONAL HIGHWAYS, KEELAKUYILKUDI , MADURAI",600680,9.907231,78.136679,Government,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-085-2204,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,330,2016,Urban,Yes,Yes
1-44639695901,1-44639695901,U-0650,LATHA MATHAVAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,LATHA MATHAVAN NAGAR KIDARIPATTI POST ALAGARKOVIL MELUR TALUK MADURAI,600680,9.933872,78.115298,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.lathamathavan.ac.in,info@lathamathavan.ac.in,admissions@lathamathavan.ac.in,placement@lathamathavan.ac.in,+91-80-202-5699,Civil Engineering,Diploma,60,360,1991,Rural,Yes,Yes
1-44639695901,1-44639695901,U-0650,LATHA MATHAVAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,LATHA MATHAVAN NAGAR KIDARIPATTI POST ALAGARKOVIL MELUR TALUK MADURAI,600680,9.933872,78.115298,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.lathamathavan.ac.in,info@lathamathavan.ac.in,admissions@lathamathavan.ac.in,placement@lathamathavan.ac.in,+91-80-202-5699,Mechanical Engineering,Diploma,120,360,1991,Rural,Yes,Yes
1-44639695901,1-44639695901,U-0650,LATHA MATHAVAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,LATHA MATHAVAN NAGAR KIDARIPATTI POST ALAGARKOVIL MELUR TALUK MADURAI,600680,9.933872,78.115298,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.lathamathavan.ac.in,info@lathamathavan.ac.in,admissions@lathamathavan.ac.in,placement@lathamathavan.ac.in,+91-80-202-5699,Electrical & Electronics Engineering (EEE),Diploma,60,360,1991,Rural,Yes,Yes
1-44639695901,1-44639695901,U-0650,LATHA MATHAVAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,LATHA MATHAVAN NAGAR KIDARIPATTI POST ALAGARKOVIL MELUR TALUK MADURAI,600680,9.933872,78.115298,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.lathamathavan.ac.in,info@lathamathavan.ac.in,admissions@lathamathavan.ac.in,placement@lathamathavan.ac.in,+91-80-202-5699,Electronics & Communication Engineering (ECE),Diploma,60,360,1991,Rural,Yes,Yes
1-44639695901,1-44639695901,U-0650,LATHA MATHAVAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,LATHA MATHAVAN NAGAR KIDARIPATTI POST ALAGARKOVIL MELUR TALUK MADURAI,600680,9.933872,78.115298,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.lathamathavan.ac.in,info@lathamathavan.ac.in,admissions@lathamathavan.ac.in,placement@lathamathavan.ac.in,+91-80-202-5699,Computer Science Engineering (CSE),Diploma,60,360,1991,Rural,Yes,Yes
1-44639652217,1-44639652217,U-0650,THANAPANDIYAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,"THANAPANDIYAN NAGAR, AUSTINPATTY ROAD,",600680,9.905648,78.100913,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thanapandiyan.ac.in,info@thanapandiyan.ac.in,admissions@thanapandiyan.ac.in,placement@thanapandiyan.ac.in,+91-80-018-7911,Civil Engineering,Diploma,30,195,1982,Rural,Yes,No
1-44639652217,1-44639652217,U-0650,THANAPANDIYAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,"THANAPANDIYAN NAGAR, AUSTINPATTY ROAD,",600680,9.905648,78.100913,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thanapandiyan.ac.in,info@thanapandiyan.ac.in,admissions@thanapandiyan.ac.in,placement@thanapandiyan.ac.in,+91-80-018-7911,Electrical & Electronics Engineering (EEE),Diploma,30,195,1982,Rural,Yes,No
1-44639652217,1-44639652217,U-0650,THANAPANDIYAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,"THANAPANDIYAN NAGAR, AUSTINPATTY ROAD,",600680,9.905648,78.100913,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thanapandiyan.ac.in,info@thanapandiyan.ac.in,admissions@thanapandiyan.ac.in,placement@thanapandiyan.ac.in,+91-80-018-7911,Electronics & Communication Engineering (ECE),Diploma,30,195,1982,Rural,Yes,No
1-44639652217,1-44639652217,U-0650,THANAPANDIYAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,"THANAPANDIYAN NAGAR, AUSTINPATTY ROAD,",600680,9.905648,78.100913,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thanapandiyan.ac.in,info@thanapandiyan.ac.in,admissions@thanapandiyan.ac.in,placement@thanapandiyan.ac.in,+91-80-018-7911,Mechanical Engineering,Diploma,60,195,1982,Rural,Yes,No
1-44639652217,1-44639652217,U-0650,THANAPANDIYAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,"THANAPANDIYAN NAGAR, AUSTINPATTY ROAD,",600680,9.905648,78.100913,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thanapandiyan.ac.in,info@thanapandiyan.ac.in,admissions@thanapandiyan.ac.in,placement@thanapandiyan.ac.in,+91-80-018-7911,Automobile Engineering,Diploma,30,195,1982,Rural,Yes,No
1-44639652217,1-44639652217,U-0650,THANAPANDIYAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Madurai,Madurai,"THANAPANDIYAN NAGAR, AUSTINPATTY ROAD,",600680,9.905648,78.100913,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.thanapandiyan.ac.in,info@thanapandiyan.ac.in,admissions@thanapandiyan.ac.in,placement@thanapandiyan.ac.in,+91-80-018-7911,Computer Science Engineering (CSE),Diploma,15,195,1982,Rural,Yes,No
