College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639400857,1-44639400857,U-0449,MAHAMAYA POLYTECHNIC OF INFORMATION TECHNOLOGY,Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,"PILIBHIT BHARATPUR ROAD,15 KM FROM SIKNDRA RAO TO HATHRAS",201883,26.857308,80.933504,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.mahamayainformation.ac.in,info@mahamayainformation.ac.in,admissions@mahamayainformation.ac.in,placement@mahamayainformation.ac.in,+91-80-283-7934,Other Engineering Branches,Diploma,60,180,2018,Urban,No,Yes
1-44639400857,1-44639400857,U-0449,MAHAMAYA POLYTECHNIC OF INFORMATION TECHNOLOGY,Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,"PILIBHIT BHARATPUR ROAD,15 KM FROM SIKNDRA RAO TO HATHRAS",201883,26.857308,80.933504,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.mahamayainformation.ac.in,info@mahamayainformation.ac.in,admissions@mahamayainformation.ac.in,placement@mahamayainformation.ac.in,+91-80-283-7934,Computer Science Engineering (CSE),Diploma,60,180,2018,Urban,No,Yes
1-44639400857,1-44639400857,U-0449,MAHAMAYA POLYTECHNIC OF INFORMATION TECHNOLOGY,Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,"PILIBHIT BHARATPUR ROAD,15 KM FROM SIKNDRA RAO TO HATHRAS",201883,26.857308,80.933504,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.mahamayainformation.ac.in,info@mahamayainformation.ac.in,admissions@mahamayainformation.ac.in,placement@mahamayainformation.ac.in,+91-80-283-7934,Information Technology (IT),Diploma,60,180,2018,Urban,No,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Civil Engineering,Diploma,90,562,2019,Rural,Yes,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Electrical Engineering,Diploma,90,562,2019,Rural,Yes,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Other Engineering Branches,Diploma,90,562,2019,Rural,Yes,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Agricultural Engineering,Diploma,45,562,2019,Rural,Yes,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Mechanical Engineering,Diploma,180,562,2019,Rural,Yes,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Information Technology (IT),Diploma,22,562,2019,Rural,Yes,Yes
1-44640247720,1-44640247720,U-0449,"M.G.POLYTECHNIC, HATHRAS",Active,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,AGRA ALIGARH ROAD HATHRAS,201883,26.863624,80.965167,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.mgpolytechnichathras.ac.in,info@mgpolytechnichathras.ac.in,admissions@mgpolytechnichathras.ac.in,placement@mgpolytechnichathras.ac.in,+91-80-548-6969,Computer Science Engineering (CSE),Diploma,45,562,2019,Rural,Yes,Yes
