College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639438237,1-44639438237,U-0675,DREAMZ POLYTECHNIC,Active,Himachal Pradesh,Mandi,Mandi,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",175036,31.108955,77.177112,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,Not Accredited,No,,Tier 3,http://www.dreamz.ac.in,info@dreamz.ac.in,admissions@dreamz.ac.in,placement@dreamz.ac.in,+91-80-013-1351,Mechanical Engineering,Diploma,30,195,2002,Urban,Yes,Yes
1-44639438237,1-44639438237,U-0675,DREAMZ POLYTECHNIC,Active,Himachal Pradesh,Mandi,Mandi,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",175036,31.108955,77.177112,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,Not Accredited,No,,Tier 3,http://www.dreamz.ac.in,info@dreamz.ac.in,admissions@dreamz.ac.in,placement@dreamz.ac.in,+91-80-013-1351,Electrical Engineering,Diploma,60,195,2002,Urban,Yes,Yes
1-44639438237,1-44639438237,U-0675,DREAMZ POLYTECHNIC,Active,Himachal Pradesh,Mandi,Mandi,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",175036,31.108955,77.177112,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,Not Accredited,No,,Tier 3,http://www.dreamz.ac.in,info@dreamz.ac.in,admissions@dreamz.ac.in,placement@dreamz.ac.in,+91-80-013-1351,Computer Science Engineering (CSE),Diploma,15,195,2002,Urban,Yes,Yes
1-44639438237,1-44639438237,U-0675,DREAMZ POLYTECHNIC,Active,Himachal Pradesh,Mandi,Mandi,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",175036,31.108955,77.177112,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,Not Accredited,No,,Tier 3,http://www.dreamz.ac.in,info@dreamz.ac.in,admissions@dreamz.ac.in,placement@dreamz.ac.in,+91-80-013-1351,Electronics & Communication Engineering (ECE),Diploma,15,195,2002,Urban,Yes,Yes
1-44639438237,1-44639438237,U-0675,DREAMZ POLYTECHNIC,Active,Himachal Pradesh,Mandi,Mandi,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",175036,31.108955,77.177112,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,Not Accredited,No,,Tier 3,http://www.dreamz.ac.in,info@dreamz.ac.in,admissions@dreamz.ac.in,placement@dreamz.ac.in,+91-80-013-1351,Civil Engineering,Diploma,60,195,2002,Urban,Yes,Yes
1-44639438237,1-44639438237,U-0675,DREAMZ POLYTECHNIC,Active,Himachal Pradesh,Mandi,Mandi,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",175036,31.108955,77.177112,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,Not Accredited,No,,Tier 3,http://www.dreamz.ac.in,info@dreamz.ac.in,admissions@dreamz.ac.in,placement@dreamz.ac.in,+91-80-013-1351,Automobile Engineering,Diploma,15,195,2002,Urban,Yes,Yes
1-44640422275,1-44640422275,U-0675,GOVT. POLYTECHNIC SUNDERNAGAR,Active,Himachal Pradesh,Mandi,Mandi,DISTT. MANDI,170335,31.100849,77.154215,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtsundernagar.ac.in,info@govtsundernagar.ac.in,admissions@govtsundernagar.ac.in,placement@govtsundernagar.ac.in,+91-80-673-1269,Civil Engineering,Diploma,40,240,1989,Urban,Yes,Yes
1-44640422275,1-44640422275,U-0675,GOVT. POLYTECHNIC SUNDERNAGAR,Active,Himachal Pradesh,Mandi,Mandi,DISTT. MANDI,170335,31.100849,77.154215,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtsundernagar.ac.in,info@govtsundernagar.ac.in,admissions@govtsundernagar.ac.in,placement@govtsundernagar.ac.in,+91-80-673-1269,Electrical Engineering,Diploma,40,240,1989,Urban,Yes,Yes
1-44640422275,1-44640422275,U-0675,GOVT. POLYTECHNIC SUNDERNAGAR,Active,Himachal Pradesh,Mandi,Mandi,DISTT. MANDI,170335,31.100849,77.154215,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtsundernagar.ac.in,info@govtsundernagar.ac.in,admissions@govtsundernagar.ac.in,placement@govtsundernagar.ac.in,+91-80-673-1269,Mechanical Engineering,Diploma,60,240,1989,Urban,Yes,Yes
1-44640422275,1-44640422275,U-0675,GOVT. POLYTECHNIC SUNDERNAGAR,Active,Himachal Pradesh,Mandi,Mandi,DISTT. MANDI,170335,31.100849,77.154215,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A,No,,Tier 2,http://www.govtsundernagar.ac.in,info@govtsundernagar.ac.in,admissions@govtsundernagar.ac.in,placement@govtsundernagar.ac.in,+91-80-673-1269,Automobile Engineering,Diploma,40,240,1989,Urban,Yes,Yes
