College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638114589,1-44638114589,U-0449,"GOVERNMENT POLYTECHNIC , KOTVAN , MATHURA",Active,Uttar Pradesh,Mathura,Mathura,"KOTVAN , KOSI , MATHURA",201684,27.494408,77.682887,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.kotvanmathura.ac.in,info@kotvanmathura.ac.in,admissions@kotvanmathura.ac.in,placement@kotvanmathura.ac.in,+91-80-923-1034,Chemical Engineering,Diploma,60,180,1997,Urban,Yes,Yes
1-44638114589,1-44638114589,U-0449,"GOVERNMENT POLYTECHNIC , KOTVAN , MATHURA",Active,Uttar Pradesh,Mathura,Mathura,"KOTVAN , KOSI , MATHURA",201684,27.494408,77.682887,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.kotvanmathura.ac.in,info@kotvanmathura.ac.in,admissions@kotvanmathura.ac.in,placement@kotvanmathura.ac.in,+91-80-923-1034,Other Engineering Branches,Diploma,60,180,1997,Urban,Yes,Yes
1-44638114589,1-44638114589,U-0449,"GOVERNMENT POLYTECHNIC , KOTVAN , MATHURA",Active,Uttar Pradesh,Mathura,Mathura,"KOTVAN , KOSI , MATHURA",201684,27.494408,77.682887,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.kotvanmathura.ac.in,info@kotvanmathura.ac.in,admissions@kotvanmathura.ac.in,placement@kotvanmathura.ac.in,+91-80-923-1034,Civil Engineering,Diploma,60,180,1997,Urban,Yes,Yes
1-44638581976,1-44638581976,U-0449,B K POLYTECHNIC,Active,Uttar Pradesh,Mathura,Mathura,"NEEMGAON ROAD, BADHON RAYA, MATHURA",201684,27.488804,77.658438,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.bk.ac.in,info@bk.ac.in,admissions@bk.ac.in,placement@bk.ac.in,+91-80-688-0286,Mechanical Engineering,Diploma,120,300,1982,Rural,Yes,Yes
1-44638581976,1-44638581976,U-0449,B K POLYTECHNIC,Active,Uttar Pradesh,Mathura,Mathura,"NEEMGAON ROAD, BADHON RAYA, MATHURA",201684,27.488804,77.658438,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.bk.ac.in,info@bk.ac.in,admissions@bk.ac.in,placement@bk.ac.in,+91-80-688-0286,Civil Engineering,Diploma,60,300,1982,Rural,Yes,Yes
1-44638581976,1-44638581976,U-0449,B K POLYTECHNIC,Active,Uttar Pradesh,Mathura,Mathura,"NEEMGAON ROAD, BADHON RAYA, MATHURA",201684,27.488804,77.658438,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.bk.ac.in,info@bk.ac.in,admissions@bk.ac.in,placement@bk.ac.in,+91-80-688-0286,Electrical Engineering,Diploma,60,300,1982,Rural,Yes,Yes
1-44638581976,1-44638581976,U-0449,B K POLYTECHNIC,Active,Uttar Pradesh,Mathura,Mathura,"NEEMGAON ROAD, BADHON RAYA, MATHURA",201684,27.488804,77.658438,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.bk.ac.in,info@bk.ac.in,admissions@bk.ac.in,placement@bk.ac.in,+91-80-688-0286,Computer Science Engineering (CSE),Diploma,60,300,1982,Rural,Yes,Yes
1-44638833937,1-44638833937,U-0164,G L BAJAJ GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Mathura,Mathura,"23 KM MILESTONE, NATIONAL HIGHWAY # 2",201684,27.485702,77.674015,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.glbajaj.ac.in,info@glbajaj.ac.in,admissions@glbajaj.ac.in,placement@glbajaj.ac.in,+91-80-557-9138,Computer Science Engineering (CSE),B.Tech,540,780,2009,Urban,Yes,Yes
1-44638833937,1-44638833937,U-0164,G L BAJAJ GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Mathura,Mathura,"23 KM MILESTONE, NATIONAL HIGHWAY # 2",201684,27.485702,77.674015,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.glbajaj.ac.in,info@glbajaj.ac.in,admissions@glbajaj.ac.in,placement@glbajaj.ac.in,+91-80-557-9138,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,240,780,2009,Urban,Yes,Yes
1-44638837162,1-44638837162,U-0086,A.S.M.POLYTECHNIC,Active,Uttar Pradesh,Mathura,Mathura,BSA ENGINEERING COLLEGE ROAD MATHURA (UP),201684,27.475259,77.687836,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,B++,No,,Tier 3,http://www.asmpolytechnic.ac.in,info@asmpolytechnic.ac.in,admissions@asmpolytechnic.ac.in,placement@asmpolytechnic.ac.in,+91-80-119-9322,Electrical Engineering,Diploma,60,300,2014,Urban,No,No
