College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638533314,1-44638533314,U-0449,INDU PRAKASH POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Mau,Mau,"VILL+POST-HALDHARPUR, DISTT- MAU",201200,26.83719,80.930352,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.induprakash.ac.in,info@induprakash.ac.in,admissions@induprakash.ac.in,placement@induprakash.ac.in,+91-80-439-9898,Civil Engineering,Diploma,60,300,2022,Urban,Yes,Yes
1-44638533314,1-44638533314,U-0449,INDU PRAKASH POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Mau,Mau,"VILL+POST-HALDHARPUR, DISTT- MAU",201200,26.83719,80.930352,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.induprakash.ac.in,info@induprakash.ac.in,admissions@induprakash.ac.in,placement@induprakash.ac.in,+91-80-439-9898,Electrical Engineering,Diploma,60,300,2022,Urban,Yes,Yes
1-44638533314,1-44638533314,U-0449,INDU PRAKASH POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Mau,Mau,"VILL+POST-HALDHARPUR, DISTT- MAU",201200,26.83719,80.930352,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.induprakash.ac.in,info@induprakash.ac.in,admissions@induprakash.ac.in,placement@induprakash.ac.in,+91-80-439-9898,Automobile Engineering,Diploma,60,300,2022,Urban,Yes,Yes
1-44638533314,1-44638533314,U-0449,INDU PRAKASH POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Mau,Mau,"VILL+POST-HALDHARPUR, DISTT- MAU",201200,26.83719,80.930352,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.induprakash.ac.in,info@induprakash.ac.in,admissions@induprakash.ac.in,placement@induprakash.ac.in,+91-80-439-9898,Electrical & Electronics Engineering (EEE),Diploma,60,300,2022,Urban,Yes,Yes
1-44638533314,1-44638533314,U-0449,INDU PRAKASH POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Mau,Mau,"VILL+POST-HALDHARPUR, DISTT- MAU",201200,26.83719,80.930352,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.induprakash.ac.in,info@induprakash.ac.in,admissions@induprakash.ac.in,placement@induprakash.ac.in,+91-80-439-9898,Mechanical Engineering,Diploma,60,300,2022,Urban,Yes,Yes
1-44638316482,1-44638316482,U-0705,INDRA MOHAN CHAUHAN MEMORIAL POLYTECHNIC,Active,Uttar Pradesh,Mau,Mau,VILLAGE- TADWA CHAUBEPUR POST- KARHA THANA/TEHSIL- MOHAMMADABAD GOHANA,201200,26.836696,80.959542,Private-Self Financing,"Board of Technical Education, Luknow(UP)",Approved,Approved,B+,No,,Tier 3,http://www.indramohanchauhan.ac.in,info@indramohanchauhan.ac.in,admissions@indramohanchauhan.ac.in,placement@indramohanchauhan.ac.in,+91-80-419-2725,Mechanical Engineering,Diploma,108,270,2014,Rural,Yes,Yes
1-44638316482,1-44638316482,U-0705,INDRA MOHAN CHAUHAN MEMORIAL POLYTECHNIC,Active,Uttar Pradesh,Mau,Mau,VILLAGE- TADWA CHAUBEPUR POST- KARHA THANA/TEHSIL- MOHAMMADABAD GOHANA,201200,26.836696,80.959542,Private-Self Financing,"Board of Technical Education, Luknow(UP)",Approved,Approved,B+,No,,Tier 3,http://www.indramohanchauhan.ac.in,info@indramohanchauhan.ac.in,admissions@indramohanchauhan.ac.in,placement@indramohanchauhan.ac.in,+91-80-419-2725,Civil Engineering,Diploma,54,270,2014,Rural,Yes,Yes
1-44638316482,1-44638316482,U-0705,INDRA MOHAN CHAUHAN MEMORIAL POLYTECHNIC,Active,Uttar Pradesh,Mau,Mau,VILLAGE- TADWA CHAUBEPUR POST- KARHA THANA/TEHSIL- MOHAMMADABAD GOHANA,201200,26.836696,80.959542,Private-Self Financing,"Board of Technical Education, Luknow(UP)",Approved,Approved,B+,No,,Tier 3,http://www.indramohanchauhan.ac.in,info@indramohanchauhan.ac.in,admissions@indramohanchauhan.ac.in,placement@indramohanchauhan.ac.in,+91-80-419-2725,Electrical Engineering,Diploma,108,270,2014,Rural,Yes,Yes
1-44638626345,1-44638626345,U-0449,MAA BHAGAUTA KUNWAR INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Mau,Mau,"VILL- BASTI, TEHSIL- MOHAMMADABAD GOHNA, POST- KHIRIYAN, DISTT- MAU",201200,26.841258,80.951317,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.maabhagautakunwar.ac.in,info@maabhagautakunwar.ac.in,admissions@maabhagautakunwar.ac.in,placement@maabhagautakunwar.ac.in,+91-80-610-6016,Mechanical Engineering,Diploma,90,300,2008,Rural,Yes,Yes
1-44638626345,1-44638626345,U-0449,MAA BHAGAUTA KUNWAR INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Mau,Mau,"VILL- BASTI, TEHSIL- MOHAMMADABAD GOHNA, POST- KHIRIYAN, DISTT- MAU",201200,26.841258,80.951317,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.maabhagautakunwar.ac.in,info@maabhagautakunwar.ac.in,admissions@maabhagautakunwar.ac.in,placement@maabhagautakunwar.ac.in,+91-80-610-6016,Civil Engineering,Diploma,60,300,2008,Rural,Yes,Yes
