College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638148877,1-44638148877,U-0790,AMRAVATI POLYTECHNICH,Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO/PS-RAIRANG PUR,751636,20.953958,85.107189,Private-Self Financing,"Directorate of Technical Education and Training , Cuttack",Approved,Approved,B+,No,,Tier 3,http://www.amravatipolytechnich.ac.in,info@amravatipolytechnich.ac.in,admissions@amravatipolytechnich.ac.in,placement@amravatipolytechnich.ac.in,+91-80-933-5735,Mechanical Engineering,Diploma,120,360,1980,Rural,Yes,Yes
1-44638148877,1-44638148877,U-0790,AMRAVATI POLYTECHNICH,Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO/PS-RAIRANG PUR,751636,20.953958,85.107189,Private-Self Financing,"Directorate of Technical Education and Training , Cuttack",Approved,Approved,B+,No,,Tier 3,http://www.amravatipolytechnich.ac.in,info@amravatipolytechnich.ac.in,admissions@amravatipolytechnich.ac.in,placement@amravatipolytechnich.ac.in,+91-80-933-5735,Electrical Engineering,Diploma,90,360,1980,Rural,Yes,Yes
1-44638148877,1-44638148877,U-0790,AMRAVATI POLYTECHNICH,Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO/PS-RAIRANG PUR,751636,20.953958,85.107189,Private-Self Financing,"Directorate of Technical Education and Training , Cuttack",Approved,Approved,B+,No,,Tier 3,http://www.amravatipolytechnich.ac.in,info@amravatipolytechnich.ac.in,admissions@amravatipolytechnich.ac.in,placement@amravatipolytechnich.ac.in,+91-80-933-5735,Civil Engineering,Diploma,60,360,1980,Rural,Yes,Yes
1-44638148877,1-44638148877,U-0790,AMRAVATI POLYTECHNICH,Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO/PS-RAIRANG PUR,751636,20.953958,85.107189,Private-Self Financing,"Directorate of Technical Education and Training , Cuttack",Approved,Approved,B+,No,,Tier 3,http://www.amravatipolytechnich.ac.in,info@amravatipolytechnich.ac.in,admissions@amravatipolytechnich.ac.in,placement@amravatipolytechnich.ac.in,+91-80-933-5735,Electronics & Communication Engineering (ECE),Diploma,30,360,1980,Rural,Yes,Yes
1-44638148877,1-44638148877,U-0790,AMRAVATI POLYTECHNICH,Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO/PS-RAIRANG PUR,751636,20.953958,85.107189,Private-Self Financing,"Directorate of Technical Education and Training , Cuttack",Approved,Approved,B+,No,,Tier 3,http://www.amravatipolytechnich.ac.in,info@amravatipolytechnich.ac.in,admissions@amravatipolytechnich.ac.in,placement@amravatipolytechnich.ac.in,+91-80-933-5735,Computer Science Engineering (CSE),Diploma,60,360,1980,Rural,Yes,Yes
1-44638595296,1-44638595296,U-0072,SAKUNTALA SUDARSHAN INSTITUTE OF TECHNOLGY(POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- KALAKAD, PO- PATBIL, VIA- KARANJIA, DIST- MAYURBHANJ, ODISHA, 757037",757037,20.969504,85.088406,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.sakuntalasudarshantechnolgypolytechnic.ac.in,info@sakuntalasudarshantechnolgypolytechnic.ac.in,admissions@sakuntalasudarshantechnolgypolytechnic.ac.in,placement@sakuntalasudarshantechnolgypolytechnic.ac.in,+91-80-585-5935,Electrical Engineering,Diploma,180,420,1981,Urban,Yes,Yes
1-44638595296,1-44638595296,U-0072,SAKUNTALA SUDARSHAN INSTITUTE OF TECHNOLGY(POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- KALAKAD, PO- PATBIL, VIA- KARANJIA, DIST- MAYURBHANJ, ODISHA, 757037",757037,20.969504,85.088406,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.sakuntalasudarshantechnolgypolytechnic.ac.in,info@sakuntalasudarshantechnolgypolytechnic.ac.in,admissions@sakuntalasudarshantechnolgypolytechnic.ac.in,placement@sakuntalasudarshantechnolgypolytechnic.ac.in,+91-80-585-5935,Mechanical Engineering,Diploma,180,420,1981,Urban,Yes,Yes
1-44638595296,1-44638595296,U-0072,SAKUNTALA SUDARSHAN INSTITUTE OF TECHNOLGY(POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- KALAKAD, PO- PATBIL, VIA- KARANJIA, DIST- MAYURBHANJ, ODISHA, 757037",757037,20.969504,85.088406,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A,No,,Tier 3,http://www.sakuntalasudarshantechnolgypolytechnic.ac.in,info@sakuntalasudarshantechnolgypolytechnic.ac.in,admissions@sakuntalasudarshantechnolgypolytechnic.ac.in,placement@sakuntalasudarshantechnolgypolytechnic.ac.in,+91-80-585-5935,Civil Engineering,Diploma,60,420,1981,Urban,Yes,Yes
1-44639498700,1-44639498700,U-0072,DIVINE INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"PODA ASTIA, BARIPADA",751636,20.969675,85.079831,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.divine.ac.in,info@divine.ac.in,admissions@divine.ac.in,placement@divine.ac.in,+91-80-592-7816,Mechanical Engineering,Diploma,120,360,1998,Rural,Yes,Yes
1-44639498700,1-44639498700,U-0072,DIVINE INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"PODA ASTIA, BARIPADA",751636,20.969675,85.079831,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.divine.ac.in,info@divine.ac.in,admissions@divine.ac.in,placement@divine.ac.in,+91-80-592-7816,Civil Engineering,Diploma,60,360,1998,Rural,Yes,Yes
1-44639498700,1-44639498700,U-0072,DIVINE INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"PODA ASTIA, BARIPADA",751636,20.969675,85.079831,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.divine.ac.in,info@divine.ac.in,admissions@divine.ac.in,placement@divine.ac.in,+91-80-592-7816,Electrical Engineering,Diploma,120,360,1998,Rural,Yes,Yes
1-44639498700,1-44639498700,U-0072,DIVINE INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,"PODA ASTIA, BARIPADA",751636,20.969675,85.079831,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.divine.ac.in,info@divine.ac.in,admissions@divine.ac.in,placement@divine.ac.in,+91-80-592-7816,Computer Science Engineering (CSE),Diploma,60,360,1998,Rural,Yes,Yes
1-44639681997,1-44639681997,U-0072,"GOVERNMENT POLYTECHNIC, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,AT- TIKAR PADA PO- PODA ASTIA,751636,20.94806,85.085078,Government,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.mayurbhanj.ac.in,info@mayurbhanj.ac.in,admissions@mayurbhanj.ac.in,placement@mayurbhanj.ac.in,+91-80-686-1610,Civil Engineering,Diploma,60,270,2021,Rural,No,Yes
1-44639681997,1-44639681997,U-0072,"GOVERNMENT POLYTECHNIC, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,AT- TIKAR PADA PO- PODA ASTIA,751636,20.94806,85.085078,Government,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.mayurbhanj.ac.in,info@mayurbhanj.ac.in,admissions@mayurbhanj.ac.in,placement@mayurbhanj.ac.in,+91-80-686-1610,Electrical Engineering,Diploma,60,270,2021,Rural,No,Yes
1-44639681997,1-44639681997,U-0072,"GOVERNMENT POLYTECHNIC, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,AT- TIKAR PADA PO- PODA ASTIA,751636,20.94806,85.085078,Government,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.mayurbhanj.ac.in,info@mayurbhanj.ac.in,admissions@mayurbhanj.ac.in,placement@mayurbhanj.ac.in,+91-80-686-1610,Mechanical Engineering,Diploma,90,270,2021,Rural,No,Yes
1-44639681997,1-44639681997,U-0072,"GOVERNMENT POLYTECHNIC, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,AT- TIKAR PADA PO- PODA ASTIA,751636,20.94806,85.085078,Government,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.mayurbhanj.ac.in,info@mayurbhanj.ac.in,admissions@mayurbhanj.ac.in,placement@mayurbhanj.ac.in,+91-80-686-1610,Other Engineering Branches,Diploma,60,270,2021,Rural,No,Yes
1-44640218896,1-44640218896,U-0949,SSB REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO:-CHITRADA VIA:-CHITRADA DIST:-MAYURBHANJ PIN:-757018,757018,20.96953,85.114971,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.ssbregionalscience.ac.in,info@ssbregionalscience.ac.in,admissions@ssbregionalscience.ac.in,placement@ssbregionalscience.ac.in,+91-80-586-6857,Electrical Engineering,Diploma,120,480,1983,Urban,Yes,Yes
1-44640218896,1-44640218896,U-0949,SSB REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO:-CHITRADA VIA:-CHITRADA DIST:-MAYURBHANJ PIN:-757018,757018,20.96953,85.114971,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.ssbregionalscience.ac.in,info@ssbregionalscience.ac.in,admissions@ssbregionalscience.ac.in,placement@ssbregionalscience.ac.in,+91-80-586-6857,Civil Engineering,Diploma,60,480,1983,Urban,Yes,Yes
1-44640218896,1-44640218896,U-0949,SSB REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO:-CHITRADA VIA:-CHITRADA DIST:-MAYURBHANJ PIN:-757018,757018,20.96953,85.114971,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.ssbregionalscience.ac.in,info@ssbregionalscience.ac.in,admissions@ssbregionalscience.ac.in,placement@ssbregionalscience.ac.in,+91-80-586-6857,Electronics & Communication Engineering (ECE),Diploma,60,480,1983,Urban,Yes,Yes
1-44640218896,1-44640218896,U-0949,SSB REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO:-CHITRADA VIA:-CHITRADA DIST:-MAYURBHANJ PIN:-757018,757018,20.96953,85.114971,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.ssbregionalscience.ac.in,info@ssbregionalscience.ac.in,admissions@ssbregionalscience.ac.in,placement@ssbregionalscience.ac.in,+91-80-586-6857,Mechanical Engineering,Diploma,180,480,1983,Urban,Yes,Yes
1-44640218896,1-44640218896,U-0949,SSB REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Mayurbhanj,Mayurbhanj,AT/PO:-CHITRADA VIA:-CHITRADA DIST:-MAYURBHANJ PIN:-757018,757018,20.96953,85.114971,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.ssbregionalscience.ac.in,info@ssbregionalscience.ac.in,admissions@ssbregionalscience.ac.in,placement@ssbregionalscience.ac.in,+91-80-586-6857,Computer Science Engineering (CSE),Diploma,60,480,1983,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Electronics & Communication Engineering (ECE),B.Tech,60,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Computer Science Engineering (CSE),B.Tech,60,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Electrical Engineering,B.Tech,60,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Mechanical Engineering,B.Tech,120,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Civil Engineering,B.Tech,60,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Electrical Engineering,M.Tech,18,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Mechanical Engineering,M.Tech,18,606,2006,Urban,Yes,Yes
1-44640231688,1-44640231688,U-0665,"SEEMANTA ENGINEERING COLLEGE, MAYURBHANJ",Active,Odisha,Mayurbhanj,Mayurbhanj,"AT- MAYURVIHAR, VILLAGE- JAUNTI, PO.-JHARPOKHARIA, MAYURBHANJ, PIN-757086.",757086,20.955475,85.099468,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,B,No,,Tier 3,http://www.seemantamayurbhanj.ac.in,info@seemantamayurbhanj.ac.in,admissions@seemantamayurbhanj.ac.in,placement@seemantamayurbhanj.ac.in,+91-80-997-1846,Electrical & Electronics Engineering (EEE),B.Tech,30,606,2006,Urban,Yes,Yes
