College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638405686,1-44638405686,U-0164,MEERUT INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Meerut,Meerut,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",250103,28.977367,77.717405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.meerut.ac.in,info@meerut.ac.in,admissions@meerut.ac.in,placement@meerut.ac.in,+91-80-539-6934,Computer Science Engineering (CSE),B.Tech,300,570,2007,Rural,Yes,Yes
1-44638405686,1-44638405686,U-0164,MEERUT INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Meerut,Meerut,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",250103,28.977367,77.717405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.meerut.ac.in,info@meerut.ac.in,admissions@meerut.ac.in,placement@meerut.ac.in,+91-80-539-6934,Electronics & Communication Engineering (ECE),B.Tech,30,570,2007,Rural,Yes,Yes
1-44638405686,1-44638405686,U-0164,MEERUT INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Meerut,Meerut,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",250103,28.977367,77.717405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.meerut.ac.in,info@meerut.ac.in,admissions@meerut.ac.in,placement@meerut.ac.in,+91-80-539-6934,Mechanical Engineering,B.Tech,30,570,2007,Rural,Yes,Yes
1-44638405686,1-44638405686,U-0164,MEERUT INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Meerut,Meerut,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",250103,28.977367,77.717405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.meerut.ac.in,info@meerut.ac.in,admissions@meerut.ac.in,placement@meerut.ac.in,+91-80-539-6934,Civil Engineering,B.Tech,30,570,2007,Rural,Yes,Yes
1-44638405686,1-44638405686,U-0164,MEERUT INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Meerut,Meerut,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",250103,28.977367,77.717405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.meerut.ac.in,info@meerut.ac.in,admissions@meerut.ac.in,placement@meerut.ac.in,+91-80-539-6934,Data Science,B.Tech,60,570,2007,Rural,Yes,Yes
1-44638405686,1-44638405686,U-0164,MEERUT INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Meerut,Meerut,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",250103,28.977367,77.717405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.meerut.ac.in,info@meerut.ac.in,admissions@meerut.ac.in,placement@meerut.ac.in,+91-80-539-6934,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,570,2007,Rural,Yes,Yes
1-44638384553,1-44638384553,U-0164,RADHA GOVIND GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Meerut,Meerut,"ANUYOGIPURAM, GARH ROAD",201568,28.995464,77.713016,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.radhagovind.ac.in,info@radhagovind.ac.in,admissions@radhagovind.ac.in,placement@radhagovind.ac.in,+91-80-298-7050,Electronics & Communication Engineering (ECE),B.Tech,15,162,2011,Rural,No,No
1-44638384553,1-44638384553,U-0164,RADHA GOVIND GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Meerut,Meerut,"ANUYOGIPURAM, GARH ROAD",201568,28.995464,77.713016,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.radhagovind.ac.in,info@radhagovind.ac.in,admissions@radhagovind.ac.in,placement@radhagovind.ac.in,+91-80-298-7050,Mechanical Engineering,B.Tech,15,162,2011,Rural,No,No
1-44638384553,1-44638384553,U-0164,RADHA GOVIND GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Meerut,Meerut,"ANUYOGIPURAM, GARH ROAD",201568,28.995464,77.713016,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.radhagovind.ac.in,info@radhagovind.ac.in,admissions@radhagovind.ac.in,placement@radhagovind.ac.in,+91-80-298-7050,Electrical Engineering,B.Tech,30,162,2011,Rural,No,No
1-44638384553,1-44638384553,U-0164,RADHA GOVIND GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Meerut,Meerut,"ANUYOGIPURAM, GARH ROAD",201568,28.995464,77.713016,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.radhagovind.ac.in,info@radhagovind.ac.in,admissions@radhagovind.ac.in,placement@radhagovind.ac.in,+91-80-298-7050,Computer Science Engineering (CSE),M.Tech,9,162,2011,Rural,No,No
1-44638384553,1-44638384553,U-0164,RADHA GOVIND GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Meerut,Meerut,"ANUYOGIPURAM, GARH ROAD",201568,28.995464,77.713016,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.radhagovind.ac.in,info@radhagovind.ac.in,admissions@radhagovind.ac.in,placement@radhagovind.ac.in,+91-80-298-7050,Civil Engineering,M.Tech,18,162,2011,Rural,No,No
