College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638339730,1-44638339730,U-0400,VIDUSH SOMANY INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Gujarat,Mehsana,Mehsana,"SARVA VIDYALAYA CAMPUS, BEHIND RAILWAY STATION, KADI",380957,23.605916,72.36564,Private-Self Financing,"Kadi Sarva Vishwavidyalaya, Gandhinagar",Approved,Approved,B,Yes,,Tier 3,http://www.vidushsomanyresearch.ac.in,info@vidushsomanyresearch.ac.in,admissions@vidushsomanyresearch.ac.in,placement@vidushsomanyresearch.ac.in,+91-80-590-2824,Information Technology (IT),B.Tech,60,180,1992,Urban,Yes,Yes
1-44638339730,1-44638339730,U-0400,VIDUSH SOMANY INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Gujarat,Mehsana,Mehsana,"SARVA VIDYALAYA CAMPUS, BEHIND RAILWAY STATION, KADI",380957,23.605916,72.36564,Private-Self Financing,"Kadi Sarva Vishwavidyalaya, Gandhinagar",Approved,Approved,B,Yes,,Tier 3,http://www.vidushsomanyresearch.ac.in,info@vidushsomanyresearch.ac.in,admissions@vidushsomanyresearch.ac.in,placement@vidushsomanyresearch.ac.in,+91-80-590-2824,Computer Science Engineering (CSE),B.Tech,120,180,1992,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Mechanical Engineering,B.Tech,150,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Civil Engineering,B.Tech,120,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Electrical Engineering,B.Tech,60,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Computer Science Engineering (CSE),B.Tech,30,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Mechanical Engineering,Diploma,60,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Electrical Engineering,Diploma,60,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Automobile Engineering,B.Tech,30,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Civil Engineering,Diploma,60,666,2011,Urban,Yes,Yes
1-44638734913,1-44638734913,U-0183,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",Active,Gujarat,Mehsana,Mehsana,AT. & PO. VADASMA,380957,23.599379,72.365147,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrisatsangisaketdham.ac.in,info@shrisatsangisaketdham.ac.in,admissions@shrisatsangisaketdham.ac.in,placement@shrisatsangisaketdham.ac.in,+91-80-316-1061,Automobile Engineering,Diploma,60,666,2011,Urban,Yes,Yes
