College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638558138,1-44638558138,U-0843,GOVERNMENT POLYTECHNIC MALAB,Active,Haryana,Mewat,Mewat,VPO MALAB TEHSIL NUH       DISTIC  MEWAT 122107,122107,29.068834,76.103307,Government,"Department of Technical Education, Panchkula",Approved,Approved,A,No,,Tier 2,http://www.malab.ac.in,info@malab.ac.in,admissions@malab.ac.in,placement@malab.ac.in,+91-80-259-7233,Automobile Engineering,Diploma,60,300,2002,Urban,Yes,Yes
1-44638558138,1-44638558138,U-0843,GOVERNMENT POLYTECHNIC MALAB,Active,Haryana,Mewat,Mewat,VPO MALAB TEHSIL NUH       DISTIC  MEWAT 122107,122107,29.068834,76.103307,Government,"Department of Technical Education, Panchkula",Approved,Approved,A,No,,Tier 2,http://www.malab.ac.in,info@malab.ac.in,admissions@malab.ac.in,placement@malab.ac.in,+91-80-259-7233,Computer Science Engineering (CSE),Diploma,60,300,2002,Urban,Yes,Yes
1-44638558138,1-44638558138,U-0843,GOVERNMENT POLYTECHNIC MALAB,Active,Haryana,Mewat,Mewat,VPO MALAB TEHSIL NUH       DISTIC  MEWAT 122107,122107,29.068834,76.103307,Government,"Department of Technical Education, Panchkula",Approved,Approved,A,No,,Tier 2,http://www.malab.ac.in,info@malab.ac.in,admissions@malab.ac.in,placement@malab.ac.in,+91-80-259-7233,Mechanical Engineering,Diploma,120,300,2002,Urban,Yes,Yes
1-44638558138,1-44638558138,U-0843,GOVERNMENT POLYTECHNIC MALAB,Active,Haryana,Mewat,Mewat,VPO MALAB TEHSIL NUH       DISTIC  MEWAT 122107,122107,29.068834,76.103307,Government,"Department of Technical Education, Panchkula",Approved,Approved,A,No,,Tier 2,http://www.malab.ac.in,info@malab.ac.in,admissions@malab.ac.in,placement@malab.ac.in,+91-80-259-7233,Civil Engineering,Diploma,60,300,2002,Urban,Yes,Yes
1-44638302441,1-44638302441,U-0717,GOVERNMENT POLYTECHNIC INDARI,Active,Haryana,Mewat,Mewat,INDRI MEWAT,120052,29.050594,76.068239,Government,DEPT OF TECHNICAL EDUCATION,Approved,Approved,A+,Yes,,Tier 2,http://www.indari.ac.in,info@indari.ac.in,admissions@indari.ac.in,placement@indari.ac.in,+91-80-494-6704,Civil Engineering,Diploma,60,300,1983,Rural,Yes,Yes
1-44638302441,1-44638302441,U-0717,GOVERNMENT POLYTECHNIC INDARI,Active,Haryana,Mewat,Mewat,INDRI MEWAT,120052,29.050594,76.068239,Government,DEPT OF TECHNICAL EDUCATION,Approved,Approved,A+,Yes,,Tier 2,http://www.indari.ac.in,info@indari.ac.in,admissions@indari.ac.in,placement@indari.ac.in,+91-80-494-6704,Electrical Engineering,Diploma,60,300,1983,Rural,Yes,Yes
1-44638302441,1-44638302441,U-0717,GOVERNMENT POLYTECHNIC INDARI,Active,Haryana,Mewat,Mewat,INDRI MEWAT,120052,29.050594,76.068239,Government,DEPT OF TECHNICAL EDUCATION,Approved,Approved,A+,Yes,,Tier 2,http://www.indari.ac.in,info@indari.ac.in,admissions@indari.ac.in,placement@indari.ac.in,+91-80-494-6704,Computer Science Engineering (CSE),Diploma,60,300,1983,Rural,Yes,Yes
1-44638302441,1-44638302441,U-0717,GOVERNMENT POLYTECHNIC INDARI,Active,Haryana,Mewat,Mewat,INDRI MEWAT,120052,29.050594,76.068239,Government,DEPT OF TECHNICAL EDUCATION,Approved,Approved,A+,Yes,,Tier 2,http://www.indari.ac.in,info@indari.ac.in,admissions@indari.ac.in,placement@indari.ac.in,+91-80-494-6704,Other Engineering Branches,Diploma,60,300,1983,Rural,Yes,Yes
1-44638302441,1-44638302441,U-0717,GOVERNMENT POLYTECHNIC INDARI,Active,Haryana,Mewat,Mewat,INDRI MEWAT,120052,29.050594,76.068239,Government,DEPT OF TECHNICAL EDUCATION,Approved,Approved,A+,Yes,,Tier 2,http://www.indari.ac.in,info@indari.ac.in,admissions@indari.ac.in,placement@indari.ac.in,+91-80-494-6704,Mechanical Engineering,Diploma,60,300,1983,Rural,Yes,Yes
1-44639492327,1-44639492327,U-0294,MODISH INSTITUTE OF POLYTECHNIC,Active,Haryana,Mewat,Mewat,VILLAGE GHEERA,120052,29.061217,76.06691,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.modish.ac.in,info@modish.ac.in,admissions@modish.ac.in,placement@modish.ac.in,+91-80-940-2376,Civil Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44639492327,1-44639492327,U-0294,MODISH INSTITUTE OF POLYTECHNIC,Active,Haryana,Mewat,Mewat,VILLAGE GHEERA,120052,29.061217,76.06691,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.modish.ac.in,info@modish.ac.in,admissions@modish.ac.in,placement@modish.ac.in,+91-80-940-2376,Electrical Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44639492327,1-44639492327,U-0294,MODISH INSTITUTE OF POLYTECHNIC,Active,Haryana,Mewat,Mewat,VILLAGE GHEERA,120052,29.061217,76.06691,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.modish.ac.in,info@modish.ac.in,admissions@modish.ac.in,placement@modish.ac.in,+91-80-940-2376,Mechanical Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44639492327,1-44639492327,U-0294,MODISH INSTITUTE OF POLYTECHNIC,Active,Haryana,Mewat,Mewat,VILLAGE GHEERA,120052,29.061217,76.06691,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.modish.ac.in,info@modish.ac.in,admissions@modish.ac.in,placement@modish.ac.in,+91-80-940-2376,Other Engineering Branches,Diploma,120,300,1996,Urban,Yes,Yes
1-44640991138,1-44640991138,U-0157,MEWAT ENGINEERING COLLEGE (WAQF),Active,Haryana,Mewat,Mewat,VILLAGE PALLA TEHSIL NUH DISTRICT MEWAT,120052,29.048625,76.092666,Govt aided,"Gurugram University, Gurugram, Haryana",Approved,Approved,B+,No,,Tier 3,http://www.mewatwaqf.ac.in,info@mewatwaqf.ac.in,admissions@mewatwaqf.ac.in,placement@mewatwaqf.ac.in,+91-80-412-1005,Computer Science Engineering (CSE),B.Tech,60,270,1997,Rural,Yes,Yes
