College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638615416,1-44638615416,U-0739,SFC INSTITUTE OF PHARMACY,Active,Punjab,Moga,Moga,"VPO, JALABAD EAST, DHARAMKOT, DISTT. MOGA (PB.)",140131,31.14184,75.345007,Private-Self Financing,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B++,Yes,,Tier 3,http://www.sfcpharmacy.ac.in,info@sfcpharmacy.ac.in,admissions@sfcpharmacy.ac.in,placement@sfcpharmacy.ac.in,+91-80-618-2552,Other Engineering Branches,Diploma,60,300,1984,Urban,Yes,Yes
1-44638615416,1-44638615416,U-0739,SFC INSTITUTE OF PHARMACY,Active,Punjab,Moga,Moga,"VPO, JALABAD EAST, DHARAMKOT, DISTT. MOGA (PB.)",140131,31.14184,75.345007,Private-Self Financing,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B++,Yes,,Tier 3,http://www.sfcpharmacy.ac.in,info@sfcpharmacy.ac.in,admissions@sfcpharmacy.ac.in,placement@sfcpharmacy.ac.in,+91-80-618-2552,Electrical Engineering,Diploma,60,300,1984,Urban,Yes,Yes
1-44638615416,1-44638615416,U-0739,SFC INSTITUTE OF PHARMACY,Active,Punjab,Moga,Moga,"VPO, JALABAD EAST, DHARAMKOT, DISTT. MOGA (PB.)",140131,31.14184,75.345007,Private-Self Financing,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B++,Yes,,Tier 3,http://www.sfcpharmacy.ac.in,info@sfcpharmacy.ac.in,admissions@sfcpharmacy.ac.in,placement@sfcpharmacy.ac.in,+91-80-618-2552,Computer Science Engineering (CSE),Diploma,60,300,1984,Urban,Yes,Yes
1-44638615416,1-44638615416,U-0739,SFC INSTITUTE OF PHARMACY,Active,Punjab,Moga,Moga,"VPO, JALABAD EAST, DHARAMKOT, DISTT. MOGA (PB.)",140131,31.14184,75.345007,Private-Self Financing,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B++,Yes,,Tier 3,http://www.sfcpharmacy.ac.in,info@sfcpharmacy.ac.in,admissions@sfcpharmacy.ac.in,placement@sfcpharmacy.ac.in,+91-80-618-2552,Mechanical Engineering,Diploma,60,300,1984,Urban,Yes,Yes
1-44638615416,1-44638615416,U-0739,SFC INSTITUTE OF PHARMACY,Active,Punjab,Moga,Moga,"VPO, JALABAD EAST, DHARAMKOT, DISTT. MOGA (PB.)",140131,31.14184,75.345007,Private-Self Financing,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B++,Yes,,Tier 3,http://www.sfcpharmacy.ac.in,info@sfcpharmacy.ac.in,admissions@sfcpharmacy.ac.in,placement@sfcpharmacy.ac.in,+91-80-618-2552,Civil Engineering,Diploma,60,300,1984,Urban,Yes,Yes
1-44639971225,1-44639971225,U-0150,"GOVT. POLYTECHNIC COLLEGE G.T.B. GARH, DISTT. MOGA",Active,Punjab,Moga,Moga,"GOVT. POLYTECHNIC COOEGE G.T.B. GARH DISTT. MOGA , PUNJAB",140131,31.141124,75.341817,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtgtbgarh.ac.in,info@govtgtbgarh.ac.in,admissions@govtgtbgarh.ac.in,placement@govtgtbgarh.ac.in,+91-80-588-1987,Civil Engineering,Diploma,40,280,1997,Urban,Yes,Yes
1-44639971225,1-44639971225,U-0150,"GOVT. POLYTECHNIC COLLEGE G.T.B. GARH, DISTT. MOGA",Active,Punjab,Moga,Moga,"GOVT. POLYTECHNIC COOEGE G.T.B. GARH DISTT. MOGA , PUNJAB",140131,31.141124,75.341817,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtgtbgarh.ac.in,info@govtgtbgarh.ac.in,admissions@govtgtbgarh.ac.in,placement@govtgtbgarh.ac.in,+91-80-588-1987,Chemical Engineering,Diploma,30,280,1997,Urban,Yes,Yes
1-44639971225,1-44639971225,U-0150,"GOVT. POLYTECHNIC COLLEGE G.T.B. GARH, DISTT. MOGA",Active,Punjab,Moga,Moga,"GOVT. POLYTECHNIC COOEGE G.T.B. GARH DISTT. MOGA , PUNJAB",140131,31.141124,75.341817,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtgtbgarh.ac.in,info@govtgtbgarh.ac.in,admissions@govtgtbgarh.ac.in,placement@govtgtbgarh.ac.in,+91-80-588-1987,Electrical Engineering,Diploma,60,280,1997,Urban,Yes,Yes
1-44639971225,1-44639971225,U-0150,"GOVT. POLYTECHNIC COLLEGE G.T.B. GARH, DISTT. MOGA",Active,Punjab,Moga,Moga,"GOVT. POLYTECHNIC COOEGE G.T.B. GARH DISTT. MOGA , PUNJAB",140131,31.141124,75.341817,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtgtbgarh.ac.in,info@govtgtbgarh.ac.in,admissions@govtgtbgarh.ac.in,placement@govtgtbgarh.ac.in,+91-80-588-1987,Mechanical Engineering,Diploma,60,280,1997,Urban,Yes,Yes
1-44639971225,1-44639971225,U-0150,"GOVT. POLYTECHNIC COLLEGE G.T.B. GARH, DISTT. MOGA",Active,Punjab,Moga,Moga,"GOVT. POLYTECHNIC COOEGE G.T.B. GARH DISTT. MOGA , PUNJAB",140131,31.141124,75.341817,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtgtbgarh.ac.in,info@govtgtbgarh.ac.in,admissions@govtgtbgarh.ac.in,placement@govtgtbgarh.ac.in,+91-80-588-1987,Computer Science Engineering (CSE),Diploma,60,280,1997,Urban,Yes,Yes
1-44639971225,1-44639971225,U-0150,"GOVT. POLYTECHNIC COLLEGE G.T.B. GARH, DISTT. MOGA",Active,Punjab,Moga,Moga,"GOVT. POLYTECHNIC COOEGE G.T.B. GARH DISTT. MOGA , PUNJAB",140131,31.141124,75.341817,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtgtbgarh.ac.in,info@govtgtbgarh.ac.in,admissions@govtgtbgarh.ac.in,placement@govtgtbgarh.ac.in,+91-80-588-1987,Electronics & Communication Engineering (ECE),Diploma,30,280,1997,Urban,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Mechanical Engineering,Diploma,240,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Computer Science Engineering (CSE),Diploma,120,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Information Technology (IT),Diploma,30,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Automobile Engineering,Diploma,150,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Electronics & Communication Engineering (ECE),Diploma,30,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Civil Engineering,Diploma,120,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Electrical Engineering,Diploma,120,870,1992,Rural,Yes,Yes
1-44640168003,1-44640168003,U-0150,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V.P.O. AJITWAL(MOGA),140131,31.136881,75.356384,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-410-2625,Other Engineering Branches,Diploma,60,870,1992,Rural,Yes,Yes
1-44639493848,1-44639493848,U-0150,BABA ISHER SINGH POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,DHARAMKOT ROAD,140131,31.161279,75.328273,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babaishersingh.ac.in,info@babaishersingh.ac.in,admissions@babaishersingh.ac.in,placement@babaishersingh.ac.in,+91-80-433-5533,Civil Engineering,Diploma,60,270,1996,Urban,Yes,Yes
1-44639493848,1-44639493848,U-0150,BABA ISHER SINGH POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,DHARAMKOT ROAD,140131,31.161279,75.328273,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babaishersingh.ac.in,info@babaishersingh.ac.in,admissions@babaishersingh.ac.in,placement@babaishersingh.ac.in,+91-80-433-5533,Electrical Engineering,Diploma,60,270,1996,Urban,Yes,Yes
1-44639493848,1-44639493848,U-0150,BABA ISHER SINGH POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,DHARAMKOT ROAD,140131,31.161279,75.328273,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babaishersingh.ac.in,info@babaishersingh.ac.in,admissions@babaishersingh.ac.in,placement@babaishersingh.ac.in,+91-80-433-5533,Computer Science Engineering (CSE),Diploma,60,270,1996,Urban,Yes,Yes
1-44639493848,1-44639493848,U-0150,BABA ISHER SINGH POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,DHARAMKOT ROAD,140131,31.161279,75.328273,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babaishersingh.ac.in,info@babaishersingh.ac.in,admissions@babaishersingh.ac.in,placement@babaishersingh.ac.in,+91-80-433-5533,Mechanical Engineering,Diploma,60,270,1996,Urban,Yes,Yes
1-44639493848,1-44639493848,U-0150,BABA ISHER SINGH POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,DHARAMKOT ROAD,140131,31.161279,75.328273,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babaishersingh.ac.in,info@babaishersingh.ac.in,admissions@babaishersingh.ac.in,placement@babaishersingh.ac.in,+91-80-433-5533,Other Engineering Branches,Diploma,30,270,1996,Urban,Yes,Yes
1-44640850300,1-44640850300,U-0150,M L MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V P O KILLI CHAHAL MOGA,140131,31.161996,75.335326,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.mlmemorial.ac.in,info@mlmemorial.ac.in,admissions@mlmemorial.ac.in,placement@mlmemorial.ac.in,+91-80-463-6122,Automobile Engineering,Diploma,60,540,1984,Urban,Yes,Yes
1-44640850300,1-44640850300,U-0150,M L MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V P O KILLI CHAHAL MOGA,140131,31.161996,75.335326,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.mlmemorial.ac.in,info@mlmemorial.ac.in,admissions@mlmemorial.ac.in,placement@mlmemorial.ac.in,+91-80-463-6122,Civil Engineering,Diploma,120,540,1984,Urban,Yes,Yes
1-44640850300,1-44640850300,U-0150,M L MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V P O KILLI CHAHAL MOGA,140131,31.161996,75.335326,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.mlmemorial.ac.in,info@mlmemorial.ac.in,admissions@mlmemorial.ac.in,placement@mlmemorial.ac.in,+91-80-463-6122,Mechanical Engineering,Diploma,180,540,1984,Urban,Yes,Yes
1-44640850300,1-44640850300,U-0150,M L MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V P O KILLI CHAHAL MOGA,140131,31.161996,75.335326,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.mlmemorial.ac.in,info@mlmemorial.ac.in,admissions@mlmemorial.ac.in,placement@mlmemorial.ac.in,+91-80-463-6122,Electrical Engineering,Diploma,60,540,1984,Urban,Yes,Yes
1-44640850300,1-44640850300,U-0150,M L MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V P O KILLI CHAHAL MOGA,140131,31.161996,75.335326,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.mlmemorial.ac.in,info@mlmemorial.ac.in,admissions@mlmemorial.ac.in,placement@mlmemorial.ac.in,+91-80-463-6122,Electronics & Communication Engineering (ECE),Diploma,30,540,1984,Urban,Yes,Yes
1-44640850300,1-44640850300,U-0150,M L MEMORIAL POLYTECHNIC COLLEGE,Active,Punjab,Moga,Moga,V P O KILLI CHAHAL MOGA,140131,31.161996,75.335326,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.mlmemorial.ac.in,info@mlmemorial.ac.in,admissions@mlmemorial.ac.in,placement@mlmemorial.ac.in,+91-80-463-6122,Computer Science Engineering (CSE),Diploma,90,540,1984,Urban,Yes,Yes
1-44642230840,1-44642230840,U-0739,"LALA LAJPAT RAI COLLEGE OF PHARMACY, MOGA",Active,Punjab,Moga,Moga,"MOGA-FEROZEPUR G.T ROAD, NEAR P.S SADAR, MOGA.",140131,31.147744,75.331859,Private-Self Financing,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B,Yes,,Tier 3,http://www.lalalajpatrai.ac.in,info@lalalajpatrai.ac.in,admissions@lalalajpatrai.ac.in,placement@lalalajpatrai.ac.in,+91-80-865-8500,Other Engineering Branches,Diploma,60,60,1986,Urban,Yes,Yes
