College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639746884,1-44639746884,U-0724,CGC  COLLEGE OF ENGINEERING,Active,Punjab,Mohali,Mohali,"V.P.O. LANDRAN, DISTT. MOHALI.",140846,31.154262,75.335747,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cgc.ac.in,info@cgc.ac.in,admissions@cgc.ac.in,placement@cgc.ac.in,+91-80-139-2349,Computer Science Engineering (CSE),B.Tech,480,618,2009,Urban,Yes,Yes
1-44639746884,1-44639746884,U-0724,CGC  COLLEGE OF ENGINEERING,Active,Punjab,Mohali,Mohali,"V.P.O. LANDRAN, DISTT. MOHALI.",140846,31.154262,75.335747,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cgc.ac.in,info@cgc.ac.in,admissions@cgc.ac.in,placement@cgc.ac.in,+91-80-139-2349,Computer Science Engineering (CSE),M.Tech,9,618,2009,Urban,Yes,Yes
1-44639746884,1-44639746884,U-0724,CGC  COLLEGE OF ENGINEERING,Active,Punjab,Mohali,Mohali,"V.P.O. LANDRAN, DISTT. MOHALI.",140846,31.154262,75.335747,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cgc.ac.in,info@cgc.ac.in,admissions@cgc.ac.in,placement@cgc.ac.in,+91-80-139-2349,Electronics & Communication Engineering (ECE),M.Tech,9,618,2009,Urban,Yes,Yes
1-44639746884,1-44639746884,U-0724,CGC  COLLEGE OF ENGINEERING,Active,Punjab,Mohali,Mohali,"V.P.O. LANDRAN, DISTT. MOHALI.",140846,31.154262,75.335747,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cgc.ac.in,info@cgc.ac.in,admissions@cgc.ac.in,placement@cgc.ac.in,+91-80-139-2349,Data Science,B.Tech,60,618,2009,Urban,Yes,Yes
1-44639746884,1-44639746884,U-0724,CGC  COLLEGE OF ENGINEERING,Active,Punjab,Mohali,Mohali,"V.P.O. LANDRAN, DISTT. MOHALI.",140846,31.154262,75.335747,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cgc.ac.in,info@cgc.ac.in,admissions@cgc.ac.in,placement@cgc.ac.in,+91-80-139-2349,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,618,2009,Urban,Yes,Yes
1-44640591266,1-44640591266,U-0150,GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA),Active,Punjab,Mohali,Mohali,"GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA) KHARAR LANDRAN ROAD, KHARAR",140846,31.149201,75.357977,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtmohalikhunimajra.ac.in,info@govtmohalikhunimajra.ac.in,admissions@govtmohalikhunimajra.ac.in,placement@govtmohalikhunimajra.ac.in,+91-80-926-9995,Computer Science Engineering (CSE),Diploma,60,360,2007,Rural,Yes,Yes
1-44640591266,1-44640591266,U-0150,GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA),Active,Punjab,Mohali,Mohali,"GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA) KHARAR LANDRAN ROAD, KHARAR",140846,31.149201,75.357977,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtmohalikhunimajra.ac.in,info@govtmohalikhunimajra.ac.in,admissions@govtmohalikhunimajra.ac.in,placement@govtmohalikhunimajra.ac.in,+91-80-926-9995,Mechanical Engineering,Diploma,60,360,2007,Rural,Yes,Yes
1-44640591266,1-44640591266,U-0150,GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA),Active,Punjab,Mohali,Mohali,"GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA) KHARAR LANDRAN ROAD, KHARAR",140846,31.149201,75.357977,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtmohalikhunimajra.ac.in,info@govtmohalikhunimajra.ac.in,admissions@govtmohalikhunimajra.ac.in,placement@govtmohalikhunimajra.ac.in,+91-80-926-9995,Electrical Engineering,Diploma,60,360,2007,Rural,Yes,Yes
1-44640591266,1-44640591266,U-0150,GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA),Active,Punjab,Mohali,Mohali,"GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA) KHARAR LANDRAN ROAD, KHARAR",140846,31.149201,75.357977,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtmohalikhunimajra.ac.in,info@govtmohalikhunimajra.ac.in,admissions@govtmohalikhunimajra.ac.in,placement@govtmohalikhunimajra.ac.in,+91-80-926-9995,Other Engineering Branches,Diploma,60,360,2007,Rural,Yes,Yes
1-44640591266,1-44640591266,U-0150,GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA),Active,Punjab,Mohali,Mohali,"GOVT. POLYTECHNIC COLLEGE MOHALI(KHUNI MAJRA) KHARAR LANDRAN ROAD, KHARAR",140846,31.149201,75.357977,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtmohalikhunimajra.ac.in,info@govtmohalikhunimajra.ac.in,admissions@govtmohalikhunimajra.ac.in,placement@govtmohalikhunimajra.ac.in,+91-80-926-9995,Civil Engineering,Diploma,30,360,2007,Rural,Yes,Yes
