College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640128023,1-44640128023,U-0150,GOVT. POLYTECHNIC COLLEGE,Active,Punjab,Mukatsar,Mukatsar,FATUHI KHERA VIA LAMBI,140147,31.150577,75.340188,Government,Punjab State Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-984-6905,Mechanical Engineering,Diploma,30,60,2019,Urban,Yes,Yes
1-44640128023,1-44640128023,U-0150,GOVT. POLYTECHNIC COLLEGE,Active,Punjab,Mukatsar,Mukatsar,FATUHI KHERA VIA LAMBI,140147,31.150577,75.340188,Government,Punjab State Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-984-6905,Electronics & Communication Engineering (ECE),Diploma,30,60,2019,Urban,Yes,Yes
1-44640162988,1-44640162988,U-0150,"ADESH POLYTECHNIC COLLEGE, MUKTSAR",Active,Punjab,Mukatsar,Mukatsar,VILLAGE MARH MALLU FEROZEPUR ROAD MUKTSAR,140147,31.135897,75.350649,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.adeshmuktsar.ac.in,info@adeshmuktsar.ac.in,admissions@adeshmuktsar.ac.in,placement@adeshmuktsar.ac.in,+91-80-368-9660,Civil Engineering,Diploma,60,240,2020,Urban,No,Yes
1-44640162988,1-44640162988,U-0150,"ADESH POLYTECHNIC COLLEGE, MUKTSAR",Active,Punjab,Mukatsar,Mukatsar,VILLAGE MARH MALLU FEROZEPUR ROAD MUKTSAR,140147,31.135897,75.350649,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.adeshmuktsar.ac.in,info@adeshmuktsar.ac.in,admissions@adeshmuktsar.ac.in,placement@adeshmuktsar.ac.in,+91-80-368-9660,Computer Science Engineering (CSE),Diploma,60,240,2020,Urban,No,Yes
1-44640162988,1-44640162988,U-0150,"ADESH POLYTECHNIC COLLEGE, MUKTSAR",Active,Punjab,Mukatsar,Mukatsar,VILLAGE MARH MALLU FEROZEPUR ROAD MUKTSAR,140147,31.135897,75.350649,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.adeshmuktsar.ac.in,info@adeshmuktsar.ac.in,admissions@adeshmuktsar.ac.in,placement@adeshmuktsar.ac.in,+91-80-368-9660,Electrical Engineering,Diploma,60,240,2020,Urban,No,Yes
1-44640162988,1-44640162988,U-0150,"ADESH POLYTECHNIC COLLEGE, MUKTSAR",Active,Punjab,Mukatsar,Mukatsar,VILLAGE MARH MALLU FEROZEPUR ROAD MUKTSAR,140147,31.135897,75.350649,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.adeshmuktsar.ac.in,info@adeshmuktsar.ac.in,admissions@adeshmuktsar.ac.in,placement@adeshmuktsar.ac.in,+91-80-368-9660,Mechanical Engineering,Diploma,60,240,2020,Urban,No,Yes
1-44641004814,1-44641004814,U-0843,BHAI MAHA SINGH COLLEGE OF ENGINEERING,Active,Punjab,Mukatsar,Mukatsar, VILLAGE  UDEKARAN  KOTKAPURA ROAD  MUKTSAR,140147,31.162184,75.326231,Private-Self Financing,"I.K. Gujral Punjab Technical University, Jalandhar",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaimahasingh.ac.in,info@bhaimahasingh.ac.in,admissions@bhaimahasingh.ac.in,placement@bhaimahasingh.ac.in,+91-80-471-5168,Computer Science Engineering (CSE),B.Tech,60,126,2003,Urban,Yes,Yes
1-44641004814,1-44641004814,U-0843,BHAI MAHA SINGH COLLEGE OF ENGINEERING,Active,Punjab,Mukatsar,Mukatsar, VILLAGE  UDEKARAN  KOTKAPURA ROAD  MUKTSAR,140147,31.162184,75.326231,Private-Self Financing,"I.K. Gujral Punjab Technical University, Jalandhar",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaimahasingh.ac.in,info@bhaimahasingh.ac.in,admissions@bhaimahasingh.ac.in,placement@bhaimahasingh.ac.in,+91-80-471-5168,Mechanical Engineering,B.Tech,30,126,2003,Urban,Yes,Yes
1-44641004814,1-44641004814,U-0843,BHAI MAHA SINGH COLLEGE OF ENGINEERING,Active,Punjab,Mukatsar,Mukatsar, VILLAGE  UDEKARAN  KOTKAPURA ROAD  MUKTSAR,140147,31.162184,75.326231,Private-Self Financing,"I.K. Gujral Punjab Technical University, Jalandhar",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaimahasingh.ac.in,info@bhaimahasingh.ac.in,admissions@bhaimahasingh.ac.in,placement@bhaimahasingh.ac.in,+91-80-471-5168,Other Engineering Branches,M.Tech,36,126,2003,Urban,Yes,Yes
1-44642427242,1-44642427242,U-0843,"MALOUT INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY, MALOUT",Active,Punjab,Mukatsar,Mukatsar,"MALOUT INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY, GREEN FIELD ENCLAVE, NEAR NEW GRAIN MARKET, MALOUT, 152107, DISTT. MUKTSAR, PUNJAB",152107,31.146699,75.361036,Government,"I.K. Gujral Punjab Technical University, Jalandhar",Approved,Approved,B++,Yes,,Tier 3,http://www.maloutmanagementinformation.ac.in,info@maloutmanagementinformation.ac.in,admissions@maloutmanagementinformation.ac.in,placement@maloutmanagementinformation.ac.in,+91-80-822-0670,Mechanical Engineering,B.Tech,30,210,2008,Urban,Yes,Yes
