College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638728341,1-44638728341,U-0479,HOMI BHABHA NATIONAL INSTITUTE,Active,Maharashtra,Mumbai City,Mumbai City,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,400896,19.752379,75.712698,Deemed to be University(Govt),"Homi Bhabha National Institute, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.homibhabhanational.ac.in,info@homibhabhanational.ac.in,admissions@homibhabhanational.ac.in,placement@homibhabhanational.ac.in,+91-80-875-7368,Mechanical Engineering,M.Tech,100,520,2011,Rural,No,Yes
1-44638728341,1-44638728341,U-0479,HOMI BHABHA NATIONAL INSTITUTE,Active,Maharashtra,Mumbai City,Mumbai City,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,400896,19.752379,75.712698,Deemed to be University(Govt),"Homi Bhabha National Institute, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.homibhabhanational.ac.in,info@homibhabhanational.ac.in,admissions@homibhabhanational.ac.in,placement@homibhabhanational.ac.in,+91-80-875-7368,Other Engineering Branches,M.Tech,270,520,2011,Rural,No,Yes
1-44638728341,1-44638728341,U-0479,HOMI BHABHA NATIONAL INSTITUTE,Active,Maharashtra,Mumbai City,Mumbai City,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,400896,19.752379,75.712698,Deemed to be University(Govt),"Homi Bhabha National Institute, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.homibhabhanational.ac.in,info@homibhabhanational.ac.in,admissions@homibhabhanational.ac.in,placement@homibhabhanational.ac.in,+91-80-875-7368,Chemical Engineering,M.Tech,60,520,2011,Rural,No,Yes
1-44638728341,1-44638728341,U-0479,HOMI BHABHA NATIONAL INSTITUTE,Active,Maharashtra,Mumbai City,Mumbai City,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,400896,19.752379,75.712698,Deemed to be University(Govt),"Homi Bhabha National Institute, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.homibhabhanational.ac.in,info@homibhabhanational.ac.in,admissions@homibhabhanational.ac.in,placement@homibhabhanational.ac.in,+91-80-875-7368,Computer Science Engineering (CSE),M.Tech,30,520,2011,Rural,No,Yes
1-44638728341,1-44638728341,U-0479,HOMI BHABHA NATIONAL INSTITUTE,Active,Maharashtra,Mumbai City,Mumbai City,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,400896,19.752379,75.712698,Deemed to be University(Govt),"Homi Bhabha National Institute, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.homibhabhanational.ac.in,info@homibhabhanational.ac.in,admissions@homibhabhanational.ac.in,placement@homibhabhanational.ac.in,+91-80-875-7368,Civil Engineering,M.Tech,30,520,2011,Rural,No,Yes
1-44638728341,1-44638728341,U-0479,HOMI BHABHA NATIONAL INSTITUTE,Active,Maharashtra,Mumbai City,Mumbai City,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,400896,19.752379,75.712698,Deemed to be University(Govt),"Homi Bhabha National Institute, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.homibhabhanational.ac.in,info@homibhabhanational.ac.in,admissions@homibhabhanational.ac.in,placement@homibhabhanational.ac.in,+91-80-875-7368,Electrical Engineering,M.Tech,30,520,2011,Rural,No,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Electronics & Communication Engineering (ECE),B.Tech,120,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Information Technology (IT),B.Tech,120,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Computer Science Engineering (CSE),B.Tech,240,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Computer Science Engineering (CSE),M.Tech,9,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Electronics & Communication Engineering (ECE),M.Tech,18,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Electrical Engineering,B.Tech,60,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Mechanical Engineering,B.Tech,60,687,2011,Rural,Yes,Yes
1-44639343519,1-44639343519,U-0847,ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),Active,Maharashtra,Mumbai City,Mumbai City,"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",400896,19.736848,75.716793,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,A+,No,,Tier 3,http://www.stfrancisengg.ac.in,info@stfrancisengg.ac.in,admissions@stfrancisengg.ac.in,placement@stfrancisengg.ac.in,+91-80-224-3218,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,687,2011,Rural,Yes,Yes
1-44639588482,1-44639588482,U-0767,"IDEMI, MUMBAI",Active,Maharashtra,Mumbai City,Mumbai City,"S.T. TOPE MARG, SION, CHUNABHATTI (E)",400896,19.735727,75.715916,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.idemimumbai.ac.in,info@idemimumbai.ac.in,admissions@idemimumbai.ac.in,placement@idemimumbai.ac.in,+91-80-177-3196,Mechanical Engineering,Diploma,30,150,1982,Urban,Yes,No
1-44639588482,1-44639588482,U-0767,"IDEMI, MUMBAI",Active,Maharashtra,Mumbai City,Mumbai City,"S.T. TOPE MARG, SION, CHUNABHATTI (E)",400896,19.735727,75.715916,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.idemimumbai.ac.in,info@idemimumbai.ac.in,admissions@idemimumbai.ac.in,placement@idemimumbai.ac.in,+91-80-177-3196,Other Engineering Branches,Diploma,120,150,1982,Urban,Yes,No
