College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Mechanical Engineering,B.Tech,180,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Information Technology (IT),B.Tech,180,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Computer Science Engineering (CSE),B.Tech,480,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Civil Engineering,B.Tech,60,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Data Science,B.Tech,240,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Data Science,M.Tech,30,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Electronics & Communication Engineering (ECE),B.Tech,60,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Other Engineering Branches,M.Tech,30,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Other Engineering Branches,B.Tech,120,1800,1985,Urban,Yes,No
1-44638081185,1-44638081185,U-0992,SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,Active,Maharashtra,Mumbai Suburban,Mumbai Suburban,"V.L.MEHTA ROAD,VILE PARLE (W)",400545,19.119068,72.880822,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivileparle.ac.in,info@shrivileparle.ac.in,admissions@shrivileparle.ac.in,placement@shrivileparle.ac.in,+91-80-900-4401,Cyber Security,B.Tech,60,1800,1985,Urban,Yes,No
