College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638376795,1-44638376795,U-0057,GOVERNMENT ENGINEERING COLLEGE MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT ENGINEERING COLLEGE MUNGER, CHURAMBA ROAD, SAJAWALPUR, MUNGER, BIHAR 811201",811201,25.096183,85.323551,Government,Bihar Engineering University Patna,Approved,Approved,B++,Yes,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-842-3362,Civil Engineering,B.Tech,120,360,2015,Rural,Yes,Yes
1-44638376795,1-44638376795,U-0057,GOVERNMENT ENGINEERING COLLEGE MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT ENGINEERING COLLEGE MUNGER, CHURAMBA ROAD, SAJAWALPUR, MUNGER, BIHAR 811201",811201,25.096183,85.323551,Government,Bihar Engineering University Patna,Approved,Approved,B++,Yes,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-842-3362,Mechanical Engineering,B.Tech,60,360,2015,Rural,Yes,Yes
1-44638376795,1-44638376795,U-0057,GOVERNMENT ENGINEERING COLLEGE MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT ENGINEERING COLLEGE MUNGER, CHURAMBA ROAD, SAJAWALPUR, MUNGER, BIHAR 811201",811201,25.096183,85.323551,Government,Bihar Engineering University Patna,Approved,Approved,B++,Yes,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-842-3362,Electrical Engineering,B.Tech,60,360,2015,Rural,Yes,Yes
1-44638376795,1-44638376795,U-0057,GOVERNMENT ENGINEERING COLLEGE MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT ENGINEERING COLLEGE MUNGER, CHURAMBA ROAD, SAJAWALPUR, MUNGER, BIHAR 811201",811201,25.096183,85.323551,Government,Bihar Engineering University Patna,Approved,Approved,B++,Yes,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-842-3362,Computer Science Engineering (CSE),B.Tech,60,360,2015,Rural,Yes,Yes
1-44638376795,1-44638376795,U-0057,GOVERNMENT ENGINEERING COLLEGE MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT ENGINEERING COLLEGE MUNGER, CHURAMBA ROAD, SAJAWALPUR, MUNGER, BIHAR 811201",811201,25.096183,85.323551,Government,Bihar Engineering University Patna,Approved,Approved,B++,Yes,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-842-3362,Data Science,B.Tech,60,360,2015,Rural,Yes,Yes
1-44638779245,1-44638779245,U-0698,GOVERNMENT POLYTECHNIC MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT POLYTECHNIC MUNGER, RAMANKABAD, HAWELI KHARAGPUR",800685,25.0806,85.302421,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-188-7291,Electrical Engineering,Diploma,60,360,2010,Urban,Yes,Yes
1-44638779245,1-44638779245,U-0698,GOVERNMENT POLYTECHNIC MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT POLYTECHNIC MUNGER, RAMANKABAD, HAWELI KHARAGPUR",800685,25.0806,85.302421,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-188-7291,Mechanical Engineering,Diploma,60,360,2010,Urban,Yes,Yes
1-44638779245,1-44638779245,U-0698,GOVERNMENT POLYTECHNIC MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT POLYTECHNIC MUNGER, RAMANKABAD, HAWELI KHARAGPUR",800685,25.0806,85.302421,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-188-7291,Other Engineering Branches,Diploma,120,360,2010,Urban,Yes,Yes
1-44638779245,1-44638779245,U-0698,GOVERNMENT POLYTECHNIC MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT POLYTECHNIC MUNGER, RAMANKABAD, HAWELI KHARAGPUR",800685,25.0806,85.302421,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-188-7291,Computer Science Engineering (CSE),Diploma,60,360,2010,Urban,Yes,Yes
1-44638779245,1-44638779245,U-0698,GOVERNMENT POLYTECHNIC MUNGER,Active,Bihar,Munger,Munger,"GOVERNMENT POLYTECHNIC MUNGER, RAMANKABAD, HAWELI KHARAGPUR",800685,25.0806,85.302421,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.munger.ac.in,info@munger.ac.in,admissions@munger.ac.in,placement@munger.ac.in,+91-80-188-7291,Civil Engineering,Diploma,60,360,2010,Urban,Yes,Yes
