College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638625808,1-44638625808,U-0339,BERHAMPORE POLYTECHNIC COLLEGE,Active,West Bengal,Murshidabad,Murshidabad,"3/20 GIRIJA PARA LANE,P.O-KHAGRA,P.-BERHAMPORE, DIST-MURSHIDABAD, PIN-742103",742103,22.985866,87.847689,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B+,No,,Tier 3,http://www.berhampore.ac.in,info@berhampore.ac.in,admissions@berhampore.ac.in,placement@berhampore.ac.in,+91-80-799-7009,Civil Engineering,Diploma,60,300,1997,Rural,Yes,No
1-44638625808,1-44638625808,U-0339,BERHAMPORE POLYTECHNIC COLLEGE,Active,West Bengal,Murshidabad,Murshidabad,"3/20 GIRIJA PARA LANE,P.O-KHAGRA,P.-BERHAMPORE, DIST-MURSHIDABAD, PIN-742103",742103,22.985866,87.847689,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B+,No,,Tier 3,http://www.berhampore.ac.in,info@berhampore.ac.in,admissions@berhampore.ac.in,placement@berhampore.ac.in,+91-80-799-7009,Mechanical Engineering,Diploma,60,300,1997,Rural,Yes,No
1-44638625808,1-44638625808,U-0339,BERHAMPORE POLYTECHNIC COLLEGE,Active,West Bengal,Murshidabad,Murshidabad,"3/20 GIRIJA PARA LANE,P.O-KHAGRA,P.-BERHAMPORE, DIST-MURSHIDABAD, PIN-742103",742103,22.985866,87.847689,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B+,No,,Tier 3,http://www.berhampore.ac.in,info@berhampore.ac.in,admissions@berhampore.ac.in,placement@berhampore.ac.in,+91-80-799-7009,Electrical Engineering,Diploma,60,300,1997,Rural,Yes,No
1-44638625808,1-44638625808,U-0339,BERHAMPORE POLYTECHNIC COLLEGE,Active,West Bengal,Murshidabad,Murshidabad,"3/20 GIRIJA PARA LANE,P.O-KHAGRA,P.-BERHAMPORE, DIST-MURSHIDABAD, PIN-742103",742103,22.985866,87.847689,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B+,No,,Tier 3,http://www.berhampore.ac.in,info@berhampore.ac.in,admissions@berhampore.ac.in,placement@berhampore.ac.in,+91-80-799-7009,Electronics & Communication Engineering (ECE),Diploma,60,300,1997,Rural,Yes,No
1-44638625808,1-44638625808,U-0339,BERHAMPORE POLYTECHNIC COLLEGE,Active,West Bengal,Murshidabad,Murshidabad,"3/20 GIRIJA PARA LANE,P.O-KHAGRA,P.-BERHAMPORE, DIST-MURSHIDABAD, PIN-742103",742103,22.985866,87.847689,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B+,No,,Tier 3,http://www.berhampore.ac.in,info@berhampore.ac.in,admissions@berhampore.ac.in,placement@berhampore.ac.in,+91-80-799-7009,Computer Science Engineering (CSE),Diploma,60,300,1997,Rural,Yes,No
1-44639338877,1-44639338877,U-0339,NIBEDITA INSTITUTE OF TECHNOLOGY,Active,West Bengal,Murshidabad,Murshidabad,"VILL-NARASINGHAPUR,P.O- SAGARPARA,P.S-JALANGI,DIST-MURSHIDABAD,WEST BENGAL,PIN-742306",742306,22.984784,87.870844,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 3,http://www.nibedita.ac.in,info@nibedita.ac.in,admissions@nibedita.ac.in,placement@nibedita.ac.in,+91-80-754-3269,Computer Science Engineering (CSE),Diploma,60,390,2015,Urban,Yes,Yes
1-44639338877,1-44639338877,U-0339,NIBEDITA INSTITUTE OF TECHNOLOGY,Active,West Bengal,Murshidabad,Murshidabad,"VILL-NARASINGHAPUR,P.O- SAGARPARA,P.S-JALANGI,DIST-MURSHIDABAD,WEST BENGAL,PIN-742306",742306,22.984784,87.870844,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 3,http://www.nibedita.ac.in,info@nibedita.ac.in,admissions@nibedita.ac.in,placement@nibedita.ac.in,+91-80-754-3269,Information Technology (IT),Diploma,30,390,2015,Urban,Yes,Yes
1-44639338877,1-44639338877,U-0339,NIBEDITA INSTITUTE OF TECHNOLOGY,Active,West Bengal,Murshidabad,Murshidabad,"VILL-NARASINGHAPUR,P.O- SAGARPARA,P.S-JALANGI,DIST-MURSHIDABAD,WEST BENGAL,PIN-742306",742306,22.984784,87.870844,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 3,http://www.nibedita.ac.in,info@nibedita.ac.in,admissions@nibedita.ac.in,placement@nibedita.ac.in,+91-80-754-3269,Civil Engineering,Diploma,120,390,2015,Urban,Yes,Yes
1-44639338877,1-44639338877,U-0339,NIBEDITA INSTITUTE OF TECHNOLOGY,Active,West Bengal,Murshidabad,Murshidabad,"VILL-NARASINGHAPUR,P.O- SAGARPARA,P.S-JALANGI,DIST-MURSHIDABAD,WEST BENGAL,PIN-742306",742306,22.984784,87.870844,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 3,http://www.nibedita.ac.in,info@nibedita.ac.in,admissions@nibedita.ac.in,placement@nibedita.ac.in,+91-80-754-3269,Mechanical Engineering,Diploma,60,390,2015,Urban,Yes,Yes
1-44639338877,1-44639338877,U-0339,NIBEDITA INSTITUTE OF TECHNOLOGY,Active,West Bengal,Murshidabad,Murshidabad,"VILL-NARASINGHAPUR,P.O- SAGARPARA,P.S-JALANGI,DIST-MURSHIDABAD,WEST BENGAL,PIN-742306",742306,22.984784,87.870844,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 3,http://www.nibedita.ac.in,info@nibedita.ac.in,admissions@nibedita.ac.in,placement@nibedita.ac.in,+91-80-754-3269,Electrical Engineering,Diploma,60,390,2015,Urban,Yes,Yes
