College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638941584,1-44638941584,U-0698,MUZAFFARPUR COLLEGE OF PROFESSIONAL EDUCATION,Active,Bihar,Muzaffarpur,Muzaffarpur,"VPO-NARSINGHPUR VIA-RAMNA PO,PS-MUSHARI MUZAFFARPUR BIHAR 842002",842002,25.105818,85.317219,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.muzaffarpurprofessionaleducation.ac.in,info@muzaffarpurprofessionaleducation.ac.in,admissions@muzaffarpurprofessionaleducation.ac.in,placement@muzaffarpurprofessionaleducation.ac.in,+91-80-246-4538,Civil Engineering,Diploma,60,360,2013,Urban,No,Yes
1-44638941584,1-44638941584,U-0698,MUZAFFARPUR COLLEGE OF PROFESSIONAL EDUCATION,Active,Bihar,Muzaffarpur,Muzaffarpur,"VPO-NARSINGHPUR VIA-RAMNA PO,PS-MUSHARI MUZAFFARPUR BIHAR 842002",842002,25.105818,85.317219,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.muzaffarpurprofessionaleducation.ac.in,info@muzaffarpurprofessionaleducation.ac.in,admissions@muzaffarpurprofessionaleducation.ac.in,placement@muzaffarpurprofessionaleducation.ac.in,+91-80-246-4538,Mechanical Engineering,Diploma,60,360,2013,Urban,No,Yes
1-44638941584,1-44638941584,U-0698,MUZAFFARPUR COLLEGE OF PROFESSIONAL EDUCATION,Active,Bihar,Muzaffarpur,Muzaffarpur,"VPO-NARSINGHPUR VIA-RAMNA PO,PS-MUSHARI MUZAFFARPUR BIHAR 842002",842002,25.105818,85.317219,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.muzaffarpurprofessionaleducation.ac.in,info@muzaffarpurprofessionaleducation.ac.in,admissions@muzaffarpurprofessionaleducation.ac.in,placement@muzaffarpurprofessionaleducation.ac.in,+91-80-246-4538,Other Engineering Branches,Diploma,120,360,2013,Urban,No,Yes
1-44638941584,1-44638941584,U-0698,MUZAFFARPUR COLLEGE OF PROFESSIONAL EDUCATION,Active,Bihar,Muzaffarpur,Muzaffarpur,"VPO-NARSINGHPUR VIA-RAMNA PO,PS-MUSHARI MUZAFFARPUR BIHAR 842002",842002,25.105818,85.317219,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.muzaffarpurprofessionaleducation.ac.in,info@muzaffarpurprofessionaleducation.ac.in,admissions@muzaffarpurprofessionaleducation.ac.in,placement@muzaffarpurprofessionaleducation.ac.in,+91-80-246-4538,Electrical Engineering,Diploma,60,360,2013,Urban,No,Yes
1-44638941584,1-44638941584,U-0698,MUZAFFARPUR COLLEGE OF PROFESSIONAL EDUCATION,Active,Bihar,Muzaffarpur,Muzaffarpur,"VPO-NARSINGHPUR VIA-RAMNA PO,PS-MUSHARI MUZAFFARPUR BIHAR 842002",842002,25.105818,85.317219,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.muzaffarpurprofessionaleducation.ac.in,info@muzaffarpurprofessionaleducation.ac.in,admissions@muzaffarpurprofessionaleducation.ac.in,placement@muzaffarpurprofessionaleducation.ac.in,+91-80-246-4538,Computer Science Engineering (CSE),Diploma,60,360,2013,Urban,No,Yes
1-44639734199,1-44639734199,U-0698,GOVT. POLYTECHNIC,Active,Bihar,Muzaffarpur,Muzaffarpur,NAYATOLA,800310,25.087827,85.296932,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Civil Engineering,Diploma,120,390,2019,Urban,Yes,Yes
1-44639734199,1-44639734199,U-0698,GOVT. POLYTECHNIC,Active,Bihar,Muzaffarpur,Muzaffarpur,NAYATOLA,800310,25.087827,85.296932,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Mechanical Engineering,Diploma,60,390,2019,Urban,Yes,Yes
1-44639734199,1-44639734199,U-0698,GOVT. POLYTECHNIC,Active,Bihar,Muzaffarpur,Muzaffarpur,NAYATOLA,800310,25.087827,85.296932,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Electrical Engineering,Diploma,60,390,2019,Urban,Yes,Yes
1-44639734199,1-44639734199,U-0698,GOVT. POLYTECHNIC,Active,Bihar,Muzaffarpur,Muzaffarpur,NAYATOLA,800310,25.087827,85.296932,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Other Engineering Branches,Diploma,90,390,2019,Urban,Yes,Yes
1-44639734199,1-44639734199,U-0698,GOVT. POLYTECHNIC,Active,Bihar,Muzaffarpur,Muzaffarpur,NAYATOLA,800310,25.087827,85.296932,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Computer Science Engineering (CSE),Diploma,60,390,2019,Urban,Yes,Yes
