College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Computer Science Engineering (CSE),B.Tech,120,438,2000,Urban,Yes,Yes
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Civil Engineering,B.Tech,60,438,2000,Urban,Yes,Yes
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Electronics & Communication Engineering (ECE),B.Tech,60,438,2000,Urban,Yes,Yes
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Mechanical Engineering,B.Tech,60,438,2000,Urban,Yes,Yes
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Data Science,B.Tech,60,438,2000,Urban,Yes,Yes
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,438,2000,Urban,Yes,Yes
1-44638156557,1-44638156557,U-0375,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA,Active,Karnataka,Mysuru,Mysuru,THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAGUD TALUK MYSORE DISTRICT,560612,12.29616,76.637118,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.maharajathandavapura.ac.in,info@maharajathandavapura.ac.in,admissions@maharajathandavapura.ac.in,placement@maharajathandavapura.ac.in,+91-80-853-9761,Other Engineering Branches,M.Tech,18,438,2000,Urban,Yes,Yes
1-44638722936,1-44638722936,U-0303,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,Active,Karnataka,Mysuru,Mysuru,"JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",570006,12.312654,76.658025,State Private University,JSS Science and Technology University Mysore,Approved,Approved,A,No,,Tier 3,http://www.jssscience.ac.in,info@jssscience.ac.in,admissions@jssscience.ac.in,placement@jssscience.ac.in,+91-80-545-7527,Mechanical Engineering,B.Tech,60,1060,2012,Urban,Yes,Yes
1-44638722936,1-44638722936,U-0303,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,Active,Karnataka,Mysuru,Mysuru,"JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",570006,12.312654,76.658025,State Private University,JSS Science and Technology University Mysore,Approved,Approved,A,No,,Tier 3,http://www.jssscience.ac.in,info@jssscience.ac.in,admissions@jssscience.ac.in,placement@jssscience.ac.in,+91-80-545-7527,Electronics & Communication Engineering (ECE),B.Tech,60,1060,2012,Urban,Yes,Yes
1-44638722936,1-44638722936,U-0303,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,Active,Karnataka,Mysuru,Mysuru,"JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",570006,12.312654,76.658025,State Private University,JSS Science and Technology University Mysore,Approved,Approved,A,No,,Tier 3,http://www.jssscience.ac.in,info@jssscience.ac.in,admissions@jssscience.ac.in,placement@jssscience.ac.in,+91-80-545-7527,Computer Science Engineering (CSE),B.Tech,450,1060,2012,Urban,Yes,Yes
1-44638722936,1-44638722936,U-0303,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,Active,Karnataka,Mysuru,Mysuru,"JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",570006,12.312654,76.658025,State Private University,JSS Science and Technology University Mysore,Approved,Approved,A,No,,Tier 3,http://www.jssscience.ac.in,info@jssscience.ac.in,admissions@jssscience.ac.in,placement@jssscience.ac.in,+91-80-545-7527,Information Technology (IT),B.Tech,180,1060,2012,Urban,Yes,Yes
