College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640723709,1-44640723709,U-0584,NOWGONG POLYTECHNIC,Active,Assam,Nagaon,Nagaon,"POLY ROAD, PANIGAON, NAGAON",781613,26.218198,92.936441,Government,"Directorate of Technical Education, Assam",Approved,Approved,A+,Yes,,Tier 2,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-576-9720,Electrical Engineering,Diploma,40,170,2003,Rural,No,Yes
1-44640723709,1-44640723709,U-0584,NOWGONG POLYTECHNIC,Active,Assam,Nagaon,Nagaon,"POLY ROAD, PANIGAON, NAGAON",781613,26.218198,92.936441,Government,"Directorate of Technical Education, Assam",Approved,Approved,A+,Yes,,Tier 2,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-576-9720,Computer Science Engineering (CSE),Diploma,30,170,2003,Rural,No,Yes
1-44640723709,1-44640723709,U-0584,NOWGONG POLYTECHNIC,Active,Assam,Nagaon,Nagaon,"POLY ROAD, PANIGAON, NAGAON",781613,26.218198,92.936441,Government,"Directorate of Technical Education, Assam",Approved,Approved,A+,Yes,,Tier 2,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-576-9720,Civil Engineering,Diploma,60,170,2003,Rural,No,Yes
1-44640723709,1-44640723709,U-0584,NOWGONG POLYTECHNIC,Active,Assam,Nagaon,Nagaon,"POLY ROAD, PANIGAON, NAGAON",781613,26.218198,92.936441,Government,"Directorate of Technical Education, Assam",Approved,Approved,A+,Yes,,Tier 2,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-576-9720,Mechanical Engineering,Diploma,40,170,2003,Rural,No,Yes
1-44755081643,1-44755081643,U-0452,HAM AK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Active,Assam,Nagaon,Nagaon,VILL AND PO:-SHILLONGONI,781613,26.181254,92.934043,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.hamakmanagement.ac.in,info@hamakmanagement.ac.in,admissions@hamakmanagement.ac.in,placement@hamakmanagement.ac.in,+91-80-027-4537,Mechanical Engineering,Diploma,30,720,2004,Rural,No,No
1-44755081643,1-44755081643,U-0452,HAM AK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Active,Assam,Nagaon,Nagaon,VILL AND PO:-SHILLONGONI,781613,26.181254,92.934043,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.hamakmanagement.ac.in,info@hamakmanagement.ac.in,admissions@hamakmanagement.ac.in,placement@hamakmanagement.ac.in,+91-80-027-4537,Electrical Engineering,Diploma,120,720,2004,Rural,No,No
1-44755081643,1-44755081643,U-0452,HAM AK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Active,Assam,Nagaon,Nagaon,VILL AND PO:-SHILLONGONI,781613,26.181254,92.934043,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.hamakmanagement.ac.in,info@hamakmanagement.ac.in,admissions@hamakmanagement.ac.in,placement@hamakmanagement.ac.in,+91-80-027-4537,Civil Engineering,Diploma,120,720,2004,Rural,No,No
1-44755081643,1-44755081643,U-0452,HAM AK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Active,Assam,Nagaon,Nagaon,VILL AND PO:-SHILLONGONI,781613,26.181254,92.934043,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.hamakmanagement.ac.in,info@hamakmanagement.ac.in,admissions@hamakmanagement.ac.in,placement@hamakmanagement.ac.in,+91-80-027-4537,Other Engineering Branches,Diploma,30,720,2004,Rural,No,No
1-44755081643,1-44755081643,U-0452,HAM AK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Active,Assam,Nagaon,Nagaon,VILL AND PO:-SHILLONGONI,781613,26.181254,92.934043,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.hamakmanagement.ac.in,info@hamakmanagement.ac.in,admissions@hamakmanagement.ac.in,placement@hamakmanagement.ac.in,+91-80-027-4537,Electrical Engineering,B.Tech,120,720,2004,Rural,No,No
1-44755081643,1-44755081643,U-0452,HAM AK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Active,Assam,Nagaon,Nagaon,VILL AND PO:-SHILLONGONI,781613,26.181254,92.934043,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.hamakmanagement.ac.in,info@hamakmanagement.ac.in,admissions@hamakmanagement.ac.in,placement@hamakmanagement.ac.in,+91-80-027-4537,Mechanical Engineering,B.Tech,30,720,2004,Rural,No,No
