College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638466681,1-44638466681,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,THIRUKKUVALAI,600005,11.117216,78.63716,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Civil Engineering,B.Tech,60,360,1983,Urban,Yes,Yes
1-44638466681,1-44638466681,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,THIRUKKUVALAI,600005,11.117216,78.63716,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Mechanical Engineering,B.Tech,60,360,1983,Urban,Yes,Yes
1-44638466681,1-44638466681,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,THIRUKKUVALAI,600005,11.117216,78.63716,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Electrical & Electronics Engineering (EEE),B.Tech,30,360,1983,Urban,Yes,Yes
1-44638466681,1-44638466681,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,THIRUKKUVALAI,600005,11.117216,78.63716,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Electronics & Communication Engineering (ECE),B.Tech,60,360,1983,Urban,Yes,Yes
1-44638466681,1-44638466681,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,THIRUKKUVALAI,600005,11.117216,78.63716,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Computer Science Engineering (CSE),B.Tech,120,360,1983,Urban,Yes,Yes
1-44638466681,1-44638466681,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,THIRUKKUVALAI,600005,11.117216,78.63716,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Data Science,B.Tech,30,360,1983,Urban,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Other Engineering Branches,M.Tech,72,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Mechanical Engineering,B.Tech,60,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Electronics & Communication Engineering (ECE),B.Tech,60,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Computer Science Engineering (CSE),B.Tech,120,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Computer Science Engineering (CSE),M.Tech,24,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Data Science,B.Tech,60,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Information Technology (IT),B.Tech,60,516,1994,Rural,Yes,Yes
1-44638115808,1-44638115808,U-0682,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"ANDHANAPEETAI POST, PAPPAKOIL, NAGAPATTINAM 611 102",600005,11.11606,78.676022,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.sirissacnewton.ac.in,info@sirissacnewton.ac.in,admissions@sirissacnewton.ac.in,placement@sirissacnewton.ac.in,+91-80-375-8330,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,516,1994,Rural,Yes,Yes
1-44638116838,1-44638116838,U-0622,COLLEGE OF FISHERIES ENGINEERING,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"TAMIL NADU DR.J.JAYALALITHAA FISHERIES UNIVERSITY, VETTAR RIVER VIEW CAMPUS, NAGAPATTINAM, 611002",611002,11.124026,78.647974,Government,TAMIL NADU DR. J. JAYALALITHAA FISHERIES UNIVERSITY,Approved,Approved,B++,Yes,,Tier 3,http://www.fisheries.ac.in,info@fisheries.ac.in,admissions@fisheries.ac.in,placement@fisheries.ac.in,+91-80-709-9206,Other Engineering Branches,B.Tech,34,34,1993,Urban,Yes,Yes
1-44637382867,1-44637382867,U-0650,VASANTHA MURUGU POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"NALLADAI MAIN ROAD, EACHANGUDI VILLAGE, THARANGAMBADI TK, NAGAPATTINAM DT - 609306",609306,11.110141,78.652279,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.vasanthamurugu.ac.in,info@vasanthamurugu.ac.in,admissions@vasanthamurugu.ac.in,placement@vasanthamurugu.ac.in,+91-80-127-5746,Mechanical Engineering,Diploma,60,240,1990,Rural,No,No
1-44637382867,1-44637382867,U-0650,VASANTHA MURUGU POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"NALLADAI MAIN ROAD, EACHANGUDI VILLAGE, THARANGAMBADI TK, NAGAPATTINAM DT - 609306",609306,11.110141,78.652279,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.vasanthamurugu.ac.in,info@vasanthamurugu.ac.in,admissions@vasanthamurugu.ac.in,placement@vasanthamurugu.ac.in,+91-80-127-5746,Electrical & Electronics Engineering (EEE),Diploma,60,240,1990,Rural,No,No
1-44637382867,1-44637382867,U-0650,VASANTHA MURUGU POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"NALLADAI MAIN ROAD, EACHANGUDI VILLAGE, THARANGAMBADI TK, NAGAPATTINAM DT - 609306",609306,11.110141,78.652279,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.vasanthamurugu.ac.in,info@vasanthamurugu.ac.in,admissions@vasanthamurugu.ac.in,placement@vasanthamurugu.ac.in,+91-80-127-5746,Civil Engineering,Diploma,60,240,1990,Rural,No,No
1-44637382867,1-44637382867,U-0650,VASANTHA MURUGU POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,"NALLADAI MAIN ROAD, EACHANGUDI VILLAGE, THARANGAMBADI TK, NAGAPATTINAM DT - 609306",609306,11.110141,78.652279,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.vasanthamurugu.ac.in,info@vasanthamurugu.ac.in,admissions@vasanthamurugu.ac.in,placement@vasanthamurugu.ac.in,+91-80-127-5746,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,240,1990,Rural,No,No
1-44639387249,1-44639387249,U-0650,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,PUTHUR,600005,11.141103,78.659712,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.srinivasasubbaraya.ac.in,info@srinivasasubbaraya.ac.in,admissions@srinivasasubbaraya.ac.in,placement@srinivasasubbaraya.ac.in,+91-80-426-1905,Civil Engineering,Diploma,120,480,2021,Rural,Yes,Yes
1-44639387249,1-44639387249,U-0650,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,PUTHUR,600005,11.141103,78.659712,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.srinivasasubbaraya.ac.in,info@srinivasasubbaraya.ac.in,admissions@srinivasasubbaraya.ac.in,placement@srinivasasubbaraya.ac.in,+91-80-426-1905,Computer Science Engineering (CSE),Diploma,60,480,2021,Rural,Yes,Yes
1-44639387249,1-44639387249,U-0650,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,PUTHUR,600005,11.141103,78.659712,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.srinivasasubbaraya.ac.in,info@srinivasasubbaraya.ac.in,admissions@srinivasasubbaraya.ac.in,placement@srinivasasubbaraya.ac.in,+91-80-426-1905,Electrical & Electronics Engineering (EEE),Diploma,120,480,2021,Rural,Yes,Yes
1-44639387249,1-44639387249,U-0650,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,PUTHUR,600005,11.141103,78.659712,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.srinivasasubbaraya.ac.in,info@srinivasasubbaraya.ac.in,admissions@srinivasasubbaraya.ac.in,placement@srinivasasubbaraya.ac.in,+91-80-426-1905,Mechanical Engineering,Diploma,120,480,2021,Rural,Yes,Yes
1-44639387249,1-44639387249,U-0650,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,PUTHUR,600005,11.141103,78.659712,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.srinivasasubbaraya.ac.in,info@srinivasasubbaraya.ac.in,admissions@srinivasasubbaraya.ac.in,placement@srinivasasubbaraya.ac.in,+91-80-426-1905,Other Engineering Branches,Diploma,60,480,2021,Rural,Yes,Yes
1-44640150366,1-44640150366,U-0294,VALIVALAM DESIKAR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nagapattinam,Nagapattinam,NAGORE MAIN ROAD NAGAPATTINAM,600005,11.142542,78.667974,Govt aided,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.valivalamdesikar.ac.in,info@valivalamdesikar.ac.in,admissions@valivalamdesikar.ac.in,placement@valivalamdesikar.ac.in,+91-80-486-5606,Civil Engineering,Diploma,60,420,1997,Urban,Yes,Yes
