College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638897316,1-44638897316,U-0197,GOVERNMENT POLYTECHNIC COLLEGE NAWA,Active,Rajasthan,Nagaur,Nagaur,"GOVERNMENT POLYTECHNIC COLLEGE, NAWA, CAMP AT GOVERNMENT RAMCHANDRA KHAITAN POLYTECHNIC COLLEGE , JHALNA, DOONGRI, JAIPUR",302476,27.01501,74.207001,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.nawa.ac.in,info@nawa.ac.in,admissions@nawa.ac.in,placement@nawa.ac.in,+91-80-470-1754,Mechanical Engineering,Diploma,60,300,2009,Rural,Yes,Yes
1-44638897316,1-44638897316,U-0197,GOVERNMENT POLYTECHNIC COLLEGE NAWA,Active,Rajasthan,Nagaur,Nagaur,"GOVERNMENT POLYTECHNIC COLLEGE, NAWA, CAMP AT GOVERNMENT RAMCHANDRA KHAITAN POLYTECHNIC COLLEGE , JHALNA, DOONGRI, JAIPUR",302476,27.01501,74.207001,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.nawa.ac.in,info@nawa.ac.in,admissions@nawa.ac.in,placement@nawa.ac.in,+91-80-470-1754,Other Engineering Branches,Diploma,60,300,2009,Rural,Yes,Yes
1-44638897316,1-44638897316,U-0197,GOVERNMENT POLYTECHNIC COLLEGE NAWA,Active,Rajasthan,Nagaur,Nagaur,"GOVERNMENT POLYTECHNIC COLLEGE, NAWA, CAMP AT GOVERNMENT RAMCHANDRA KHAITAN POLYTECHNIC COLLEGE , JHALNA, DOONGRI, JAIPUR",302476,27.01501,74.207001,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.nawa.ac.in,info@nawa.ac.in,admissions@nawa.ac.in,placement@nawa.ac.in,+91-80-470-1754,Civil Engineering,Diploma,60,300,2009,Rural,Yes,Yes
1-44638897316,1-44638897316,U-0197,GOVERNMENT POLYTECHNIC COLLEGE NAWA,Active,Rajasthan,Nagaur,Nagaur,"GOVERNMENT POLYTECHNIC COLLEGE, NAWA, CAMP AT GOVERNMENT RAMCHANDRA KHAITAN POLYTECHNIC COLLEGE , JHALNA, DOONGRI, JAIPUR",302476,27.01501,74.207001,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.nawa.ac.in,info@nawa.ac.in,admissions@nawa.ac.in,placement@nawa.ac.in,+91-80-470-1754,Computer Science Engineering (CSE),Diploma,60,300,2009,Rural,Yes,Yes
1-44638897316,1-44638897316,U-0197,GOVERNMENT POLYTECHNIC COLLEGE NAWA,Active,Rajasthan,Nagaur,Nagaur,"GOVERNMENT POLYTECHNIC COLLEGE, NAWA, CAMP AT GOVERNMENT RAMCHANDRA KHAITAN POLYTECHNIC COLLEGE , JHALNA, DOONGRI, JAIPUR",302476,27.01501,74.207001,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.nawa.ac.in,info@nawa.ac.in,admissions@nawa.ac.in,placement@nawa.ac.in,+91-80-470-1754,Agricultural Engineering,Diploma,60,300,2009,Rural,Yes,Yes
1-44639566671,1-44639566671,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, NAGAUR",Active,Rajasthan,Nagaur,Nagaur,GOVERNMENT POLYTECHNIC COLLEGE NAGAUR BEHIND DTO OFFICE RIICO INDUSTRIAL AREA BIKANER ROAD NAGAUR RAJASTHAN PIN-341001,341001,27.005258,74.220573,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.nagaur.ac.in,info@nagaur.ac.in,admissions@nagaur.ac.in,placement@nagaur.ac.in,+91-80-061-1729,Mechanical Engineering,Diploma,48,240,2000,Rural,No,Yes
1-44639566671,1-44639566671,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, NAGAUR",Active,Rajasthan,Nagaur,Nagaur,GOVERNMENT POLYTECHNIC COLLEGE NAGAUR BEHIND DTO OFFICE RIICO INDUSTRIAL AREA BIKANER ROAD NAGAUR RAJASTHAN PIN-341001,341001,27.005258,74.220573,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.nagaur.ac.in,info@nagaur.ac.in,admissions@nagaur.ac.in,placement@nagaur.ac.in,+91-80-061-1729,Electrical Engineering,Diploma,48,240,2000,Rural,No,Yes
1-44639566671,1-44639566671,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, NAGAUR",Active,Rajasthan,Nagaur,Nagaur,GOVERNMENT POLYTECHNIC COLLEGE NAGAUR BEHIND DTO OFFICE RIICO INDUSTRIAL AREA BIKANER ROAD NAGAUR RAJASTHAN PIN-341001,341001,27.005258,74.220573,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.nagaur.ac.in,info@nagaur.ac.in,admissions@nagaur.ac.in,placement@nagaur.ac.in,+91-80-061-1729,Civil Engineering,Diploma,48,240,2000,Rural,No,Yes
1-44639566671,1-44639566671,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, NAGAUR",Active,Rajasthan,Nagaur,Nagaur,GOVERNMENT POLYTECHNIC COLLEGE NAGAUR BEHIND DTO OFFICE RIICO INDUSTRIAL AREA BIKANER ROAD NAGAUR RAJASTHAN PIN-341001,341001,27.005258,74.220573,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.nagaur.ac.in,info@nagaur.ac.in,admissions@nagaur.ac.in,placement@nagaur.ac.in,+91-80-061-1729,Computer Science Engineering (CSE),Diploma,48,240,2000,Rural,No,Yes
1-44639566671,1-44639566671,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, NAGAUR",Active,Rajasthan,Nagaur,Nagaur,GOVERNMENT POLYTECHNIC COLLEGE NAGAUR BEHIND DTO OFFICE RIICO INDUSTRIAL AREA BIKANER ROAD NAGAUR RAJASTHAN PIN-341001,341001,27.005258,74.220573,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.nagaur.ac.in,info@nagaur.ac.in,admissions@nagaur.ac.in,placement@nagaur.ac.in,+91-80-061-1729,Other Engineering Branches,Diploma,48,240,2000,Rural,No,Yes
