College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Civil Engineering,Diploma,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Mechanical Engineering,Diploma,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Mechanical Engineering,B.Tech,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Civil Engineering,B.Tech,30,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Computer Science Engineering (CSE),B.Tech,90,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Electronics & Communication Engineering (ECE),B.Tech,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Electrical Engineering,B.Tech,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Data Science,B.Tech,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Mining Engineering,Diploma,60,660,1989,Rural,No,Yes
1-44638345258,1-44638345258,U-0767,SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Nagpur,Nagpur,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",400074,21.160747,79.083322,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.suryodaya.ac.in,info@suryodaya.ac.in,admissions@suryodaya.ac.in,placement@suryodaya.ac.in,+91-80-465-7888,Electrical Engineering,Diploma,60,660,1989,Rural,No,Yes
