College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638274792,1-44638274792,U-0391,GOVERNMENT POLYTECHNIC,Active,Telangana,Nalgonda,Nalgonda,"SURVEY NO 213,OPPOSITE B.ED COLLEGE,PYLON COLONY, VIJAYAPURI NORTH, NAGARJUNA SAGAR",500824,17.072501,79.284904,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Civil Engineering,Diploma,60,120,1995,Rural,Yes,Yes
1-44638274792,1-44638274792,U-0391,GOVERNMENT POLYTECHNIC,Active,Telangana,Nalgonda,Nalgonda,"SURVEY NO 213,OPPOSITE B.ED COLLEGE,PYLON COLONY, VIJAYAPURI NORTH, NAGARJUNA SAGAR",500824,17.072501,79.284904,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electrical & Electronics Engineering (EEE),Diploma,60,120,1995,Rural,Yes,Yes
1-44638874634,1-44638874634,U-0961,AURORA'S TECHNOLOGICAL & MANAGEMENT ACADEMY,Active,Telangana,Nalgonda,Nalgonda,"PARVATHAPUR (V), GHATKESAR (M), RANGA REDDY DIST.,",500824,17.045901,79.264879,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,A,No,,Tier 3,http://www.aurorastechnologicalmanagement.ac.in,info@aurorastechnologicalmanagement.ac.in,admissions@aurorastechnologicalmanagement.ac.in,placement@aurorastechnologicalmanagement.ac.in,+91-80-352-3689,Computer Science Engineering (CSE),B.Tech,180,300,1980,Urban,Yes,Yes
1-44638874634,1-44638874634,U-0961,AURORA'S TECHNOLOGICAL & MANAGEMENT ACADEMY,Active,Telangana,Nalgonda,Nalgonda,"PARVATHAPUR (V), GHATKESAR (M), RANGA REDDY DIST.,",500824,17.045901,79.264879,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,A,No,,Tier 3,http://www.aurorastechnologicalmanagement.ac.in,info@aurorastechnologicalmanagement.ac.in,admissions@aurorastechnologicalmanagement.ac.in,placement@aurorastechnologicalmanagement.ac.in,+91-80-352-3689,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,300,1980,Urban,Yes,Yes
1-44639578210,1-44639578210,U-0062,AURORA'S POLYTECHNIC COLLEGE,Active,Telangana,Nalgonda,Nalgonda,BHONGIR,500824,17.07195,79.265622,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A+,No,,Tier 3,http://www.auroras.ac.in,info@auroras.ac.in,admissions@auroras.ac.in,placement@auroras.ac.in,+91-80-444-9262,Computer Science Engineering (CSE),Diploma,120,300,1981,Rural,No,Yes
1-44639578210,1-44639578210,U-0062,AURORA'S POLYTECHNIC COLLEGE,Active,Telangana,Nalgonda,Nalgonda,BHONGIR,500824,17.07195,79.265622,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A+,No,,Tier 3,http://www.auroras.ac.in,info@auroras.ac.in,admissions@auroras.ac.in,placement@auroras.ac.in,+91-80-444-9262,Other Engineering Branches,Diploma,60,300,1981,Rural,No,Yes
1-44639578210,1-44639578210,U-0062,AURORA'S POLYTECHNIC COLLEGE,Active,Telangana,Nalgonda,Nalgonda,BHONGIR,500824,17.07195,79.265622,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A+,No,,Tier 3,http://www.auroras.ac.in,info@auroras.ac.in,admissions@auroras.ac.in,placement@auroras.ac.in,+91-80-444-9262,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,300,1981,Rural,No,Yes
1-44639578210,1-44639578210,U-0062,AURORA'S POLYTECHNIC COLLEGE,Active,Telangana,Nalgonda,Nalgonda,BHONGIR,500824,17.07195,79.265622,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A+,No,,Tier 3,http://www.auroras.ac.in,info@auroras.ac.in,admissions@auroras.ac.in,placement@auroras.ac.in,+91-80-444-9262,Mining Engineering,Diploma,60,300,1981,Rural,No,Yes
1-44639998586,1-44639998586,U-0391,GOVERNMENT POLYTECHNIC NALGONDA,Active,Telangana,Nalgonda,Nalgonda,"OPP. INCOME TAX OFFICE,",500824,17.068146,79.265511,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A,No,,Tier 2,http://www.nalgonda.ac.in,info@nalgonda.ac.in,admissions@nalgonda.ac.in,placement@nalgonda.ac.in,+91-80-285-3613,Civil Engineering,Diploma,120,420,2022,Urban,No,Yes
1-44639998586,1-44639998586,U-0391,GOVERNMENT POLYTECHNIC NALGONDA,Active,Telangana,Nalgonda,Nalgonda,"OPP. INCOME TAX OFFICE,",500824,17.068146,79.265511,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A,No,,Tier 2,http://www.nalgonda.ac.in,info@nalgonda.ac.in,admissions@nalgonda.ac.in,placement@nalgonda.ac.in,+91-80-285-3613,Mechanical Engineering,Diploma,120,420,2022,Urban,No,Yes
