College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638132442,1-44638132442,U-0650,AERO AVIATION INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Namakkal,Namakkal,"AKKRAPATIYAN PALAYAM, KONNIYAR VILLAGE, ELACHIPALAYAM POST, TIRUCHENGODE TALUK.",600200,11.141651,78.663998,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.aeroaviation.ac.in,info@aeroaviation.ac.in,admissions@aeroaviation.ac.in,placement@aeroaviation.ac.in,+91-80-449-1565,Aeronautical Engineering,Diploma,30,60,1991,Urban,Yes,Yes
1-44638132442,1-44638132442,U-0650,AERO AVIATION INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Namakkal,Namakkal,"AKKRAPATIYAN PALAYAM, KONNIYAR VILLAGE, ELACHIPALAYAM POST, TIRUCHENGODE TALUK.",600200,11.141651,78.663998,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.aeroaviation.ac.in,info@aeroaviation.ac.in,admissions@aeroaviation.ac.in,placement@aeroaviation.ac.in,+91-80-449-1565,Other Engineering Branches,Diploma,30,60,1991,Urban,Yes,Yes
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Mechanical Engineering,Diploma,90,420,2019,Rural,No,No
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Civil Engineering,Diploma,30,420,2019,Rural,No,No
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Electrical & Electronics Engineering (EEE),Diploma,90,420,2019,Rural,No,No
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Electronics & Communication Engineering (ECE),Diploma,60,420,2019,Rural,No,No
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Computer Science Engineering (CSE),Diploma,90,420,2019,Rural,No,No
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Automobile Engineering,Diploma,30,420,2019,Rural,No,No
1-44639524741,1-44639524741,U-0650,MUTHAYAMMAL POLYTECHNIC INSTITUTION,Active,Tamil Nadu,Namakkal,Namakkal,"ATTUR MAIN ROAD, KAKKAVERI (PO) RASIPURAM TK, NAMAKKAL DT.TAMILNADU",600200,11.122603,78.652251,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.muthayammalinstitution.ac.in,info@muthayammalinstitution.ac.in,admissions@muthayammalinstitution.ac.in,placement@muthayammalinstitution.ac.in,+91-80-650-2242,Electrical Engineering,Diploma,30,420,2019,Rural,No,No
1-44639826005,1-44639826005,U-0584,SVS POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"R.PUDUPPALAYAM, MEL SATHAMPOOR ROAD,",600200,11.145027,78.658183,Private-Self Financing,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-590-7464,Civil Engineering,Diploma,30,300,1993,Urban,Yes,Yes
1-44639826005,1-44639826005,U-0584,SVS POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"R.PUDUPPALAYAM, MEL SATHAMPOOR ROAD,",600200,11.145027,78.658183,Private-Self Financing,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-590-7464,Mechanical Engineering,Diploma,60,300,1993,Urban,Yes,Yes
1-44639826005,1-44639826005,U-0584,SVS POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"R.PUDUPPALAYAM, MEL SATHAMPOOR ROAD,",600200,11.145027,78.658183,Private-Self Financing,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-590-7464,Electrical & Electronics Engineering (EEE),Diploma,60,300,1993,Urban,Yes,Yes
1-44639826005,1-44639826005,U-0584,SVS POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"R.PUDUPPALAYAM, MEL SATHAMPOOR ROAD,",600200,11.145027,78.658183,Private-Self Financing,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-590-7464,Electronics & Communication Engineering (ECE),Diploma,60,300,1993,Urban,Yes,Yes
1-44639826005,1-44639826005,U-0584,SVS POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"R.PUDUPPALAYAM, MEL SATHAMPOOR ROAD,",600200,11.145027,78.658183,Private-Self Financing,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-590-7464,Computer Science Engineering (CSE),Diploma,60,300,1993,Urban,Yes,Yes
1-44639826005,1-44639826005,U-0584,SVS POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"R.PUDUPPALAYAM, MEL SATHAMPOOR ROAD,",600200,11.145027,78.658183,Private-Self Financing,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-590-7464,Other Engineering Branches,Diploma,30,300,1993,Urban,Yes,Yes
1-44639485736,1-44639485736,U-0294,SRI RAGAVENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"ROTARY NAGAR, NEW PALLIPALAYAM ROAD, KOMARAPALAYAM, TIRUCHENGODU TALUK, NAMAKKAL DISTRICT.",600200,11.123198,78.654494,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.sriragavendra.ac.in,info@sriragavendra.ac.in,admissions@sriragavendra.ac.in,placement@sriragavendra.ac.in,+91-80-675-1856,Civil Engineering,Diploma,30,390,1994,Urban,Yes,Yes
1-44639485736,1-44639485736,U-0294,SRI RAGAVENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"ROTARY NAGAR, NEW PALLIPALAYAM ROAD, KOMARAPALAYAM, TIRUCHENGODU TALUK, NAMAKKAL DISTRICT.",600200,11.123198,78.654494,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.sriragavendra.ac.in,info@sriragavendra.ac.in,admissions@sriragavendra.ac.in,placement@sriragavendra.ac.in,+91-80-675-1856,Mechanical Engineering,Diploma,90,390,1994,Urban,Yes,Yes
1-44639485736,1-44639485736,U-0294,SRI RAGAVENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"ROTARY NAGAR, NEW PALLIPALAYAM ROAD, KOMARAPALAYAM, TIRUCHENGODU TALUK, NAMAKKAL DISTRICT.",600200,11.123198,78.654494,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.sriragavendra.ac.in,info@sriragavendra.ac.in,admissions@sriragavendra.ac.in,placement@sriragavendra.ac.in,+91-80-675-1856,Electrical & Electronics Engineering (EEE),Diploma,90,390,1994,Urban,Yes,Yes
1-44639485736,1-44639485736,U-0294,SRI RAGAVENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"ROTARY NAGAR, NEW PALLIPALAYAM ROAD, KOMARAPALAYAM, TIRUCHENGODU TALUK, NAMAKKAL DISTRICT.",600200,11.123198,78.654494,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.sriragavendra.ac.in,info@sriragavendra.ac.in,admissions@sriragavendra.ac.in,placement@sriragavendra.ac.in,+91-80-675-1856,Electronics & Communication Engineering (ECE),Diploma,60,390,1994,Urban,Yes,Yes
1-44639485736,1-44639485736,U-0294,SRI RAGAVENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"ROTARY NAGAR, NEW PALLIPALAYAM ROAD, KOMARAPALAYAM, TIRUCHENGODU TALUK, NAMAKKAL DISTRICT.",600200,11.123198,78.654494,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.sriragavendra.ac.in,info@sriragavendra.ac.in,admissions@sriragavendra.ac.in,placement@sriragavendra.ac.in,+91-80-675-1856,Computer Science Engineering (CSE),Diploma,60,390,1994,Urban,Yes,Yes
1-44639485736,1-44639485736,U-0294,SRI RAGAVENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"ROTARY NAGAR, NEW PALLIPALAYAM ROAD, KOMARAPALAYAM, TIRUCHENGODU TALUK, NAMAKKAL DISTRICT.",600200,11.123198,78.654494,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.sriragavendra.ac.in,info@sriragavendra.ac.in,admissions@sriragavendra.ac.in,placement@sriragavendra.ac.in,+91-80-675-1856,Automobile Engineering,Diploma,60,390,1994,Urban,Yes,Yes
1-44640274667,1-44640274667,U-0650,MAHENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"MAHENDIRAPURI,MALLASAMUDRAM(W),VADUGAPALAYAM(POST), TIRUCHENGODE(T.K),NAMMAKKAL(D.T)",600200,11.138495,78.666956,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.mahendra.ac.in,info@mahendra.ac.in,admissions@mahendra.ac.in,placement@mahendra.ac.in,+91-80-316-7808,Civil Engineering,Diploma,60,480,2012,Rural,Yes,Yes
1-44640274667,1-44640274667,U-0650,MAHENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"MAHENDIRAPURI,MALLASAMUDRAM(W),VADUGAPALAYAM(POST), TIRUCHENGODE(T.K),NAMMAKKAL(D.T)",600200,11.138495,78.666956,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.mahendra.ac.in,info@mahendra.ac.in,admissions@mahendra.ac.in,placement@mahendra.ac.in,+91-80-316-7808,Mechanical Engineering,Diploma,180,480,2012,Rural,Yes,Yes
1-44640274667,1-44640274667,U-0650,MAHENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"MAHENDIRAPURI,MALLASAMUDRAM(W),VADUGAPALAYAM(POST), TIRUCHENGODE(T.K),NAMMAKKAL(D.T)",600200,11.138495,78.666956,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.mahendra.ac.in,info@mahendra.ac.in,admissions@mahendra.ac.in,placement@mahendra.ac.in,+91-80-316-7808,Electrical & Electronics Engineering (EEE),Diploma,60,480,2012,Rural,Yes,Yes
1-44640274667,1-44640274667,U-0650,MAHENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"MAHENDIRAPURI,MALLASAMUDRAM(W),VADUGAPALAYAM(POST), TIRUCHENGODE(T.K),NAMMAKKAL(D.T)",600200,11.138495,78.666956,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.mahendra.ac.in,info@mahendra.ac.in,admissions@mahendra.ac.in,placement@mahendra.ac.in,+91-80-316-7808,Electronics & Communication Engineering (ECE),Diploma,60,480,2012,Rural,Yes,Yes
1-44640274667,1-44640274667,U-0650,MAHENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"MAHENDIRAPURI,MALLASAMUDRAM(W),VADUGAPALAYAM(POST), TIRUCHENGODE(T.K),NAMMAKKAL(D.T)",600200,11.138495,78.666956,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.mahendra.ac.in,info@mahendra.ac.in,admissions@mahendra.ac.in,placement@mahendra.ac.in,+91-80-316-7808,Computer Science Engineering (CSE),Diploma,60,480,2012,Rural,Yes,Yes
1-44640274667,1-44640274667,U-0650,MAHENDRA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"MAHENDIRAPURI,MALLASAMUDRAM(W),VADUGAPALAYAM(POST), TIRUCHENGODE(T.K),NAMMAKKAL(D.T)",600200,11.138495,78.666956,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.mahendra.ac.in,info@mahendra.ac.in,admissions@mahendra.ac.in,placement@mahendra.ac.in,+91-80-316-7808,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,480,2012,Rural,Yes,Yes
1-44640198054,1-44640198054,U-0682,PAAVAI ENGINEERING COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"NH-7, PAAVAI NAGAR, PACHAL, NAMAKKAL PIN - 637 018 TAMILNADU",600200,11.134003,78.659428,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.paavai.ac.in,info@paavai.ac.in,admissions@paavai.ac.in,placement@paavai.ac.in,+91-80-128-4112,Information Technology (IT),B.Tech,360,1932,1982,Urban,Yes,Yes
1-44640198054,1-44640198054,U-0682,PAAVAI ENGINEERING COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"NH-7, PAAVAI NAGAR, PACHAL, NAMAKKAL PIN - 637 018 TAMILNADU",600200,11.134003,78.659428,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.paavai.ac.in,info@paavai.ac.in,admissions@paavai.ac.in,placement@paavai.ac.in,+91-80-128-4112,Electrical & Electronics Engineering (EEE),B.Tech,60,1932,1982,Urban,Yes,Yes
1-44640198054,1-44640198054,U-0682,PAAVAI ENGINEERING COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"NH-7, PAAVAI NAGAR, PACHAL, NAMAKKAL PIN - 637 018 TAMILNADU",600200,11.134003,78.659428,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.paavai.ac.in,info@paavai.ac.in,admissions@paavai.ac.in,placement@paavai.ac.in,+91-80-128-4112,Mechanical Engineering,B.Tech,120,1932,1982,Urban,Yes,Yes
1-44640198054,1-44640198054,U-0682,PAAVAI ENGINEERING COLLEGE,Active,Tamil Nadu,Namakkal,Namakkal,"NH-7, PAAVAI NAGAR, PACHAL, NAMAKKAL PIN - 637 018 TAMILNADU",600200,11.134003,78.659428,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.paavai.ac.in,info@paavai.ac.in,admissions@paavai.ac.in,placement@paavai.ac.in,+91-80-128-4112,Civil Engineering,B.Tech,60,1932,1982,Urban,Yes,Yes
