College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Computer Science Engineering (CSE),Diploma,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Mechanical Engineering,Diploma,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Electrical Engineering,Diploma,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Information Technology (IT),Diploma,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Civil Engineering,Diploma,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Computer Science Engineering (CSE),B.Tech,120,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Information Technology (IT),B.Tech,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Other Engineering Branches,B.Tech,60,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Civil Engineering,B.Tech,30,630,1998,Rural,Yes,Yes
1-44637283372,1-44637283372,U-0767,JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Maharashtra,Nanded,Nanded,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,400966,19.127717,77.310654,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.jijaumanagement.ac.in,info@jijaumanagement.ac.in,admissions@jijaumanagement.ac.in,placement@jijaumanagement.ac.in,+91-80-394-9885,Electronics & Communication Engineering (ECE),B.Tech,60,630,1998,Rural,Yes,Yes
