College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Computer Science Engineering (CSE),Diploma,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Mechanical Engineering,Diploma,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Electrical Engineering,Diploma,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Other Engineering Branches,Diploma,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Civil Engineering,Diploma,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Electronics & Communication Engineering (ECE),B.Tech,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Civil Engineering,B.Tech,60,480,1985,Urban,Yes,Yes
1-44637274359,1-44637274359,U-0767,MKD INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",400245,19.739535,75.694958,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.mkd.ac.in,info@mkd.ac.in,admissions@mkd.ac.in,placement@mkd.ac.in,+91-80-337-0246,Computer Science Engineering (CSE),B.Tech,60,480,1985,Urban,Yes,Yes
1-44640981839,1-44640981839,U-0767,GOVERNMENT POLYTECHNIC NANDURBAR,Active,Maharashtra,Nandurbar,Nandurbar,"MAUJE HOLE TARFE HAVELI,NEAR DUBKESHWAR MAHADEV MANDIR NANDURBAR",400245,19.759408,75.717122,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.nandurbar.ac.in,info@nandurbar.ac.in,admissions@nandurbar.ac.in,placement@nandurbar.ac.in,+91-80-170-5236,Mechanical Engineering,Diploma,60,240,1999,Rural,Yes,Yes
1-44640981839,1-44640981839,U-0767,GOVERNMENT POLYTECHNIC NANDURBAR,Active,Maharashtra,Nandurbar,Nandurbar,"MAUJE HOLE TARFE HAVELI,NEAR DUBKESHWAR MAHADEV MANDIR NANDURBAR",400245,19.759408,75.717122,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.nandurbar.ac.in,info@nandurbar.ac.in,admissions@nandurbar.ac.in,placement@nandurbar.ac.in,+91-80-170-5236,Electrical Engineering,Diploma,60,240,1999,Rural,Yes,Yes
1-44640981839,1-44640981839,U-0767,GOVERNMENT POLYTECHNIC NANDURBAR,Active,Maharashtra,Nandurbar,Nandurbar,"MAUJE HOLE TARFE HAVELI,NEAR DUBKESHWAR MAHADEV MANDIR NANDURBAR",400245,19.759408,75.717122,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.nandurbar.ac.in,info@nandurbar.ac.in,admissions@nandurbar.ac.in,placement@nandurbar.ac.in,+91-80-170-5236,Computer Science Engineering (CSE),Diploma,60,240,1999,Rural,Yes,Yes
1-44640981839,1-44640981839,U-0767,GOVERNMENT POLYTECHNIC NANDURBAR,Active,Maharashtra,Nandurbar,Nandurbar,"MAUJE HOLE TARFE HAVELI,NEAR DUBKESHWAR MAHADEV MANDIR NANDURBAR",400245,19.759408,75.717122,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.nandurbar.ac.in,info@nandurbar.ac.in,admissions@nandurbar.ac.in,placement@nandurbar.ac.in,+91-80-170-5236,Civil Engineering,Diploma,60,240,1999,Rural,Yes,Yes
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Electrical Engineering,Diploma,60,360,1996,Urban,No,No
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Mechanical Engineering,Diploma,60,360,1996,Urban,No,No
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Computer Science Engineering (CSE),Diploma,60,360,1996,Urban,No,No
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Civil Engineering,Diploma,60,360,1996,Urban,No,No
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Mechanical Engineering,B.Tech,30,360,1996,Urban,No,No
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Electrical Engineering,B.Tech,30,360,1996,Urban,No,No
1-44641374474,1-44641374474,U-0767,JAMIA INSTITUTE OF TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"MOLGI ROAD, AMLIBARI FATA",400245,19.747614,75.730577,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.jamia.ac.in,info@jamia.ac.in,admissions@jamia.ac.in,placement@jamia.ac.in,+91-80-675-8890,Civil Engineering,B.Tech,60,360,1996,Urban,No,No
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Other Engineering Branches,B.Tech,30,348,1990,Urban,Yes,Yes
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Electronics & Communication Engineering (ECE),B.Tech,48,348,1990,Urban,Yes,Yes
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Civil Engineering,B.Tech,60,348,1990,Urban,Yes,Yes
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Mechanical Engineering,B.Tech,30,348,1990,Urban,Yes,Yes
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Computer Science Engineering (CSE),B.Tech,90,348,1990,Urban,Yes,Yes
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Electrical Engineering,B.Tech,60,348,1990,Urban,Yes,Yes
1-44642267201,1-44642267201,U-0122,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA",Active,Maharashtra,Nandurbar,Nandurbar,"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S D. N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST : NANDURBAR , MAHARASHTRA STATE,  PIN : 425409.",425409,19.744623,75.709613,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.poojyasaneguruji.ac.in,info@poojyasaneguruji.ac.in,admissions@poojyasaneguruji.ac.in,placement@poojyasaneguruji.ac.in,+91-80-550-4356,Data Science,B.Tech,30,348,1990,Urban,Yes,Yes
1-44643190345,1-44643190345,U-0767,P. G. COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Maharashtra,Nandurbar,Nandurbar,"P. G. KNOWLEDGE CITY  SANT BHUMI NAGZIRI,CHAUPALE",400245,19.749107,75.700792,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.pg.ac.in,info@pg.ac.in,admissions@pg.ac.in,placement@pg.ac.in,+91-80-738-4876,Civil Engineering,Diploma,60,540,2019,Urban,Yes,Yes
