College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Mechanical Engineering,Diploma,120,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Computer Science Engineering (CSE),Diploma,60,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Electrical Engineering,Diploma,60,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Civil Engineering,Diploma,120,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Electronics & Communication Engineering (ECE),Diploma,30,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Automobile Engineering,Diploma,30,420,1987,Urban,Yes,Yes
1-44638387669,1-44638387669,U-0920,SANDIP INSTITUE OF ENGINEERING & MANAGEMENT,Active,Maharashtra,Nashik,Nashik,"TRIMBAK ROAD, MAHIRAVANI",400015,20.002966,73.789692,Private-Self Financing,"University of Pune, Pune",Approved,Approved,B+,No,,Tier 3,http://www.sandipinstituemanagement.ac.in,info@sandipinstituemanagement.ac.in,admissions@sandipinstituemanagement.ac.in,placement@sandipinstituemanagement.ac.in,+91-80-068-1215,Computer Science Engineering (CSE),B.Tech,180,600,2007,Rural,Yes,Yes
1-44638387669,1-44638387669,U-0920,SANDIP INSTITUE OF ENGINEERING & MANAGEMENT,Active,Maharashtra,Nashik,Nashik,"TRIMBAK ROAD, MAHIRAVANI",400015,20.002966,73.789692,Private-Self Financing,"University of Pune, Pune",Approved,Approved,B+,No,,Tier 3,http://www.sandipinstituemanagement.ac.in,info@sandipinstituemanagement.ac.in,admissions@sandipinstituemanagement.ac.in,placement@sandipinstituemanagement.ac.in,+91-80-068-1215,Electrical Engineering,B.Tech,60,600,2007,Rural,Yes,Yes
1-44638387669,1-44638387669,U-0920,SANDIP INSTITUE OF ENGINEERING & MANAGEMENT,Active,Maharashtra,Nashik,Nashik,"TRIMBAK ROAD, MAHIRAVANI",400015,20.002966,73.789692,Private-Self Financing,"University of Pune, Pune",Approved,Approved,B+,No,,Tier 3,http://www.sandipinstituemanagement.ac.in,info@sandipinstituemanagement.ac.in,admissions@sandipinstituemanagement.ac.in,placement@sandipinstituemanagement.ac.in,+91-80-068-1215,Civil Engineering,B.Tech,60,600,2007,Rural,Yes,Yes
1-44638387669,1-44638387669,U-0920,SANDIP INSTITUE OF ENGINEERING & MANAGEMENT,Active,Maharashtra,Nashik,Nashik,"TRIMBAK ROAD, MAHIRAVANI",400015,20.002966,73.789692,Private-Self Financing,"University of Pune, Pune",Approved,Approved,B+,No,,Tier 3,http://www.sandipinstituemanagement.ac.in,info@sandipinstituemanagement.ac.in,admissions@sandipinstituemanagement.ac.in,placement@sandipinstituemanagement.ac.in,+91-80-068-1215,Electronics & Communication Engineering (ECE),B.Tech,90,600,2007,Rural,Yes,Yes
