College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638569194,1-44638569194,U-0183,PRIME COLLEGE OF DIPLOMA,Active,Gujarat,Navsari,Navsari,"278, VILL. MANGROL,MAROLI-UBHRAT ROAD, TA. JALALPORE, DIST. NAVSARI.",380264,22.244785,71.181713,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.primediploma.ac.in,info@primediploma.ac.in,admissions@primediploma.ac.in,placement@primediploma.ac.in,+91-80-255-2379,Mechanical Engineering,Diploma,60,270,2001,Urban,Yes,Yes
1-44638569194,1-44638569194,U-0183,PRIME COLLEGE OF DIPLOMA,Active,Gujarat,Navsari,Navsari,"278, VILL. MANGROL,MAROLI-UBHRAT ROAD, TA. JALALPORE, DIST. NAVSARI.",380264,22.244785,71.181713,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.primediploma.ac.in,info@primediploma.ac.in,admissions@primediploma.ac.in,placement@primediploma.ac.in,+91-80-255-2379,Civil Engineering,Diploma,60,270,2001,Urban,Yes,Yes
1-44638569194,1-44638569194,U-0183,PRIME COLLEGE OF DIPLOMA,Active,Gujarat,Navsari,Navsari,"278, VILL. MANGROL,MAROLI-UBHRAT ROAD, TA. JALALPORE, DIST. NAVSARI.",380264,22.244785,71.181713,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.primediploma.ac.in,info@primediploma.ac.in,admissions@primediploma.ac.in,placement@primediploma.ac.in,+91-80-255-2379,Chemical Engineering,Diploma,60,270,2001,Urban,Yes,Yes
1-44638569194,1-44638569194,U-0183,PRIME COLLEGE OF DIPLOMA,Active,Gujarat,Navsari,Navsari,"278, VILL. MANGROL,MAROLI-UBHRAT ROAD, TA. JALALPORE, DIST. NAVSARI.",380264,22.244785,71.181713,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.primediploma.ac.in,info@primediploma.ac.in,admissions@primediploma.ac.in,placement@primediploma.ac.in,+91-80-255-2379,Computer Science Engineering (CSE),Diploma,60,270,2001,Urban,Yes,Yes
1-44638569194,1-44638569194,U-0183,PRIME COLLEGE OF DIPLOMA,Active,Gujarat,Navsari,Navsari,"278, VILL. MANGROL,MAROLI-UBHRAT ROAD, TA. JALALPORE, DIST. NAVSARI.",380264,22.244785,71.181713,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.primediploma.ac.in,info@primediploma.ac.in,admissions@primediploma.ac.in,placement@primediploma.ac.in,+91-80-255-2379,Electrical Engineering,Diploma,30,270,2001,Urban,Yes,Yes
1-44638127462,1-44638127462,U-0183,PRIME INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Navsari,Navsari,"278 VILL. MANGROL,JALALPORE,NAVSARI(GUJARAT)",380264,22.262013,71.191499,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,No,,Tier 3,http://www.prime.ac.in,info@prime.ac.in,admissions@prime.ac.in,placement@prime.ac.in,+91-80-977-8298,Mechanical Engineering,B.Tech,30,210,2002,Rural,Yes,Yes
1-44638127462,1-44638127462,U-0183,PRIME INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Navsari,Navsari,"278 VILL. MANGROL,JALALPORE,NAVSARI(GUJARAT)",380264,22.262013,71.191499,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,No,,Tier 3,http://www.prime.ac.in,info@prime.ac.in,admissions@prime.ac.in,placement@prime.ac.in,+91-80-977-8298,Civil Engineering,B.Tech,30,210,2002,Rural,Yes,Yes
1-44638127462,1-44638127462,U-0183,PRIME INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Navsari,Navsari,"278 VILL. MANGROL,JALALPORE,NAVSARI(GUJARAT)",380264,22.262013,71.191499,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,No,,Tier 3,http://www.prime.ac.in,info@prime.ac.in,admissions@prime.ac.in,placement@prime.ac.in,+91-80-977-8298,Chemical Engineering,B.Tech,60,210,2002,Rural,Yes,Yes
1-44638127462,1-44638127462,U-0183,PRIME INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Navsari,Navsari,"278 VILL. MANGROL,JALALPORE,NAVSARI(GUJARAT)",380264,22.262013,71.191499,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,No,,Tier 3,http://www.prime.ac.in,info@prime.ac.in,admissions@prime.ac.in,placement@prime.ac.in,+91-80-977-8298,Electrical Engineering,B.Tech,30,210,2002,Rural,Yes,Yes
1-44638127462,1-44638127462,U-0183,PRIME INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Navsari,Navsari,"278 VILL. MANGROL,JALALPORE,NAVSARI(GUJARAT)",380264,22.262013,71.191499,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,No,,Tier 3,http://www.prime.ac.in,info@prime.ac.in,admissions@prime.ac.in,placement@prime.ac.in,+91-80-977-8298,Computer Science Engineering (CSE),B.Tech,60,210,2002,Rural,Yes,Yes
1-44640141391,1-44640141391,U-0183,VALLABH BUDHI POLYTECHNIC,Active,Gujarat,Navsari,Navsari,"NPE CAMPUS, BHANUNAGAR ERU-AAT ROAD, TA-JALALPOR",380264,22.243486,71.184732,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,No,,Tier 3,http://www.vallabhbudhi.ac.in,info@vallabhbudhi.ac.in,admissions@vallabhbudhi.ac.in,placement@vallabhbudhi.ac.in,+91-80-200-7630,Civil Engineering,Diploma,45,225,1997,Urban,No,Yes
1-44640141391,1-44640141391,U-0183,VALLABH BUDHI POLYTECHNIC,Active,Gujarat,Navsari,Navsari,"NPE CAMPUS, BHANUNAGAR ERU-AAT ROAD, TA-JALALPOR",380264,22.243486,71.184732,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,No,,Tier 3,http://www.vallabhbudhi.ac.in,info@vallabhbudhi.ac.in,admissions@vallabhbudhi.ac.in,placement@vallabhbudhi.ac.in,+91-80-200-7630,Mechanical Engineering,Diploma,45,225,1997,Urban,No,Yes
1-44640141391,1-44640141391,U-0183,VALLABH BUDHI POLYTECHNIC,Active,Gujarat,Navsari,Navsari,"NPE CAMPUS, BHANUNAGAR ERU-AAT ROAD, TA-JALALPOR",380264,22.243486,71.184732,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,No,,Tier 3,http://www.vallabhbudhi.ac.in,info@vallabhbudhi.ac.in,admissions@vallabhbudhi.ac.in,placement@vallabhbudhi.ac.in,+91-80-200-7630,Electrical Engineering,Diploma,45,225,1997,Urban,No,Yes
