College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639564721,1-44639564721,U-0949,GOVERNMENT POLYTECHNIC NAYAGARH,Active,Odisha,Nayagarh,Nayagarh,AT-GHASAIDEIPUR PO-ODAGAON ODAGAON NAYAGARH,751446,20.95582,85.100103,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-011-6746,Civil Engineering,Diploma,60,210,1998,Urban,Yes,Yes
1-44639564721,1-44639564721,U-0949,GOVERNMENT POLYTECHNIC NAYAGARH,Active,Odisha,Nayagarh,Nayagarh,AT-GHASAIDEIPUR PO-ODAGAON ODAGAON NAYAGARH,751446,20.95582,85.100103,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-011-6746,Electrical Engineering,Diploma,60,210,1998,Urban,Yes,Yes
1-44639564721,1-44639564721,U-0949,GOVERNMENT POLYTECHNIC NAYAGARH,Active,Odisha,Nayagarh,Nayagarh,AT-GHASAIDEIPUR PO-ODAGAON ODAGAON NAYAGARH,751446,20.95582,85.100103,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-011-6746,Mechanical Engineering,Diploma,60,210,1998,Urban,Yes,Yes
1-44639564721,1-44639564721,U-0949,GOVERNMENT POLYTECHNIC NAYAGARH,Active,Odisha,Nayagarh,Nayagarh,AT-GHASAIDEIPUR PO-ODAGAON ODAGAON NAYAGARH,751446,20.95582,85.100103,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B++,Yes,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-011-6746,Computer Science Engineering (CSE),Diploma,30,210,1998,Urban,Yes,Yes
1-44639534231,1-44639534231,U-0072,NAYAGARH INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Nayagarh,Nayagarh,VIDYA VIHAR PANIPOILA,751446,20.962994,85.08574,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,No,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-312-5678,Civil Engineering,Diploma,51,204,2002,Rural,Yes,Yes
1-44639534231,1-44639534231,U-0072,NAYAGARH INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Nayagarh,Nayagarh,VIDYA VIHAR PANIPOILA,751446,20.962994,85.08574,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,No,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-312-5678,Electrical Engineering,Diploma,51,204,2002,Rural,Yes,Yes
1-44639534231,1-44639534231,U-0072,NAYAGARH INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Nayagarh,Nayagarh,VIDYA VIHAR PANIPOILA,751446,20.962994,85.08574,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,No,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-312-5678,Mechanical Engineering,Diploma,51,204,2002,Rural,Yes,Yes
1-44639534231,1-44639534231,U-0072,NAYAGARH INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),Active,Odisha,Nayagarh,Nayagarh,VIDYA VIHAR PANIPOILA,751446,20.962994,85.08574,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,A+,No,,Tier 3,http://www.nayagarh.ac.in,info@nayagarh.ac.in,admissions@nayagarh.ac.in,placement@nayagarh.ac.in,+91-80-312-5678,Electronics & Communication Engineering (ECE),Diploma,51,204,2002,Rural,Yes,Yes
1-44640645777,1-44640645777,U-0949,SRI POLYTECHNIC,Active,Odisha,Nayagarh,Nayagarh,"AT/PO - KOMAND, DIST - NAYAGARH, PIN - 752090",752090,20.934517,85.101895,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B+,No,,Tier 3,http://www.sri.ac.in,info@sri.ac.in,admissions@sri.ac.in,placement@sri.ac.in,+91-80-118-1589,Automobile Engineering,Diploma,30,510,2010,Rural,Yes,Yes
1-44640645777,1-44640645777,U-0949,SRI POLYTECHNIC,Active,Odisha,Nayagarh,Nayagarh,"AT/PO - KOMAND, DIST - NAYAGARH, PIN - 752090",752090,20.934517,85.101895,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B+,No,,Tier 3,http://www.sri.ac.in,info@sri.ac.in,admissions@sri.ac.in,placement@sri.ac.in,+91-80-118-1589,Electrical Engineering,Diploma,150,510,2010,Rural,Yes,Yes
