College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Computer Science Engineering (CSE),M.Tech,9,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Electronics & Communication Engineering (ECE),B.Tech,60,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Electrical & Electronics Engineering (EEE),B.Tech,30,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Computer Science Engineering (CSE),B.Tech,90,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Mechanical Engineering,B.Tech,30,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,279,1983,Urban,Yes,Yes
1-44640051705,1-44640051705,U-0359,SPKM INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,Active,Andhra Pradesh,Nellore,Nellore,"8-282,  TIRUPATI ROAD",500172,14.425806,79.992016,Government,None,Approved,Approved,B,No,,Tier 3,http://www.spkmindianhandloom.ac.in,info@spkmindianhandloom.ac.in,admissions@spkmindianhandloom.ac.in,placement@spkmindianhandloom.ac.in,+91-80-134-4675,Other Engineering Branches,Diploma,60,60,2007,Urban,Yes,Yes
1-44639830506,1-44639830506,U-0062,"GOVERNMENT POLYTECHNIC,KAVALI,NELLORE DIST ANDHRAPRADESH",Active,Andhra Pradesh,Nellore,Nellore,HTTPS://GOVTPOLYKAVALI.AC.IN/,500172,14.452881,79.990182,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B,No,,Tier 3,http://www.polytechnickavalinelloredistandhrapradesh.ac.in,info@polytechnickavalinelloredistandhrapradesh.ac.in,admissions@polytechnickavalinelloredistandhrapradesh.ac.in,placement@polytechnickavalinelloredistandhrapradesh.ac.in,+91-80-270-0567,Electrical & Electronics Engineering (EEE),Diploma,60,120,1984,Rural,Yes,Yes
1-44639830506,1-44639830506,U-0062,"GOVERNMENT POLYTECHNIC,KAVALI,NELLORE DIST ANDHRAPRADESH",Active,Andhra Pradesh,Nellore,Nellore,HTTPS://GOVTPOLYKAVALI.AC.IN/,500172,14.452881,79.990182,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B,No,,Tier 3,http://www.polytechnickavalinelloredistandhrapradesh.ac.in,info@polytechnickavalinelloredistandhrapradesh.ac.in,admissions@polytechnickavalinelloredistandhrapradesh.ac.in,placement@polytechnickavalinelloredistandhrapradesh.ac.in,+91-80-270-0567,Civil Engineering,Diploma,60,120,1984,Rural,Yes,Yes
1-44639823226,1-44639823226,U-0062,GOVERNMENT POLYTECHNIC,Active,Andhra Pradesh,Nellore,Nellore,"TILAK NAGAR, GUDUR -524101 SPSR NELLORE(DIST)",524101,14.457601,80.003004,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Civil Engineering,Diploma,60,240,1995,Rural,Yes,Yes
1-44639823226,1-44639823226,U-0062,GOVERNMENT POLYTECHNIC,Active,Andhra Pradesh,Nellore,Nellore,"TILAK NAGAR, GUDUR -524101 SPSR NELLORE(DIST)",524101,14.457601,80.003004,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electrical & Electronics Engineering (EEE),Diploma,60,240,1995,Rural,Yes,Yes
1-44639823226,1-44639823226,U-0062,GOVERNMENT POLYTECHNIC,Active,Andhra Pradesh,Nellore,Nellore,"TILAK NAGAR, GUDUR -524101 SPSR NELLORE(DIST)",524101,14.457601,80.003004,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Mechanical Engineering,Diploma,60,240,1995,Rural,Yes,Yes
