College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639967535,1-44639967535,U-0650,NPA CENTENARY POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,SAKTHI MALAI ROAD,600519,11.142978,78.64432,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.npacentenary.ac.in,info@npacentenary.ac.in,admissions@npacentenary.ac.in,placement@npacentenary.ac.in,+91-80-504-7983,Electrical & Electronics Engineering (EEE),Diploma,60,240,1998,Rural,No,Yes
1-44639967535,1-44639967535,U-0650,NPA CENTENARY POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,SAKTHI MALAI ROAD,600519,11.142978,78.64432,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.npacentenary.ac.in,info@npacentenary.ac.in,admissions@npacentenary.ac.in,placement@npacentenary.ac.in,+91-80-504-7983,Computer Science Engineering (CSE),Diploma,60,240,1998,Rural,No,Yes
1-44639967535,1-44639967535,U-0650,NPA CENTENARY POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,SAKTHI MALAI ROAD,600519,11.142978,78.64432,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.npacentenary.ac.in,info@npacentenary.ac.in,admissions@npacentenary.ac.in,placement@npacentenary.ac.in,+91-80-504-7983,Automobile Engineering,Diploma,60,240,1998,Rural,No,Yes
1-44639967535,1-44639967535,U-0650,NPA CENTENARY POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,SAKTHI MALAI ROAD,600519,11.142978,78.64432,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.npacentenary.ac.in,info@npacentenary.ac.in,admissions@npacentenary.ac.in,placement@npacentenary.ac.in,+91-80-504-7983,Mechanical Engineering,Diploma,60,240,1998,Rural,No,Yes
1-44640254207,1-44640254207,U-0294,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,FINGER POST UDHAGAMANDALAM NILGIRIS,600519,11.117425,78.664392,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Civil Engineering,Diploma,90,430,2005,Urban,Yes,Yes
1-44640254207,1-44640254207,U-0294,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,FINGER POST UDHAGAMANDALAM NILGIRIS,600519,11.117425,78.664392,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Mechanical Engineering,Diploma,100,430,2005,Urban,Yes,Yes
1-44640254207,1-44640254207,U-0294,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,FINGER POST UDHAGAMANDALAM NILGIRIS,600519,11.117425,78.664392,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electrical & Electronics Engineering (EEE),Diploma,100,430,2005,Urban,Yes,Yes
1-44640254207,1-44640254207,U-0294,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,FINGER POST UDHAGAMANDALAM NILGIRIS,600519,11.117425,78.664392,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electronics & Communication Engineering (ECE),Diploma,30,430,2005,Urban,Yes,Yes
1-44640254207,1-44640254207,U-0294,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Nilgiris,Nilgiris,FINGER POST UDHAGAMANDALAM NILGIRIS,600519,11.117425,78.664392,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Other Engineering Branches,Diploma,110,430,2005,Urban,Yes,Yes
1-44643335159,1-44643335159,U-0682,CSI COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nilgiris,Nilgiris,"CSI COLLEGE OF ENGINEERING KETTI VALLEY THE NILGIRIS-643 215. TAMILNADU,SOUTH INDIA.",600519,11.132479,78.642794,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.csi.ac.in,info@csi.ac.in,admissions@csi.ac.in,placement@csi.ac.in,+91-80-064-4773,Mechanical Engineering,B.Tech,30,438,1998,Urban,No,Yes
1-44643335159,1-44643335159,U-0682,CSI COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nilgiris,Nilgiris,"CSI COLLEGE OF ENGINEERING KETTI VALLEY THE NILGIRIS-643 215. TAMILNADU,SOUTH INDIA.",600519,11.132479,78.642794,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.csi.ac.in,info@csi.ac.in,admissions@csi.ac.in,placement@csi.ac.in,+91-80-064-4773,Computer Science Engineering (CSE),B.Tech,120,438,1998,Urban,No,Yes
1-44643335159,1-44643335159,U-0682,CSI COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nilgiris,Nilgiris,"CSI COLLEGE OF ENGINEERING KETTI VALLEY THE NILGIRIS-643 215. TAMILNADU,SOUTH INDIA.",600519,11.132479,78.642794,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.csi.ac.in,info@csi.ac.in,admissions@csi.ac.in,placement@csi.ac.in,+91-80-064-4773,Information Technology (IT),B.Tech,60,438,1998,Urban,No,Yes
1-44643335159,1-44643335159,U-0682,CSI COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nilgiris,Nilgiris,"CSI COLLEGE OF ENGINEERING KETTI VALLEY THE NILGIRIS-643 215. TAMILNADU,SOUTH INDIA.",600519,11.132479,78.642794,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.csi.ac.in,info@csi.ac.in,admissions@csi.ac.in,placement@csi.ac.in,+91-80-064-4773,Electronics & Communication Engineering (ECE),B.Tech,30,438,1998,Urban,No,Yes
1-44643335159,1-44643335159,U-0682,CSI COLLEGE OF ENGINEERING,Active,Tamil Nadu,Nilgiris,Nilgiris,"CSI COLLEGE OF ENGINEERING KETTI VALLEY THE NILGIRIS-643 215. TAMILNADU,SOUTH INDIA.",600519,11.132479,78.642794,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.csi.ac.in,info@csi.ac.in,admissions@csi.ac.in,placement@csi.ac.in,+91-80-064-4773,Computer Science Engineering (CSE),M.Tech,18,438,1998,Urban,No,Yes
