College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639347212,1-44639347212,U-0391,GOVERNMENT POLYTECHNIC NANDIPET,Active,Telangana,Nizamabad,Nizamabad,NANDIPET,500649,18.692242,78.112775,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.nandipet.ac.in,info@nandipet.ac.in,admissions@nandipet.ac.in,placement@nandipet.ac.in,+91-80-666-9175,Mechanical Engineering,Diploma,60,120,2007,Urban,Yes,Yes
1-44639347212,1-44639347212,U-0391,GOVERNMENT POLYTECHNIC NANDIPET,Active,Telangana,Nizamabad,Nizamabad,NANDIPET,500649,18.692242,78.112775,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.nandipet.ac.in,info@nandipet.ac.in,admissions@nandipet.ac.in,placement@nandipet.ac.in,+91-80-666-9175,Electronics & Communication Engineering (ECE),Diploma,60,120,2007,Urban,Yes,Yes
1-44639463513,1-44639463513,U-0391,GOVERNMENT POLYTECHNIC NIZAMABAD,Active,Telangana,Nizamabad,Nizamabad,KANTESHWAR,500649,18.677764,78.10985,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.nizamabad.ac.in,info@nizamabad.ac.in,admissions@nizamabad.ac.in,placement@nizamabad.ac.in,+91-80-059-6580,Electrical & Electronics Engineering (EEE),Diploma,120,540,1987,Rural,Yes,Yes
1-44639463513,1-44639463513,U-0391,GOVERNMENT POLYTECHNIC NIZAMABAD,Active,Telangana,Nizamabad,Nizamabad,KANTESHWAR,500649,18.677764,78.10985,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.nizamabad.ac.in,info@nizamabad.ac.in,admissions@nizamabad.ac.in,placement@nizamabad.ac.in,+91-80-059-6580,Mechanical Engineering,Diploma,120,540,1987,Rural,Yes,Yes
1-44639463513,1-44639463513,U-0391,GOVERNMENT POLYTECHNIC NIZAMABAD,Active,Telangana,Nizamabad,Nizamabad,KANTESHWAR,500649,18.677764,78.10985,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.nizamabad.ac.in,info@nizamabad.ac.in,admissions@nizamabad.ac.in,placement@nizamabad.ac.in,+91-80-059-6580,Civil Engineering,Diploma,60,540,1987,Rural,Yes,Yes
1-44639463513,1-44639463513,U-0391,GOVERNMENT POLYTECHNIC NIZAMABAD,Active,Telangana,Nizamabad,Nizamabad,KANTESHWAR,500649,18.677764,78.10985,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.nizamabad.ac.in,info@nizamabad.ac.in,admissions@nizamabad.ac.in,placement@nizamabad.ac.in,+91-80-059-6580,Electronics & Communication Engineering (ECE),Diploma,120,540,1987,Rural,Yes,Yes
1-44639463513,1-44639463513,U-0391,GOVERNMENT POLYTECHNIC NIZAMABAD,Active,Telangana,Nizamabad,Nizamabad,KANTESHWAR,500649,18.677764,78.10985,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.nizamabad.ac.in,info@nizamabad.ac.in,admissions@nizamabad.ac.in,placement@nizamabad.ac.in,+91-80-059-6580,Computer Science Engineering (CSE),Diploma,60,540,1987,Rural,Yes,Yes
1-44639463513,1-44639463513,U-0391,GOVERNMENT POLYTECHNIC NIZAMABAD,Active,Telangana,Nizamabad,Nizamabad,KANTESHWAR,500649,18.677764,78.10985,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.nizamabad.ac.in,info@nizamabad.ac.in,admissions@nizamabad.ac.in,placement@nizamabad.ac.in,+91-80-059-6580,Other Engineering Branches,Diploma,60,540,1987,Rural,Yes,Yes
1-44640837042,1-44640837042,U-0391,GOVERNAMENT POLYTECHNIC KOTGIR,Active,Telangana,Nizamabad,Nizamabad,MDL:KOTGIR DIST:NIZAMABAD AP-503207,503207,18.660215,78.098052,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A,No,,Tier 2,http://www.governamentkotgir.ac.in,info@governamentkotgir.ac.in,admissions@governamentkotgir.ac.in,placement@governamentkotgir.ac.in,+91-80-323-5993,Mechanical Engineering,Diploma,60,120,1996,Rural,Yes,Yes
1-44640837042,1-44640837042,U-0391,GOVERNAMENT POLYTECHNIC KOTGIR,Active,Telangana,Nizamabad,Nizamabad,MDL:KOTGIR DIST:NIZAMABAD AP-503207,503207,18.660215,78.098052,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A,No,,Tier 2,http://www.governamentkotgir.ac.in,info@governamentkotgir.ac.in,admissions@governamentkotgir.ac.in,placement@governamentkotgir.ac.in,+91-80-323-5993,Electrical & Electronics Engineering (EEE),Diploma,60,120,1996,Rural,Yes,Yes
1-44640997769,1-44640997769,U-0062,"GOVERMENT POLYTECHNIC, NAVIPET",Active,Telangana,Nizamabad,Nizamabad,NAVIPET,500649,18.662534,78.086669,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A+,Yes,,Tier 2,http://www.govermentnavipet.ac.in,info@govermentnavipet.ac.in,admissions@govermentnavipet.ac.in,placement@govermentnavipet.ac.in,+91-80-420-8464,Civil Engineering,Diploma,60,120,2018,Rural,Yes,Yes
1-44640997769,1-44640997769,U-0062,"GOVERMENT POLYTECHNIC, NAVIPET",Active,Telangana,Nizamabad,Nizamabad,NAVIPET,500649,18.662534,78.086669,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A+,Yes,,Tier 2,http://www.govermentnavipet.ac.in,info@govermentnavipet.ac.in,admissions@govermentnavipet.ac.in,placement@govermentnavipet.ac.in,+91-80-420-8464,Mechanical Engineering,Diploma,60,120,2018,Rural,Yes,Yes
