College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638902800,1-44638902800,U-0663,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Active,Delhi,North Delhi,North Delhi,"AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",110088,28.632433,77.191894,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,A+,No,,Tier 3,http://www.vivekanandaprofessionalstudies.ac.in,info@vivekanandaprofessionalstudies.ac.in,admissions@vivekanandaprofessionalstudies.ac.in,placement@vivekanandaprofessionalstudies.ac.in,+91-80-616-1810,Data Science,B.Tech,120,900,2012,Rural,No,Yes
1-44638902800,1-44638902800,U-0663,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Active,Delhi,North Delhi,North Delhi,"AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",110088,28.632433,77.191894,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,A+,No,,Tier 3,http://www.vivekanandaprofessionalstudies.ac.in,info@vivekanandaprofessionalstudies.ac.in,admissions@vivekanandaprofessionalstudies.ac.in,placement@vivekanandaprofessionalstudies.ac.in,+91-80-616-1810,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,180,900,2012,Rural,No,Yes
1-44638902800,1-44638902800,U-0663,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Active,Delhi,North Delhi,North Delhi,"AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",110088,28.632433,77.191894,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,A+,No,,Tier 3,http://www.vivekanandaprofessionalstudies.ac.in,info@vivekanandaprofessionalstudies.ac.in,admissions@vivekanandaprofessionalstudies.ac.in,placement@vivekanandaprofessionalstudies.ac.in,+91-80-616-1810,IoT,B.Tech,60,900,2012,Rural,No,Yes
1-44638902800,1-44638902800,U-0663,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Active,Delhi,North Delhi,North Delhi,"AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",110088,28.632433,77.191894,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,A+,No,,Tier 3,http://www.vivekanandaprofessionalstudies.ac.in,info@vivekanandaprofessionalstudies.ac.in,admissions@vivekanandaprofessionalstudies.ac.in,placement@vivekanandaprofessionalstudies.ac.in,+91-80-616-1810,Computer Science Engineering (CSE),B.Tech,300,900,2012,Rural,No,Yes
1-44638902800,1-44638902800,U-0663,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Active,Delhi,North Delhi,North Delhi,"AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",110088,28.632433,77.191894,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,A+,No,,Tier 3,http://www.vivekanandaprofessionalstudies.ac.in,info@vivekanandaprofessionalstudies.ac.in,admissions@vivekanandaprofessionalstudies.ac.in,placement@vivekanandaprofessionalstudies.ac.in,+91-80-616-1810,Other Engineering Branches,B.Tech,120,900,2012,Rural,No,Yes
1-44638902800,1-44638902800,U-0663,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Active,Delhi,North Delhi,North Delhi,"AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",110088,28.632433,77.191894,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,A+,No,,Tier 3,http://www.vivekanandaprofessionalstudies.ac.in,info@vivekanandaprofessionalstudies.ac.in,admissions@vivekanandaprofessionalstudies.ac.in,placement@vivekanandaprofessionalstudies.ac.in,+91-80-616-1810,Cyber Security,B.Tech,120,900,2012,Rural,No,Yes
1-44643617013,1-44643617013,U-0663,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY,Active,Delhi,North Delhi,North Delhi,"PSP AREA-4, SECTOR-17,(OPP. SEC-11), ROHINI, DELHI-110089",110089,28.599691,77.205424,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhagwanparshuram.ac.in,info@bhagwanparshuram.ac.in,admissions@bhagwanparshuram.ac.in,placement@bhagwanparshuram.ac.in,+91-80-242-9033,Computer Science Engineering (CSE),B.Tech,180,600,2014,Rural,No,No
1-44643617013,1-44643617013,U-0663,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY,Active,Delhi,North Delhi,North Delhi,"PSP AREA-4, SECTOR-17,(OPP. SEC-11), ROHINI, DELHI-110089",110089,28.599691,77.205424,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhagwanparshuram.ac.in,info@bhagwanparshuram.ac.in,admissions@bhagwanparshuram.ac.in,placement@bhagwanparshuram.ac.in,+91-80-242-9033,Electronics & Communication Engineering (ECE),B.Tech,120,600,2014,Rural,No,No
1-44643617013,1-44643617013,U-0663,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY,Active,Delhi,North Delhi,North Delhi,"PSP AREA-4, SECTOR-17,(OPP. SEC-11), ROHINI, DELHI-110089",110089,28.599691,77.205424,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhagwanparshuram.ac.in,info@bhagwanparshuram.ac.in,admissions@bhagwanparshuram.ac.in,placement@bhagwanparshuram.ac.in,+91-80-242-9033,Information Technology (IT),B.Tech,180,600,2014,Rural,No,No
1-44643617013,1-44643617013,U-0663,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY,Active,Delhi,North Delhi,North Delhi,"PSP AREA-4, SECTOR-17,(OPP. SEC-11), ROHINI, DELHI-110089",110089,28.599691,77.205424,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhagwanparshuram.ac.in,info@bhagwanparshuram.ac.in,admissions@bhagwanparshuram.ac.in,placement@bhagwanparshuram.ac.in,+91-80-242-9033,Electrical & Electronics Engineering (EEE),B.Tech,60,600,2014,Rural,No,No
