College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639914645,1-44639914645,U-0590,AGNEL INSTITUTE OF TECHNOLOGY AND DESIGN,Active,Goa,North Goa,North Goa,"ASSAGAO, BARDEZ, GOA.",500083,15.286879,74.10592,Private-Self Financing,"Goa University, Goa",Approved,Approved,B,Yes,,Tier 3,http://www.agneldesign.ac.in,info@agneldesign.ac.in,admissions@agneldesign.ac.in,placement@agneldesign.ac.in,+91-80-317-8764,Mechanical Engineering,B.Tech,60,180,1982,Urban,Yes,Yes
1-44639914645,1-44639914645,U-0590,AGNEL INSTITUTE OF TECHNOLOGY AND DESIGN,Active,Goa,North Goa,North Goa,"ASSAGAO, BARDEZ, GOA.",500083,15.286879,74.10592,Private-Self Financing,"Goa University, Goa",Approved,Approved,B,Yes,,Tier 3,http://www.agneldesign.ac.in,info@agneldesign.ac.in,admissions@agneldesign.ac.in,placement@agneldesign.ac.in,+91-80-317-8764,Computer Science Engineering (CSE),B.Tech,120,180,1982,Urban,Yes,Yes
1-44640377425,1-44640377425,U-0761,GOVERNMENT POLYTECHNIC MAYEM BICHOLIM,Active,Goa,North Goa,North Goa,MAYEM BICHOLIM GOA,500083,15.30454,74.133709,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.mayembicholim.ac.in,info@mayembicholim.ac.in,admissions@mayembicholim.ac.in,placement@mayembicholim.ac.in,+91-80-058-6302,Civil Engineering,Diploma,30,150,1984,Rural,Yes,Yes
1-44640377425,1-44640377425,U-0761,GOVERNMENT POLYTECHNIC MAYEM BICHOLIM,Active,Goa,North Goa,North Goa,MAYEM BICHOLIM GOA,500083,15.30454,74.133709,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.mayembicholim.ac.in,info@mayembicholim.ac.in,admissions@mayembicholim.ac.in,placement@mayembicholim.ac.in,+91-80-058-6302,Electronics & Communication Engineering (ECE),Diploma,40,150,1984,Rural,Yes,Yes
1-44640377425,1-44640377425,U-0761,GOVERNMENT POLYTECHNIC MAYEM BICHOLIM,Active,Goa,North Goa,North Goa,MAYEM BICHOLIM GOA,500083,15.30454,74.133709,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.mayembicholim.ac.in,info@mayembicholim.ac.in,admissions@mayembicholim.ac.in,placement@mayembicholim.ac.in,+91-80-058-6302,Mechanical Engineering,Diploma,40,150,1984,Rural,Yes,Yes
1-44640377425,1-44640377425,U-0761,GOVERNMENT POLYTECHNIC MAYEM BICHOLIM,Active,Goa,North Goa,North Goa,MAYEM BICHOLIM GOA,500083,15.30454,74.133709,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.mayembicholim.ac.in,info@mayembicholim.ac.in,admissions@mayembicholim.ac.in,placement@mayembicholim.ac.in,+91-80-058-6302,Electrical Engineering,Diploma,40,150,1984,Rural,Yes,Yes
1-44640813897,1-44640813897,U-0761,GOVERNMENT POLYTECHNIC PANAJI,Active,Goa,North Goa,North Goa,ALTINHO PANAJI GOA 403001,403001,15.282008,74.110019,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.panaji.ac.in,info@panaji.ac.in,admissions@panaji.ac.in,placement@panaji.ac.in,+91-80-113-5654,Civil Engineering,Diploma,60,380,1999,Rural,Yes,Yes
1-44640813897,1-44640813897,U-0761,GOVERNMENT POLYTECHNIC PANAJI,Active,Goa,North Goa,North Goa,ALTINHO PANAJI GOA 403001,403001,15.282008,74.110019,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.panaji.ac.in,info@panaji.ac.in,admissions@panaji.ac.in,placement@panaji.ac.in,+91-80-113-5654,Computer Science Engineering (CSE),Diploma,30,380,1999,Rural,Yes,Yes
1-44640813897,1-44640813897,U-0761,GOVERNMENT POLYTECHNIC PANAJI,Active,Goa,North Goa,North Goa,ALTINHO PANAJI GOA 403001,403001,15.282008,74.110019,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.panaji.ac.in,info@panaji.ac.in,admissions@panaji.ac.in,placement@panaji.ac.in,+91-80-113-5654,Mechanical Engineering,Diploma,60,380,1999,Rural,Yes,Yes
1-44640813897,1-44640813897,U-0761,GOVERNMENT POLYTECHNIC PANAJI,Active,Goa,North Goa,North Goa,ALTINHO PANAJI GOA 403001,403001,15.282008,74.110019,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.panaji.ac.in,info@panaji.ac.in,admissions@panaji.ac.in,placement@panaji.ac.in,+91-80-113-5654,Electrical Engineering,Diploma,30,380,1999,Rural,Yes,Yes
1-44640813897,1-44640813897,U-0761,GOVERNMENT POLYTECHNIC PANAJI,Active,Goa,North Goa,North Goa,ALTINHO PANAJI GOA 403001,403001,15.282008,74.110019,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.panaji.ac.in,info@panaji.ac.in,admissions@panaji.ac.in,placement@panaji.ac.in,+91-80-113-5654,Other Engineering Branches,Diploma,170,380,1999,Rural,Yes,Yes
1-44640813897,1-44640813897,U-0761,GOVERNMENT POLYTECHNIC PANAJI,Active,Goa,North Goa,North Goa,ALTINHO PANAJI GOA 403001,403001,15.282008,74.110019,Government,"Directorate of Technical Education, Bardez",Approved,Approved,B++,Yes,,Tier 3,http://www.panaji.ac.in,info@panaji.ac.in,admissions@panaji.ac.in,placement@panaji.ac.in,+91-80-113-5654,Information Technology (IT),Diploma,30,380,1999,Rural,Yes,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Civil Engineering,B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Mechanical Engineering,B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Electrical & Electronics Engineering (EEE),B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Electronics & Communication Engineering (ECE),B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Computer Science Engineering (CSE),B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Information Technology (IT),B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Mining Engineering,B.Tech,60,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Other Engineering Branches,M.Tech,78,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Electronics & Communication Engineering (ECE),M.Tech,15,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Artificial Intelligence & Machine Learning (AI & ML),M.Tech,18,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Robotics,M.Tech,18,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Information Technology (IT),M.Tech,18,627,1986,Urban,No,Yes
1-44643572001,1-44643572001,U-0590,GOA COLLEGE OF ENGINEERING (GOVERNMENT OF GOA),Active,Goa,North Goa,North Goa,"FARMAGUDI, PONDA-GOA PIN-403401",403401,15.280626,74.131882,Government,"Goa University, Goa",Approved,Approved,B++,Yes,,Tier 3,http://www.goagoa.ac.in,info@goagoa.ac.in,admissions@goagoa.ac.in,placement@goagoa.ac.in,+91-80-055-6210,Other Engineering Branches,B.Tech,60,627,1986,Urban,No,Yes
1-44642724745,1-44642724745,U-0590,SHREE RAYESHWAR INSTITUTE OF ENGINEERING AND INFORMATION TECHNOLOY,Active,Goa,North Goa,North Goa,"SHIV SHAIL, KARAI, SHIRODA, GOA 403103",403103,15.30609,74.14357,Private-Self Financing,"Goa University, Goa",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shreerayeshwarinformation.ac.in,info@shreerayeshwarinformation.ac.in,admissions@shreerayeshwarinformation.ac.in,placement@shreerayeshwarinformation.ac.in,+91-80-123-6605,Computer Science Engineering (CSE),B.Tech,120,240,2014,Urban,Yes,Yes
1-44642724745,1-44642724745,U-0590,SHREE RAYESHWAR INSTITUTE OF ENGINEERING AND INFORMATION TECHNOLOY,Active,Goa,North Goa,North Goa,"SHIV SHAIL, KARAI, SHIRODA, GOA 403103",403103,15.30609,74.14357,Private-Self Financing,"Goa University, Goa",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shreerayeshwarinformation.ac.in,info@shreerayeshwarinformation.ac.in,admissions@shreerayeshwarinformation.ac.in,placement@shreerayeshwarinformation.ac.in,+91-80-123-6605,Information Technology (IT),B.Tech,60,240,2014,Urban,Yes,Yes
1-44642724745,1-44642724745,U-0590,SHREE RAYESHWAR INSTITUTE OF ENGINEERING AND INFORMATION TECHNOLOY,Active,Goa,North Goa,North Goa,"SHIV SHAIL, KARAI, SHIRODA, GOA 403103",403103,15.30609,74.14357,Private-Self Financing,"Goa University, Goa",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shreerayeshwarinformation.ac.in,info@shreerayeshwarinformation.ac.in,admissions@shreerayeshwarinformation.ac.in,placement@shreerayeshwarinformation.ac.in,+91-80-123-6605,Mechanical Engineering,B.Tech,60,240,2014,Urban,Yes,Yes
