College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Computer Science Engineering (CSE),B.Tech,660,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Mechanical Engineering,B.Tech,300,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Electrical Engineering,B.Tech,300,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Other Engineering Branches,B.Tech,511,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Civil Engineering,B.Tech,150,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Chemical Engineering,B.Tech,77,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Information Technology (IT),B.Tech,317,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Biotechnology,B.Tech,77,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Other Engineering Branches,M.Tech,504,3487,2009,Urban,No,Yes
1-44640144514,1-44640144514,U-0992,DELHI TECHNOLOGICAL UNIVERSITY,Active,Delhi,North West Delhi,North West Delhi,SHAHBAD DAULATPUR BAWANA ROAD,110014,28.609302,77.225518,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.delhitechnological.ac.in,info@delhitechnological.ac.in,admissions@delhitechnological.ac.in,placement@delhitechnological.ac.in,+91-80-646-0137,Information Technology (IT),M.Tech,92,3487,2009,Urban,No,Yes
