College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Civil Engineering,B.Tech,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Mechanical Engineering,B.Tech,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Electrical & Electronics Engineering (EEE),B.Tech,30,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Electronics & Communication Engineering (ECE),B.Tech,30,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Computer Science Engineering (CSE),B.Tech,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Cyber Security,B.Tech,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Civil Engineering,Diploma,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Mechanical Engineering,Diploma,60,720,2004,Urban,Yes,Yes
1-44638275246,1-44638275246,U-0672,RAJADHANI INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Kerala,Palakkad,Palakkad,KANNAMPARIYARAM POST MANKARA,682263,10.805994,76.658194,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,No,,Tier 3,http://www.rajadhaniscience.ac.in,info@rajadhaniscience.ac.in,admissions@rajadhaniscience.ac.in,placement@rajadhaniscience.ac.in,+91-80-648-1174,Electrical & Electronics Engineering (EEE),Diploma,60,720,2004,Urban,Yes,Yes
