College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638714875,1-44638714875,U-0192,CLG INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Rajasthan,Pali,Pali,"KESHAR BAG, JAWAI BANDH ROAD,  V/P JAWAI BANDH",302462,27.041027,74.227854,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.clg.ac.in,info@clg.ac.in,admissions@clg.ac.in,placement@clg.ac.in,+91-80-561-3887,Electrical Engineering,B.Tech,30,120,2007,Urban,Yes,Yes
1-44638714875,1-44638714875,U-0192,CLG INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Rajasthan,Pali,Pali,"KESHAR BAG, JAWAI BANDH ROAD,  V/P JAWAI BANDH",302462,27.041027,74.227854,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.clg.ac.in,info@clg.ac.in,admissions@clg.ac.in,placement@clg.ac.in,+91-80-561-3887,Civil Engineering,B.Tech,30,120,2007,Urban,Yes,Yes
1-44638714875,1-44638714875,U-0192,CLG INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Rajasthan,Pali,Pali,"KESHAR BAG, JAWAI BANDH ROAD,  V/P JAWAI BANDH",302462,27.041027,74.227854,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.clg.ac.in,info@clg.ac.in,admissions@clg.ac.in,placement@clg.ac.in,+91-80-561-3887,Computer Science Engineering (CSE),B.Tech,30,120,2007,Urban,Yes,Yes
1-44638714875,1-44638714875,U-0192,CLG INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Rajasthan,Pali,Pali,"KESHAR BAG, JAWAI BANDH ROAD,  V/P JAWAI BANDH",302462,27.041027,74.227854,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.clg.ac.in,info@clg.ac.in,admissions@clg.ac.in,placement@clg.ac.in,+91-80-561-3887,Mechanical Engineering,B.Tech,30,120,2007,Urban,Yes,Yes
1-44639478642,1-44639478642,U-0197,"GOVT. POLYTECHNIC COLLEGE, PALI-MARWAR",Active,Rajasthan,Pali,Pali,SUMERPUR ROAD PALI,302462,27.024995,74.22293,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpalimarwar.ac.in,info@govtpalimarwar.ac.in,admissions@govtpalimarwar.ac.in,placement@govtpalimarwar.ac.in,+91-80-888-9760,Electrical Engineering,Diploma,40,100,2000,Rural,No,Yes
1-44639478642,1-44639478642,U-0197,"GOVT. POLYTECHNIC COLLEGE, PALI-MARWAR",Active,Rajasthan,Pali,Pali,SUMERPUR ROAD PALI,302462,27.024995,74.22293,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpalimarwar.ac.in,info@govtpalimarwar.ac.in,admissions@govtpalimarwar.ac.in,placement@govtpalimarwar.ac.in,+91-80-888-9760,Other Engineering Branches,Diploma,30,100,2000,Rural,No,Yes
1-44639478642,1-44639478642,U-0197,"GOVT. POLYTECHNIC COLLEGE, PALI-MARWAR",Active,Rajasthan,Pali,Pali,SUMERPUR ROAD PALI,302462,27.024995,74.22293,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpalimarwar.ac.in,info@govtpalimarwar.ac.in,admissions@govtpalimarwar.ac.in,placement@govtpalimarwar.ac.in,+91-80-888-9760,Mechanical Engineering,Diploma,30,100,2000,Rural,No,Yes
1-44640309473,1-44640309473,U-0192,MAHAVEER INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Pali,Pali,"MAHAVEER INSTITUTE OF TECHNOLOGY & SCIENCE, RANIYA BERA, MAIN HIGHWAY ROAD,NH-14,JADAN",302462,27.041793,74.229512,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,No,,Tier 3,http://www.mahaveerscience.ac.in,info@mahaveerscience.ac.in,admissions@mahaveerscience.ac.in,placement@mahaveerscience.ac.in,+91-80-593-5178,Civil Engineering,B.Tech,54,162,2000,Urban,Yes,Yes
1-44640309473,1-44640309473,U-0192,MAHAVEER INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Pali,Pali,"MAHAVEER INSTITUTE OF TECHNOLOGY & SCIENCE, RANIYA BERA, MAIN HIGHWAY ROAD,NH-14,JADAN",302462,27.041793,74.229512,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,No,,Tier 3,http://www.mahaveerscience.ac.in,info@mahaveerscience.ac.in,admissions@mahaveerscience.ac.in,placement@mahaveerscience.ac.in,+91-80-593-5178,Mechanical Engineering,B.Tech,54,162,2000,Urban,Yes,Yes
1-44640309473,1-44640309473,U-0192,MAHAVEER INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Pali,Pali,"MAHAVEER INSTITUTE OF TECHNOLOGY & SCIENCE, RANIYA BERA, MAIN HIGHWAY ROAD,NH-14,JADAN",302462,27.041793,74.229512,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,No,,Tier 3,http://www.mahaveerscience.ac.in,info@mahaveerscience.ac.in,admissions@mahaveerscience.ac.in,placement@mahaveerscience.ac.in,+91-80-593-5178,Computer Science Engineering (CSE),B.Tech,54,162,2000,Urban,Yes,Yes
