College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638442062,1-44638442062,U-0261,GOVT. POLYTECHNIC MANDKOLA,Active,Haryana,Palwal,Palwal,VILLAGE MANDKOLA,120062,29.060212,76.083858,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.govtmandkola.ac.in,info@govtmandkola.ac.in,admissions@govtmandkola.ac.in,placement@govtmandkola.ac.in,+91-80-898-0852,Mechanical Engineering,Diploma,60,390,2022,Urban,No,Yes
1-44638442062,1-44638442062,U-0261,GOVT. POLYTECHNIC MANDKOLA,Active,Haryana,Palwal,Palwal,VILLAGE MANDKOLA,120062,29.060212,76.083858,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.govtmandkola.ac.in,info@govtmandkola.ac.in,admissions@govtmandkola.ac.in,placement@govtmandkola.ac.in,+91-80-898-0852,Civil Engineering,Diploma,60,390,2022,Urban,No,Yes
1-44638442062,1-44638442062,U-0261,GOVT. POLYTECHNIC MANDKOLA,Active,Haryana,Palwal,Palwal,VILLAGE MANDKOLA,120062,29.060212,76.083858,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.govtmandkola.ac.in,info@govtmandkola.ac.in,admissions@govtmandkola.ac.in,placement@govtmandkola.ac.in,+91-80-898-0852,Electrical Engineering,Diploma,60,390,2022,Urban,No,Yes
1-44638442062,1-44638442062,U-0261,GOVT. POLYTECHNIC MANDKOLA,Active,Haryana,Palwal,Palwal,VILLAGE MANDKOLA,120062,29.060212,76.083858,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.govtmandkola.ac.in,info@govtmandkola.ac.in,admissions@govtmandkola.ac.in,placement@govtmandkola.ac.in,+91-80-898-0852,Computer Science Engineering (CSE),Diploma,60,390,2022,Urban,No,Yes
1-44638442062,1-44638442062,U-0261,GOVT. POLYTECHNIC MANDKOLA,Active,Haryana,Palwal,Palwal,VILLAGE MANDKOLA,120062,29.060212,76.083858,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.govtmandkola.ac.in,info@govtmandkola.ac.in,admissions@govtmandkola.ac.in,placement@govtmandkola.ac.in,+91-80-898-0852,Other Engineering Branches,Diploma,90,390,2022,Urban,No,Yes
1-44638442062,1-44638442062,U-0261,GOVT. POLYTECHNIC MANDKOLA,Active,Haryana,Palwal,Palwal,VILLAGE MANDKOLA,120062,29.060212,76.083858,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.govtmandkola.ac.in,info@govtmandkola.ac.in,admissions@govtmandkola.ac.in,placement@govtmandkola.ac.in,+91-80-898-0852,Electronics & Communication Engineering (ECE),Diploma,60,390,2022,Urban,No,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Mechanical Engineering,B.Tech,90,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Robotics,M.Tech,18,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Computer Science Engineering (CSE),B.Tech,60,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Electrical Engineering,B.Tech,30,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Mechanical Engineering,Diploma,60,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Computer Science Engineering (CSE),Diploma,60,408,1987,Urban,Yes,Yes
1-44637286498,1-44637286498,U-0992,SHRI VISHWAKARMA SKILL UNIVERSITY,Active,Haryana,Palwal,Palwal,"VILLAGE DUDHOLA, PALWAL",120062,29.047272,76.092978,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.shrivishwakarmaskill.ac.in,info@shrivishwakarmaskill.ac.in,admissions@shrivishwakarmaskill.ac.in,placement@shrivishwakarmaskill.ac.in,+91-80-355-3711,Robotics,B.Tech,30,408,1987,Urban,Yes,Yes
1-44639753669,1-44639753669,U-0294,AERP INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Palwal,Palwal," VILLAGE SONDH, TEH. HODAL, NUH ROAD, DISTT. PALWAL, (HARYANA)",120062,29.0774,76.07369,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.aerpmanagement.ac.in,info@aerpmanagement.ac.in,admissions@aerpmanagement.ac.in,placement@aerpmanagement.ac.in,+91-80-619-0003,Electrical Engineering,Diploma,60,270,2019,Urban,Yes,No
1-44639753669,1-44639753669,U-0294,AERP INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Palwal,Palwal," VILLAGE SONDH, TEH. HODAL, NUH ROAD, DISTT. PALWAL, (HARYANA)",120062,29.0774,76.07369,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.aerpmanagement.ac.in,info@aerpmanagement.ac.in,admissions@aerpmanagement.ac.in,placement@aerpmanagement.ac.in,+91-80-619-0003,Electronics & Communication Engineering (ECE),Diploma,30,270,2019,Urban,Yes,No
1-44639753669,1-44639753669,U-0294,AERP INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Palwal,Palwal," VILLAGE SONDH, TEH. HODAL, NUH ROAD, DISTT. PALWAL, (HARYANA)",120062,29.0774,76.07369,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.aerpmanagement.ac.in,info@aerpmanagement.ac.in,admissions@aerpmanagement.ac.in,placement@aerpmanagement.ac.in,+91-80-619-0003,Mechanical Engineering,Diploma,60,270,2019,Urban,Yes,No
